accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
libero accesso con verifica delle conoscenze;2016/2017;Cesena;1;8834;Acquacoltura e igiene delle produzioni ittiche [L];3;True;;Italiano;Agraria e Medicina veterinaria;Cesenatico;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8834
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;1;8522;Biotecnologie animali [LM];2;True;;Italiano;Agraria e Medicina veterinaria;Ozzano dell' Emilia;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8522
numero chiuso;2016/2017;Bologna;1;8526;Economia e marketing nel sistema agro-industriale [L];3;True;;Italiano;Agraria e Medicina veterinaria;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8526
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;1;8883;International horticultural science [LM];2;True;interamente internazionale;Inglese;Agraria e Medicina veterinaria;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8883
numero chiuso;2016/2017;Bologna;1;8617;Medicina veterinaria [LMCU];5;True;;Italiano;Agraria e Medicina veterinaria;Ozzano dell' Emilia;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8617
numero chiuso;2016/2017;Bologna;1;8882;Produzioni animali [L];3;True;;Italiano;Agraria e Medicina veterinaria;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8882
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;1;8532;Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio [LM];2;True;;Italiano;Agraria e Medicina veterinaria;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8532
numero chiuso;2016/2017;Bologna;1;8525;Scienze del territorio e dell'ambiente agro-forestale [L];3;True;;Italiano;Agraria e Medicina veterinaria;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8525
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;1;8884;Scienze e tecnologie agrarie [LM];2;True;;Italiano;Agraria e Medicina veterinaria;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8884
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;1;8531;Scienze e tecnologie alimentari [LM];2;True;;Italiano;Agraria e Medicina veterinaria;Cesena;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8531
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;1;8521;Sicurezza e qualita' delle produzioni animali [LM];2;True;;Italiano;Agraria e Medicina veterinaria;Ozzano dell' Emilia;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8521
numero chiuso;2016/2017;Bologna;1;8524;Tecnologie agrarie [L];3;True;;Italiano;Agraria e Medicina veterinaria;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8524
numero chiuso;2016/2017;Cesena;1;8528;Tecnologie alimentari [L];3;True;;Italiano;Agraria e Medicina veterinaria;Cesena;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8528
libero accesso con verifica delle conoscenze;2016/2017;Bologna;1;8523;Verde ornamentale e tutela del paesaggio [L];3;True;;Italiano;Agraria e Medicina veterinaria;Imola;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8523
numero chiuso;2016/2017;Cesena;1;8527;Viticoltura ed enologia [L];3;True;;Italiano;Agraria e Medicina veterinaria;Cesena;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8527
