accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;2;897;Direzione aziendale [LM];2;True;uno o pi� curricula internazionali;Italiano Inglese;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0897
numero chiuso;2016/2017;Bologna;2;899;Economia e diritto [LM];2;True;;Italiano;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0899
numero chiuso;2016/2017;Bologna;2;900;Economia e professione [LM];2;True;;Italiano;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0900
numero chiuso;2016/2017;Bologna;2;901;Finanza, intermediari e mercati [LM];2;True;;Italiano;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0901
numero chiuso;2016/2017;Bologna;2;902;Innovation and organization of culture and the arts [LM];2;True;interamente internazionale;Inglese;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0902
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Forli;2;905;Economia e commercio [LM];2;True;;Italiano;Economia, Management e Statistica;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0905
numero chiuso;2016/2017;Bologna;2;8038;Economia, mercati e istituzioni [L];3;True;;Italiano;Economia, Management e Statistica;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8038
numero chiuso;2016/2017;Bologna;2;8406;Management e marketing [L];3;True;;Italiano;Economia, Management e Statistica;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8406
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;2;8408;Economics [LM];2;True;interamente internazionale;Inglese;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8408
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;2;8420;Economia e politica economica [LM];2;True;uno o pi� curricula internazionali;Italiano Inglese;Economia, Management e Statistica;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8420
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Rimini;2;8609;Tourism economics and management [LM];2;True;interamente internazionale;Inglese;Economia, Management e Statistica;Rimini;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8609
numero chiuso;2016/2017;Bologna;2;8835;Economics and finance [L];3;True;interamente internazionale;Inglese;Economia, Management e Statistica;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8835
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Rimini;2;8839;Resource economics and sustainable development [LM];2;True;interamente internazionale;Inglese;Economia, Management e Statistica;Rimini;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8839
numero chiuso;2016/2017;Rimini;2;8842;Amministrazione e gestione d'impresa [LM];2;True;uno o pi� curricula internazionali;Italiano Inglese;Economia, Management e Statistica;Rimini;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8842
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Forli;2;8843;Management dell'economia sociale [LM];2;True;;Italiano;Economia, Management e Statistica;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8843
numero chiuso;2016/2017;Rimini;2;8847;Economia del turismo [L];3;True;uno o pi� curricula internazionali;Italiano Inglese;Economia, Management e Statistica;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8847
numero chiuso;2016/2017;Rimini;2;8848;Economia dell'impresa [L];3;True;;Italiano;Economia, Management e Statistica;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8848
