accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;5;9021;Advanced design [LM];2;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9021
numero chiuso;2016/2017;Forli';5;8769;Aerospace engineering [LM];2;True;interamente internazionale;Inglese;Ingegneria e Architettura;Forli';Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8769
numero chiuso;2016/2017;Cesena;5;881;Architettura [LMCU];5;True;;Italiano;Ingegneria e Architettura;Cesena;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0881
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;8891;Automation engineering [LM];2;True;interamente internazionale;Inglese;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8891
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;5;8895;Civil engineering [LM];2;True;interamente internazionale;Inglese;Ingegneria e Architettura;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8895
numero chiuso;2016/2017;Bologna;5;8182;Design del prodotto industriale [L];3;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8182
numero chiuso;2016/2017;Forli';5;8263;Ingegneria aerospaziale [L];3;True;;Italiano;Ingegneria e Architettura;Forli';Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8263
numero chiuso;2016/2017;Cesena;5;946;Ingegneria biomedica [L];3;True;;Italiano;Ingegneria e Architettura;Cesena;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0946
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;5;8198;Ingegneria biomedica [LM];2;True;;Italiano;Ingegneria e Architettura;Cesena;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8198
numero chiuso;2016/2017;Bologna;5;8887;Ingegneria chimica e biochimica [L];3;True;;Italiano;Ingegneria e Architettura;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8887
