accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
libero accesso con verifica delle conoscenze;2016/2017;Bologna;6;956;Dams - discipline delle arti, della musica  e dello spettacolo [L];3;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0956
libero accesso con verifica delle conoscenze;2016/2017;Bologna;6;957;Filosofia [L];3;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0957
libero accesso con verifica delle conoscenze;2016/2017;Bologna;6;962;Storia [L];3;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0962
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;964;Antropologia culturale ed etnologia [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0964
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;966;Cinema, televisione e produzione multimediale [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0966
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;970;Filologia, letteratura e tradizione classica [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0970
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;971;Geografia e processi territoriali [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0971
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;973;Italianistica, culture letterarie europee, scienze linguistiche [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0973
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;977;Arti visive [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0977
libero accesso con verifica delle conoscenze;2016/2017;Bologna;6;8493;Antropologia, religioni, civilta orientali [L];3;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8493
numero chiuso;2016/2017;Ravenna;6;8616;Conservazione e restauro dei beni culturali [LMCU];5;True;;Italiano;Lettere e Beni culturali;Ravenna;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8616
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Rimini;6;8772;Culture e tecniche della moda [L];3;True;;Italiano;Lettere e Beni culturali;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8772
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;8773;Scienze filosofiche [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8773
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Ravenna;6;8836;Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione [LM];2;True;;Italiano;Lettere e Beni culturali;Ravenna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8836
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;6;8837;Discipline della musica e del teatro [LM];2;True;;Italiano;Lettere e Beni culturali;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8837
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Ravenna;6;8838;Scienze del libro e del documento [LM];2;True;;Italiano;Lettere e Beni culturali;Ravenna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8838
