accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;8;8204;Odontoiatria e protesi dentaria [LMCU];6;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8204
numero chiuso;2016/2017;Bologna;8;8415;Medicina e chirurgia [LMCU];6;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8415
numero chiuso;2016/2017;Bologna;8;8470;Dietistica [L] (abilitante alla professione sanitaria di dietista);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8470
numero chiuso;2016/2017;Bologna;8;8473;Infermieristica [L] (abilitante alla professione sanitaria di infermiere) (Bologna);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8473
numero chiuso;2016/2017;Ravenna;8;8474;Infermieristica [L] (abilitante alla professione sanitaria di infermiere) (Faenza);3;True;;Italiano;Medicina e Chirurgia;Faenza;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8474
numero chiuso;2016/2017;Rimini;8;8475;Infermieristica [L] (abilitante alla professione sanitaria di infermiere) (Rimini);3;True;;Italiano;Medicina e Chirurgia;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8475
numero chiuso;2016/2017;Bologna;8;8476;Fisioterapia [L] (abilitante alla professione sanitaria di fisioterapista);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8476
numero chiuso;2016/2017;Bologna;8;8477;Educazione professionale [L] (abilitante alla professione sanitaria di educatore professionale);3;True;;Italiano;Medicina e Chirurgia;Imola;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8477
numero chiuso;2016/2017;Ravenna;8;8478;Logopedia [L] (abilitante alla professione sanitaria di logopedista);3;True;;Italiano;Medicina e Chirurgia;Faenza;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8478
numero chiuso;2016/2017;Bologna;8;8479;Podologia [L] (abilitante alla professione sanitaria di podologo);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8479
numero chiuso;2016/2017;Bologna;8;8481;Igiene dentale [L] (abilitante alla professione sanitaria di igienista dentale);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8481
numero chiuso;2016/2017;Bologna;8;8482;Tecniche di neurofisiopatologia [L] (abilitante alla professione sanitaria di tecnico di neurofisiopatologia);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8482
numero chiuso;2016/2017;Bologna;8;8483;Tecniche ortopediche [L] (abilitante alla professione sanitaria di tecnico ortopedico);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8483
numero chiuso;2016/2017;Bologna;8;8484;Tecniche di laboratorio biomedico [L] (abilitante alla professione sanitaria di tecnico di laboratorio biomedico);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8484
numero chiuso;2016/2017;Bologna;8;8485;Tecniche di radiologia medica, per immagini e radioterapia [L] (abilitante alla professione sanitaria di tecnico di radiologia medica) (Bologna);3;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8485
numero chiuso;2016/2017;Rimini;8;8486;Tecniche di radiologia medica, per immagini e radioterapia [L] (abilitante alla professione sanitaria di tecnico di radiologia medica) (Rimini);3;True;;Italiano;Medicina e Chirurgia;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8486
numero chiuso;2016/2017;Bologna;8;8487;Tecniche della prevenzione nell'ambiente e nei luoghi di lavoro [L] (abilitante  alla professione sanitaria di tecnico della prevenzione nell'ambiente e nei luoghi di lavoro);3;True;;Italiano;Medicina e Chirurgia;Imola;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8487
numero chiuso;2016/2017;Bologna;8;8488;Scienze infermieristiche e ostetriche [LM];2;True;;Italiano;Medicina e Chirurgia;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8488
