accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Cesena;9;8774;Scienze e tecniche psicologiche [L];3;True;;Italiano;Psicologia e Scienze della Formazione;Cesena;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8774
numero chiuso;2016/2017;Bologna;9;8775;Educatore nei servizi per linfanzia [L];3;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8775
numero chiuso;2016/2017;Bologna;9;8776;Educatore sociale e culturale [L] (Bologna);3;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8776
numero chiuso;2016/2017;Rimini;9;8777;Educatore sociale e culturale [L] (Rimini);3;True;;Italiano;Psicologia e Scienze della Formazione;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8777
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;9;989;Neuroscienze e riabilitazione neuropsicologica [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Cesena;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0989
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;9;990;Psicologia clinica [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Cesena;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0990
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;9;991;Psicologia cognitiva applicata [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0991
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;9;992;Psicologia delle organizzazioni e dei servizi [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Cesena;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0992
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Cesena;9;993;Psicologia scolastica e di comunita [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Cesena;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0993
numero chiuso;2016/2017;Bologna;9;8778;Progettazione e gestione dellintervento educativo nel disagio sociale [LM] (Bologna);2;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8778
numero chiuso;2016/2017;Rimini;9;8779;Progettazione e gestione dellintervento educativo nel disagio sociale [LM] (Rimini);2;True;;Italiano;Psicologia e Scienze della Formazione;Rimini;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8779
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;9;8780;Scienze delleducazione permanente e della formazione continua [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8780
numero chiuso;2016/2017;Bologna;9;9206;Pedagogia [LM];2;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9206
numero chiuso;2016/2017;Bologna;9;8540;Scienze della formazione primaria [LMCU];5;True;;Italiano;Psicologia e Scienze della Formazione;Bologna;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8540
