accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabilae;internazionale;lingue;scuola;sededidattica;tipologia;url;immatricolabile
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;10;884;Chimica industriale [LM];2;True;;Italiano;Scienze;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0884;
numero chiuso;2016/2017;Bologna;10;8004;Astronomia [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8004;True
numero chiuso;2016/2017;Bologna;10;8006;Chimica e chimica dei materiali [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8006;True
numero chiuso;2016/2017;Bologna;10;8007;Fisica [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8007;True
numero chiuso;2016/2017;Bologna;10;8009;Informatica [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8009;True
libero accesso con verifica delle conoscenze;2016/2017;Bologna;10;8010;Matematica [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8010;True
libero accesso con verifica delle conoscenze;2016/2017;Ravenna;10;8011;Scienze ambientali [L];3;;;Italiano;Scienze;Ravenna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8011;True
numero chiuso;2016/2018;Cesena;10;8615;Ingegneria e scienze informatiche [L];3;;;Italiano;Scienze;Cesena;Laurea;http://www.scienze.unibo.it/it/corsi/corsi-di-studio/corso/2016/8615;True
numero chiuso;2016/2017;Bologna;10;8014;Informatica per il management [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8014;True
numero chiuso;2016/2017;Bologna;10;8015;Scienze geologiche [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8015;True
numero chiuso;2016/2017;Bologna;10;8016;Scienze naturali [L];3;;;Italiano;Scienze;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8016;True
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;10;8018;Astrofisica e cosmologia [LM];2;;;Italiano;Scienze;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8018;True
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;10;8020;Bioinformatics [LM];2;;interamente internazionale;Inglese;Scienze;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8020;True
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;10;8025;Fisica [LM];2;;;Italiano;Scienze;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8025;True
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;10;8026;Fotochimica e materiali molecolari [LM];2;;;Italiano;Scienze;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8026;True
