accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;11;8040;Servizio sociale [L];3;True;;Italiano;Scienze politiche;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8040
libero accesso con verifica delle conoscenze;2016/2017;Forli;11;8048;Scienze internazionali e diplomatiche [L];3;True;;Italiano;Scienze politiche;Forli;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8048
libero accesso con verifica delle conoscenze;2016/2017;Forli;11;8495;Sociologia [L];3;True;;Italiano;Scienze politiche;Forli;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8495
libero accesso con verifica delle conoscenze;2016/2017;Bologna;11;8853;Scienze politiche, sociali e internazionali [L];3;True;;Italiano;Scienze politiche;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8853
libero accesso con verifica delle conoscenze;2016/2017;Bologna;11;8890;Sviluppo e cooperazione internazionale [L];3;True;;Italiano;Scienze politiche;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8890
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Forli;11;8049;Interdisciplinary research and studies on eastern europe [LM];2;True;interamente internazionale;Inglese;Scienze politiche;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8049
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Forli;11;8051;Mass media e politica [LM];2;True;;Italiano;Scienze politiche;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8051
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Forli;11;8491;Scienze criminologiche per linvestigazione e la sicurezza [LM];2;True;;Italiano;Scienze politiche;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8491
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;11;8782;Relazioni internazionali [LM];2;True;uno o pi� curricula internazionali;Italiano Inglese;Scienze politiche;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8782
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Forli;11;8783;Scienze internazionali e diplomatiche [LM];2;True;uno o pi� curricula internazionali;Italiano Inglese;Scienze politiche;Forli;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8783
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;11;8784;Politica, amministrazione e organizzazione [LM];2;True;;Italiano;Scienze politiche;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8784
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;11;8786;Sociologia e servizio sociale [LM];2;True;;Italiano;Scienze politiche;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8786
numero chiuso;2016/2017;Bologna;11;8840;Comunicazione pubblica e dimpresa [LM];2;True;;Italiano;Scienze politiche;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8840
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Ravenna;11;8889;Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali [LM];2;True;;Italiano;Scienze politiche;Ravenna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8889
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;11;9200;Sviluppo locale e globale [LM];2;True;;Italiano;Scienze politiche;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9200
