annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;1;8834;Acquacoltura e igiene delle produzioni ittiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8834;Cesena;Cesenatico;Agraria e Medicina veterinaria;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;1;8522;Biotecnologie animali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8522;Bologna;Ozzano dell' Emilia;Agraria e Medicina veterinaria;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;1;8526;Economia e marketing nel sistema agro-industriale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8526;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea;3;Italiano;;numero chiuso
2016/2017;True;1;8883;International horticultural science ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8883;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;1;8617;Medicina veterinaria;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8617;Bologna;Ozzano dell' Emilia;Agraria e Medicina veterinaria;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;1;8882;Produzioni animali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8882;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea;3;Italiano;;numero chiuso
2016/2017;True;1;8532;Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8532;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;1;8525;Scienze del territorio e dell'ambiente agro-forestale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8525;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea;3;Italiano;;numero chiuso
2016/2017;True;1;8884;Scienze e tecnologie agrarie;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8884;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;1;8531;Scienze e tecnologie alimentari;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8531;Cesena;Cesena;Agraria e Medicina veterinaria;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;1;8521;Sicurezza e qualita' delle produzioni animali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8521;Bologna;Ozzano dell' Emilia;Agraria e Medicina veterinaria;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;1;8524;Tecnologie agrarie;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8524;Bologna;Bologna;Agraria e Medicina veterinaria;Laurea;3;Italiano;;numero chiuso
2016/2017;True;1;8528;Tecnologie alimentari;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8528;Cesena;Cesena;Agraria e Medicina veterinaria;Laurea;3;Italiano;;numero chiuso
2016/2017;True;1;8523;Verde ornamentale e tutela del paesaggio;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8523;Bologna;Imola;Agraria e Medicina veterinaria;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;1;8527;Viticoltura ed enologia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8527;Cesena;Cesena;Agraria e Medicina veterinaria;Laurea;3;Italiano;;numero chiuso
