annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;2;897;Direzione aziendale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0897;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;numero chiuso
2016/2017;True;2;899;Economia e diritto;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0899;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;2;900;Economia e professione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0900;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;2;901;Finanza, intermediari e mercati;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0901;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;2;902;Innovation and organization of culture and the arts;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0902;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Inglese;interamente internazionale;numero chiuso
2016/2017;True;2;905;Economia e commercio [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0905;Forlì;Forlì;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8038;Economia, mercati e istituzioni;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8038;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Italiano;;numero chiuso
2016/2017;False;2;8053;Finanza, assicurazioni e impresa;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8053;Rimini;Rimini;Economia, Management e Statistica;Laurea;3;Italiano;;libero
2016/2017;False;2;8405;Economia aziendale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8405;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Italiano;;numero chiuso
2016/2017;True;2;8406;Management e marketing;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8406;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Italiano;;numero chiuso
2016/2017;False;2;8407;Business and economics;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8407;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Inglese;interamente internazionale;numero chiuso
2016/2017;True;2;8408;Economics;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8408;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8420;Economia e politica economica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8420;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8609;Tourism economics and management ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8609;Rimini;Rimini;Economia, Management e Statistica;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8835;Economics and finance ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8835;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Inglese;interamente internazionale;numero chiuso
2016/2017;True;2;8839;Resource economics and sustainable development ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8839;Rimini;Rimini;Economia, Management e Statistica;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8842;Amministrazione e gestione d'impresa;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8842;Rimini;Rimini;Economia, Management e Statistica;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;numero chiuso
2016/2017;True;2;8843;Management dell’economia sociale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8843;Forlì;Forlì;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8847;Economia del turismo;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8847;Rimini;Rimini;Economia, Management e Statistica;Laurea;3;Italiano Inglese;uno o più curricula internazionali;numero chiuso
2016/2017;True;2;8848;Economia dell'impresa;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8848;Rimini;Rimini;Economia, Management e Statistica;Laurea;3;Italiano;;numero chiuso
2016/2017;False;2;8851;Economia e commercio;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8851;Forlì;Forlì;Economia, Management e Statistica;Laurea;3;Italiano;;numero chiuso
2016/2017;True;2;8854;Quantitative finance;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8854;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;2;8858;Economia e gestione aziendale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8858;Forlì;Forlì;Economia, Management e Statistica;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;numero chiuso
2016/2017;True;2;8871;Economia aziendale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8871;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Italiano;;numero chiuso
2016/2017;True;2;8872;Finanza, assicurazioni e impresa;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8872;Rimini;Rimini;Economia, Management e Statistica;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;2;8873;Scienze statistiche [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8873;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica delle conoscenze
2016/2017;True;2;8875;Scienze statistiche [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8875;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8876;Statistica, economia e impresa;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8876;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8877;Scienze statistiche, finanziarie e attuariali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8877;Rimini;Rimini;Economia, Management e Statistica;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8880;Health economics and management ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8880;Bologna;Bologna;Economia, Management e Statistica;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;2;8965;Business and economics;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8965;Bologna;Bologna;Economia, Management e Statistica;Laurea;3;Inglese;interamente internazionale;numero chiuso
2016/2017;True;2;9202;Economia e commercio (forl�);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9202;Forlì;Forlì;Economia, Management e Statistica;Laurea;3;Italiano Inglese;uno o più curricula internazionali;numero chiuso
2016/2017;True;2;9203;Economia e management;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9203;Forlì;Forlì;Economia, Management e Statistica;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;numero chiuso
