annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;3;8005;Biotecnologie;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8005;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea;3;Italiano;;numero chiuso
2016/2017;True;3;8012;Scienze biologiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8012;Bologna;Bologna;Scienze Farmacia, Biotecnologie e Scienze motorie;Laurea;3;Italiano;;numero chiuso
2016/2017;True;3;8021;Biologia molecolare e cellulare;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8021;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8022;Biotecnologie molecolari e industriali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8022;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8023;Biologia della salute;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8023;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8036;Scienze e tecniche dell'attivita' motoria preventiva e adattata;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8036;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8037;Scienze e tecniche dell'attivita' sportiva;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8037;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8210;Management delle attivita' motorie e sportive;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8210;Rimini;Rimini;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8412;Chimica e tecnologia farmaceutiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8412;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;3;8413;Farmacia (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8413;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;3;8414;Farmacia (Rimini);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8414;Rimini;Rimini;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;3;8512;Scienze delle attivita' motorie e sportive (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8512;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea;3;Italiano;;numero chiuso
2016/2017;True;3;8517;Controllo di qualita' dei prodotti per la salute;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8517;Rimini;Rimini;Farmacia, Biotecnologie e Scienze motorie;Laurea;3;Italiano;;numero chiuso
2016/2017;True;3;8518;Scienze farmaceutiche applicate;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8518;Bologna;Imola;Farmacia, Biotecnologie e Scienze motorie;Laurea;3;Italiano;;numero chiuso
2016/2017;True;3;8519;Biotecnologie farmaceutiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8519;Bologna;Bologna;Farmacia, Biotecnologie e Scienze motorie;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;3;8766;Scienze delle attivita' motorie e sportive (Rimini);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8766;Rimini;Rimini;Farmacia, Biotecnologie e Scienze motorie;Laurea;3;Italiano;;numero chiuso
