annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;5;9021;Advanced design;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9021;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;5;8769;Aerospace engineering ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8769;Forlì;Forlì;Ingegneria e Architettura;Laurea Magistrale;2;Inglese;interamente internazionale;numero chiuso
2016/2017;True;5;881;Architettura;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0881;Cesena;Cesena;Ingegneria e Architettura;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;5;8891;Automation engineering ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8891;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;5;8211;Civil engineering;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8211;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8895;Civil engineering;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8895;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8182;Design del prodotto industriale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8182;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8263;Ingegneria aerospaziale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8263;Forlì;Forlì;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;946;Ingegneria biomedica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0946;Cesena;Cesena;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8198;Ingegneria biomedica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8198;Cesena;Cesena;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;5;918;Ingegneria chimica e biochimica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0918;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8887;Ingegneria chimica e biochimica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8887;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8896;Ingegneria chimica e di processo;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8896;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8888;Ingegneria civile [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8888;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;930;Ingegneria civile [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0930;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8829;Ingegneria dei processi e dei sistemi edilizi;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8829;Ravenna;Ravenna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;920;Ingegneria dell'automazione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0920;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8610;Ingegneria dell'energia elettrica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8610;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8611;Ingegneria dell'energia elettrica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8611;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8614;Ingegneria e scienze informatiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8614;Cesena;Cesena;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8615;Ingegneria e scienze informatiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8615;Cesena;Cesena;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;False;5;921;Ingegneria edile;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0921;Ravenna;Ravenna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;9199;Ingegneria edile;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9199;Ravenna;Ravenna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;940;Ingegneria edile - architettura;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0940;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;5;934;Ingegneria elettronica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0934;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;923;Ingegneria elettronica e telecomunicazioni;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0923;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8770;Ingegneria elettronica e telecomunicazioni per l’energia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8770;Cesena;Cesena;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8767;Ingegneria elettronica per l'energia e l'informazione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8767;Cesena;Cesena;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;924;Ingegneria energetica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0924;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;935;Ingegneria energetica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0935;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;925;Ingegneria gestionale [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0925;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;936;Ingegneria gestionale [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0936;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;926;Ingegneria informatica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0926;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;937;Ingegneria informatica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0937;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;927;Ingegneria meccanica [L] (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0927;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;949;Ingegneria meccanica [L] (Forli);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0949;Forlì;Forlì;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;938;Ingegneria meccanica [LM] (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0938;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;8771;Ingegneria meccanica [LM] (Forli);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8771;Forlì;Forlì;Ingegneria e Architettura;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;5;9198;Ingegneria per l'ambiente e il territorio [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9198;Bologna;Bologna;Ingegneria e Architettura;Laurea;3;Italiano;;numero chiuso
2016/2017;True;5;8894;Ingegneria per l'ambiente e il territorio [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8894;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;5;9205;Telecommunications engineering;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9205;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;5;8846;Telecommunications engineering ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8846;Bologna;Bologna;Ingegneria e Architettura;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
