annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;6;956;Dams - discipline delle arti, della musica  e dello spettacolo;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0956;Bologna;Bologna;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;6;957;Filosofia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0957;Bologna;Bologna;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;6;962;Storia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0962;Bologna;Bologna;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;6;964;Antropologia culturale ed etnologia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0964;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;966;Cinema, televisione e produzione multimediale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0966;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;970;Filologia, letteratura e tradizione classica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0970;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;971;Geografia e processi territoriali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0971;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;973;Italianistica, culture letterarie europee, scienze linguistiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0973;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;977;Arti visive;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0977;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;8493;Antropologia, religioni, civilta' orientali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8493;Bologna;Bologna;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;6;8616;Conservazione e restauro dei beni culturali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8616;Ravenna;Ravenna;Lettere e Beni culturali;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;6;8772;Culture e tecniche della moda;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8772;Rimini;Rimini;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;8773;Scienze filosofiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8773;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;8836;Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8836;Ravenna;Ravenna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;8837;Discipline della musica e del teatro;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8837;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;8838;Scienze del libro e del documento;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8838;Ravenna;Ravenna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;6;8841;Fashion culture and management ;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8841;Rimini;Rimini;Lettere e Beni culturali;Laurea Magistrale;2;Inglese;interamente internazionale;libero
2016/2017;True;6;8845;Scienze storiche e orientalistiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8845;Bologna;Bologna;Lettere e Beni culturali;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;6;8849;Beni culturali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8849;Ravenna;Ravenna;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;6;8850;Lettere;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8850;Bologna;Bologna;Lettere e Beni culturali;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
