annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;8;8204;Odontoiatria e protesi dentaria;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8204;Bologna;Bologna;Medicina e Chirurgia;Laurea Magistrale a ciclo unico;6;Italiano;;numero chiuso
2016/2017;True;8;8415;Medicina e chirurgia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8415;Bologna;Bologna;Medicina e Chirurgia;Laurea Magistrale a ciclo unico;6;Italiano;;numero chiuso
2016/2017;True;8;8470;Dietistica (abilitante alla professione sanitaria di dietista);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8470;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;False;8;8471;Ostetricia (abilitante alla professione sanitaria di ostetrica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8471;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;False;8;8472;Ostetricia (abilitante alla professione sanitaria di ostetrica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8472;Rimini;Rimini;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8473;Infermieristica (abilitante alla professione sanitaria di infermiere) (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8473;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8474;Infermieristica (abilitante alla professione sanitaria di infermiere) (Faenza);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8474;Ravenna;Faenza;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8475;Infermieristica (abilitante alla professione sanitaria di infermiere) (Rimini);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8475;Rimini;Rimini;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8476;Fisioterapia (abilitante alla professione sanitaria di fisioterapista);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8476;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8477;Educazione professionale (abilitante alla professione sanitaria di educatore professionale);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8477;Bologna;Imola;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8478;Logopedia (abilitante alla professione sanitaria di logopedista);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8478;Ravenna;Faenza;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
2016/2017;True;8;8479;Podologia (abilitante alla professione sanitaria di podologo);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8479;Bologna;Bologna;Medicina e Chirurgia;Laurea;3;Italiano;;numero chiuso
