annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;9;989;Neuroscienze e riabilitazione neuropsicologica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0989;Cesena;Cesena;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;9;990;Psicologia clinica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0990;Cesena;Cesena;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;9;991;Psicologia cognitiva applicata;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0991;Cesena;Bologna;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;9;992;Psicologia delle organizzazioni e dei servizi;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0992;Cesena;Cesena;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;9;993;Psicologia scolastica e di comunita';http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0993;Cesena;Cesena;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;9;8540;Scienze della formazione primaria;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8540;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea Magistrale a ciclo unico;5;Italiano;;numero chiuso
2016/2017;True;9;8774;Scienze e tecniche psicologiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8774;Cesena;Cesena;Psicologia e Scienze della Formazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;9;8775;Educatore nei servizi per l'infanzia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8775;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;9;8776;Educatore sociale e culturale (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8776;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;9;8777;Educatore sociale e culturale (Rimini);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8777;Rimini;Rimini;Psicologia e Scienze della Formazione;Laurea;3;Italiano;;numero chiuso
2016/2017;True;9;8778;Progettazione e gestione dell'intervento educativo nel disagio sociale (Bologna);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8778;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;9;8779;Progettazione e gestione dell'intervento educativo nel disagio sociale (Rimini);http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8779;Rimini;Rimini;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;9;8780;Scienze dell’educazione permanente e della formazione continua;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8780;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;9;8781;Pedagogia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8781;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;9;9206;Pedagogia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9206;Bologna;Bologna;Psicologia e Scienze della Formazione;Laurea Magistrale;2;Italiano;;numero chiuso
