annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;10;884;Chimica industriale [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0884;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8004;Astronomia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8004;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8006;Chimica e chimica dei materiali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8006;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8007;Fisica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8007;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8009;Informatica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8009;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8010;Matematica [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8010;Bologna;Bologna;Scienze;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;10;8011;Scienze ambientali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8011;Ravenna;Ravenna;Scienze;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;10;8014;Informatica per il management;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8014;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8015;Scienze geologiche;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8015;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8016;Scienze naturali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8016;Bologna;Bologna;Scienze;Laurea;3;Italiano;;numero chiuso
2016/2017;True;10;8018;Astrofisica e cosmologia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8018;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8020;Bioinformatics;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8020;Bologna;Bologna;Scienze;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8025;Fisica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8025;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8026;Fotochimica e materiali molecolari;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8026;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8027;Geologia e territorio;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8027;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8028;Informatica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8028;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8208;Matematica [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8208;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8209;Scienze e gestione della natura;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8209;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8418;Analisi e gestione dell'ambiente;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8418;Ravenna;Ravenna;Scienze;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;10;8419;Biodiversita' ed evoluzione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8419;Bologna;Bologna;Scienze;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
