corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
8005;66600;FISICA E STATISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366357;;366357
8005;66601;CHIMICA (C.I.);;;366361
8005;65931;CHIMICA GENERALE ED INORGANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366364;modulo;366364
8005;55393;CHIMICA ORGANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366365;modulo;366365
8005;66607;MORFOLOGIA CELLULARE E D'ORGANO (C.I.);;;366389
8005;65683;BIOLOGIA CELLULARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366390;modulo;366390
8005;66606;ANATOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366391;modulo;366391
8005;66606;ANATOMIA (4);;modulo;414693
8005;66608;PROPRIETA' INTELLETTUALE E BIOETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366395;;366395
8005;66609;BIOCHIMICA;;;366396
8005;66610;CHIMICA BIOANALITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366399;;366399
8005;66611;BIOLOGIA MOLECOLARE (C.I.);;;366400
8005;66612;BIOLOGIA MOLECOLARE GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366401;modulo;366401
8005;66613;BIOLOGIA MOLECOLARE EUCARIOTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366402;modulo;366402
8005;66614;MICROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366403;;366403
8005;66615;GENETICA (C.I.);;;366404
8005;66616;GENETICA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366406;modulo;366406
8005;66619;GENETICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366407;modulo;366407
8005;66620;FISIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366410;;366410
8005;66622;BIOTECNOLOGIE DELLE FERMENTAZIONI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366412;;366412
8005;66625;BIOLOGIA STRUTTURALE (C.I.);;;366417
8005;66626;BIOCHIMICA DELLE PROTEINE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366418;modulo;366418
8005;66627;BIOLOGIA COMPUTAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366419;modulo;366419
8005;66629;PATOLOGIA GENERALE E IMMUNOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366422;;366422
8005;66631;BIOTECNOLOGIE FARMACOLOGICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366423;;366423
8005;66632;BIOTECNOLOGIE GENETICHE VEGETALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366427;;366427
8005;66633;BIOTECNOLOGIE E MODELLI ANIMALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366428;;366428
8005;66642;BIOTECNOLOGIE CELLULARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366445;;366445
8005;66644;BIOTECNOLOGIE VIRALI E MICROBICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366447;;366447
8005;66645;MICROBIOLOGIA MEDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366449;;366449
8005;66647;CHIMICA FARMACEUTICA E TECNOLOGIE PER LA PROTEOMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366450;;366450
8005;61682;DIAGNOSTICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366463;;366463
8005;66654;BIOTECNOLOGIE AGROAMBIENTALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366464;;366464
8005;66656;BIOTECNOLOGIE IN VITRO DEI TESSUTI UMANI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366466;;366466
8005;66657;BIOTECNOLOGIE DELLA PRODUZIONE ANIMALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366467;;366467
8005;12942;FISIOLOGIA MOLECOLARE DELLE PIANTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369489;;369489
8005;78783;BIODIVERSITA' ED EVOLUZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402294;;402294
8005;78785;MATEMATICA E INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402296;;402296
8005;78785;MATEMATICA E INFORMATICA (4);;modulo;403542
8005;78788;GENOMICA E MEDICINA PERSONALIZZATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402299;;402299
8005;72822;RIDUZIONE MEMBRI SENATO ACCADEMICO O CONSIGLIO DI AMMINISTRAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/420893;;420893
8012;54576;CITOLOGIA E ISTOLOGIA;;;324243
8012;451;GENETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324287;;324287
8012;443;FISIOLOGIA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324294;;324294
8012;61;BIOCHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324297;;324297
8012;248;ECOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324369;;324369
8012;498;IGIENE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324460;;324460
8012;8632;ECOLOGIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324510;;324510
8012;58157;ABILITA' INFORMATICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328022;;328022
8012;26338;IDONEITA' LINGUA INGLESE B - 1;;;328053
8012;13395;BOTANICA EVOLUZIONISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349855;;349855
8012;37637;ZOOLOGIA EVOLUZIONISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349857;;349857
8012;7970;ZOOLOGIA DEI VERTEBRATI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349877;;349877
8012;66955;ZOOLOGIA;;;367372
8012;66907;CHIMICA GENERALE;;;367403
8012;66979;FONDAMENTI DI MATEMATICA, PROBABILITA' E STATISTICA;;;367520
8012;66989;BIOLOGIA E DIVERSITA' VEGETALE;;;367541
8012;66992;CHIMICA ORGANICA;;;367554
8012;66993;FISICA;;;367564
8012;67002;ANATOMIA COMPARATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367623;;367623
8012;67004;BIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367639;;367639
8012;67006;MICROBIOLOGIA E VIROLOGIA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367640;;367640
8012;67008;ANATOMIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367657;;367657
8012;67017;BIOCHIMICA CELLULARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367687;;367687
8012;67020;BIOLOGIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367690;;367690
8012;67022;FARMACOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367692;;367692
8012;66619;GENETICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367698;;367698
8012;67025;METODI MOLECOLARI IN SISTEMATICA ANIMALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367700;;367700
8012;67120;PIANTE, ALIMENTAZIONE E AMBIENTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/368271;;368271
8012;68586;FILOSOFIA DELLA SCIENZA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/373944;;373944
8012;69576;PRODUTTIVITA' PRIMARIA E SVILUPPO SOSTENIBILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376679;;376679
8012;69577;PRINCIPI DI CONSERVAZIONE BIOLOGICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376680;;376680
8012;70136;IGIENE AMBIENTALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378019;;378019
8012;61431;QUALITA' E SICUREZZA IN LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385147;;385147
8012;445;FISIOLOGIA VEGETALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385151;;385151
8012;72830;ZOOLOGIA MARINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385152;;385152
8012;72831;AMBIENTE MARINO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385153;;385153
8012;72832;FISIOLOGIA UMANA CON ELEMENTI DI FISIOPATOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385154;;385154
8012;72834;IMMUNOLOGIA E PATOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385156;;385156
8021;7936;NEUROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/322718;;322718
8021;26912;ATTIVITA' PRATICA DI LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323603;;323603
8021;65820;MICROBIOLOGIA E VIROLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364221;;364221
8021;65822;EPIGENETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364225;;364225
8021;26337;IDONEITA' LINGUA INGLESE B - 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364226;;364226
8021;65824;METODI SPETTROSCOPICI IN BIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364228;;364228
8021;65825;FISIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364230;;364230
