corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
659;536;ISTITUZIONI DI DIRITTO ROMANO;;;204263
659;24331;STORIA DEL DIRITTO MEDIOEVALE E MODERNO;;;204264
659;256;ECONOMIA POLITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204265;;204265
659;222;DIRITTO COSTITUZIONALE;;;204267
659;385;FILOSOFIA DEL DIRITTO;;;204268
659;230;DIRITTO INTERNAZIONALE;;;204270
659;224;DIRITTO DEL LAVORO;;;204271
659;221;DIRITTO COMMERCIALE;;;204272
659;236;DIRITTO PUBBLICO COMPARATO;;;204273
659;232;DIRITTO PRIVATO COMPARATO;;;204274
659;225;DIRITTO DELLA NAVIGAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204275;;204275
659;1621;DIRITTO FINANZIARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204276;;204276
659;1261;DIRITTO DI FAMIGLIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204278;;204278
659;942;STORIA DEL DIRITTO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204280;;204280
659;3317;ISTITUZIONI DI DIRITTO PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204281;;204281
659;3575;SOCIOLOGIA DEL DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204282;;204282
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204284;;204284
659;46818;DIRITTI FONDAMENTALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204285;;204285
659;233;DIRITTO PROCESSUALE CIVILE;;;204286
659;231;DIRITTO PENALE;;;204287
659;9945;INFORMATICA GIURIDICA;;;204289
659;24614;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204290;;204290
659;53513;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204291;;204291
659;57802;DIRITTO DELL'UNIONE EUROPEA;;;204292
659;218;DIRITTO CANONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204293;;204293
659;227;DIRITTO ECCLESIASTICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204294;;204294
659;217;DIRITTO AMMINISTRATIVO;;;204295
659;239;DIRITTO TRIBUTARIO;;;204296
659;815;PROCEDURA PENALE;;;204297
659;24629;DIRITTO COSTITUZIONALE AVANZATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204298;;204298
659;216;DIRITTO AGRARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204300;;204300
659;3607;DIRITTO PENALE COMMERCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204301;;204301
659;30001;DIRITTO DELLA COMUNICAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204303;;204303
659;1892;DIRITTO PENITENZIARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204304;;204304
659;228;DIRITTO FALLIMENTARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204306;;204306
659;229;DIRITTO INDUSTRIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204307;;204307
659;48067;DIRITTO DEI PAESI ASIATICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204308;;204308
659;9260;DIRITTO DEI TRASPORTI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204309;;204309
659;12515;DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204310;;204310
659;48066;ECONOMIA E ISTITUZIONI LOCALI;;;204312
659;237;DIRITTO PUBBLICO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204314;;204314
659;49240;DIRITTO PROCESSUALE DELL'UNIONE EUROPEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204315;;204315
659;4472;DIRITTO PROCESSUALE AMMINISTRATIVO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204316;;204316
659;17234;DIRITTO DEI MERCATI FINANZIARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204317;;204317
659;701;MEDICINA LEGALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204320;;204320
659;2513;CRIMINOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204321;;204321
659;3639;DIRITTO REGIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204322;;204322
659;939;STORIA DEL DIRITTO CANONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204324;;204324
659;24633;METODOLOGIA GIURIDICA ROMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204328;;204328
659;24634;LOGICA E ARGOMENTAZIONE GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204329;;204329
659;24628;LINGUA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204354;;204354
659;18063;PROCEDURA PENALE EUROPEA E INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310295;;310295
659;9517;DIRITTO DELL'ESECUZIONE PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332251;;332251
659;32608;DIRITTO DELLE ASSICURAZIONI PRIVATE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332259;;332259
659;3029;DIRITTO SANITARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332260;;332260
659;32612;LAW OF THE EUROPEAN UNION;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332270;;332270
659;28557;ECONOMICS;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332283;;332283
659;32616;PHILOSOPHY OF LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332286;;332286
659;45101;METODOLOGIA E STORIA DEL PENSIERO GIURIDICO DAL MEDIOEVO ALL'ETA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/345111;;345111
659;48651;INFORMATICA FORENSE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/361598;;361598
659;61531;DIRITTO DEGLI APPALTI PUBBLICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369916;;369916
659;41321;DIRITTO DEGLI ENTI LOCALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369917;;369917
659;37469;ETICA APPLICATA: BIOETICA E ETICA DELLE PROFESSIONI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369919;;369919
659;37770;MAFIE E ANTIMAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369934;;369934
659;31658;DIRITTO DEI PAESI ISLAMICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377457;;377457
659;69910;ANALISI COMPARATA DEI DIRITTI A BASE RELIGIOSA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377459;;377459
659;69917;DIRITTO DEL LAVORO COMPARATO E TRANSNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377465;;377465
659;2589;DIRITTO DELLA SICUREZZA SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377466;;377466
659;69918;INFORMATION TECHNOLOGY AND LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377467;;377467
659;1855;DIRITTO INTERNAZIONALE PRIVATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377469;;377469
659;69926;COMPARATIVE CONSTITUTIONALISM;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377494;;377494
659;70342;DIRITTO COSTITUZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378789;;378789
659;70344;DIRITTO PRIVATO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378794;;378794
659;70376;ECONOMIA POLITICA (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378946;;378946
659;70377;ISTITUZIONI DI DIRITTO ROMANO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378947;;378947
659;70378;STORIA DEL DIRITTO MEDIOEVALE E MODERNO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378948;;378948
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378949;;378949
659;70395;DIRITTO AMMINISTRATIVO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378984;;378984
659;70396;DIRITTO DEL LAVORO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378985;;378985
659;70397;PROCEDURA PENALE EUROPEA E INTERNAZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378986;;378986
659;70398;DIRITTO CIVILE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378987;;378987
659;70401;DIRITTO PENALE II (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378988;;378988
659;70402;DIRITTO INTERNAZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378989;;378989
659;70403;STORIA DEL DIRITTO ROMANO (F);;;378991
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383259;;383259
659;71797;PROCEDURA PENALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383390;;383390
659;71880;CRIME, PUNISHMENT AND SOCIETY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383394;;383394
659;71881;PROCEDURA PENALE AVANZATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383395;;383395
659;71802;DIRITTO COMMERCIALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388669;;388669
659;71798;DIRITTO DELL'UNIONE EUROPEA (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388670;;388670
659;71796;DIRITTO PENALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388674;;388674
659;35648;DIRITTO PROCESSUALE CIVILE E ORDINAMENTO GIUDIZIARIO FRANCESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388683;;388683
659;73950;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388693;;388693
659;73951;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388694;;388694
659;73955;DIRITTO AMMINISTRATIVO II (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388698;;388698
659;73956;PROCEDURA PENALE II (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388701;;388701
659;73957;DIRITTO TRIBUTARIO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388702;;388702
659;74764;DIRITTO PRIVATO;;;390957
659;74765;DIRITTO CIVILE;;;390958
659;74768;DIRITTO AERONAUTICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/390961;;390961
659;74769;DIRITTO DI INTERNET E DEI SOCIAL MEDIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/390962;;390962
659;74770;DIRITTO NOTARILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/390963;;390963
659;74772;TEORIA DEL DIRITTO E DELLA GIUSTIZIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/390965;;390965
659;76506;FILOSOFIA E METODOLOGIA GIURIDICA (F) - I PARTE: FILOSOFIA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395186;;395186
659;76507;FILOSOFIA E METODOLOGIA GIURIDICA (F) - II PARTE: METODOLOGIA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395187;;395187
659;76508;DIRITTO PUBBLICO DELL'ECONOMIA (DROIT PUBBLIC DES AFFAIRES ET CIVILIZATION);;;395188
659;76509;DIRITTO COMMERCIALE (DROIT COMMERCIAL);;;395189
659;76510;DIRITTO TRIBUTARIO (DROIT FISCAL);;;395190
659;76511;DIRITTO DEL LAVORO (DROIT DU TRAVAIL);;;395191
659;71808;DIRITTO INTERNAZIONALE PUBBLICO (DROIT INTERNATIONAL PUBLIC) (F);;;395225
659;71809;DIRITTO CIVILE (DROIT CIVIL) (F);;;395228
659;71810;STORIA DEL DIRITTO MODERNO (DROIT DES LIBERTES FONDAMENTALES) (F);;;395229
659;71815;ATTIVIT?« LIBERE - IDONEIT?« (F);;;395241
659;76568;DIRITTO PENALE - PARTE SPECIALE (DROIT PENAL SPECIAL) - IDONEIT?«;;;395727
659;76570;TEORIA GENERALE DEL DIRITTO (TH?ÎORIE G?ÎN?ÎRAL DU DROIT) (F);;;395731
659;76571;STORIA DEL DIRITTO (HISTOIRE COMPAR?ÎE DU DROIT PRIV?Î);;;395733
659;76572;DIRITTO AMMINISTRATIVO II (DROIT DES SERVICES PUBLIQUES) (F);;;395734
659;76573;DIRITTO COSTITUZIONALE AVANZATO (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395735;;395735
659;76574;DIRITTO DEL LAVORO (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395736;;395736
659;76575;DIRITTO PROCESSUALE CIVILE I (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395737;;395737
659;76576;DIRITTO COMMERCIALE (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395738;;395738
659;76577;STORIA DEL DIRITTO ROMANO (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395746;;395746
659;76578;DIRITTO PUBBLICO ROMANO (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395747;;395747
659;76579;ECONOMIA POLITICA (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395748;;395748
659;76580;PROCEDURA PENALE I (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395754;;395754
659;76581;METODOLOGIA E STORIA DEL PENSIERO GIURIDICO DAL MEDIOEVO ALL'ET?« MODERNA (FF);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395757;;395757
659;76586;LINGUAGGIO GIURIDICO (TRADUCTION JURIDIQUE) (F);;;395803
659;76587;ISTITUZIONI DEL DIRITTO CONTEMPORANEO (POLITIQUE, SOCIET?Î, ECONOMIE) - IDONEIT?« (F);;;395804
659;76602;LINGUA FRANCESE - IDONEIT?«;;;395849
659;9736;DIRITTO SPORTIVO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400620;;400620
659;77907;LAW AND BUSINESS IN CHINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400621;;400621
659;77908;INTERNATIONAL TRADE AND INVESTMENT LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400622;;400622
659;77909;EUROPEAN COMPETITION LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400623;;400623
659;77911;DIRITTO PROCESSUALE GENERALE E ORDINAMENTO GIUDIZIARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400626;;400626
659;78438;IL DIRITTO E LA VITA CHE NASCE: I TRE MONOTEISMI A CONFRONTO;;;401275
659;36666;SEM. ETICA E POLITICA NELLA PROSPETTIVA DEGLI STUDI DI GENERE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401318;;401318
659;70370;SEM. LA GIUSTIZIA PENALE SUL GRANDE SCHERMO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401366;;401366
659;25520;SEM. MIGRAZIONI, DEVIANZA E CONTROLLO SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401375;;401375
659;73849;SEM. DIRITTO COSTITUZIONALE DELLA COMUNIT?« INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/404163;;404163
659;38811;SEM. DISCRIMINAZIONI E DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/404235;;404235
659;76622;SEM. IL PROCESSO CIVILE TELEMATICO: RIFLESSIONE CORALE DI UN MUTAMENTO CULTURALE;;;405066
659;74986;PRINCIPLES OF EUROPEAN LEGAL ORDERS;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412182;;412182
659;15212;DIRITTO DELL'AMBIENTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412305;;412305
659;5974;DIRITTO URBANISTICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412306;;412306
659;9646;DIRITTO PENALE COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412307;;412307
659;81997;DIRITTO PENALE INTERNAZIONALE ED EUROPEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412308;;412308
659;81802;GENDER AND THE LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412309;;412309
659;81804;EUROPEAN TRANSPORT LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412311;;412311
659;81807;INTERNET, LAW, SOCIETY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412314;;412314
659;11821;DIRITTO ECCLESIASTICO COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412322;;412322
659;81812;EUROPEAN UNION INTERNAL MARKET LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412324;;412324
659;81809;BIODIRITTO PENALE: STORIA E PRINCIPI;;;412413
659;81883;IL BIODIRITTO PENALE DALL'ANTICHITA' AD OGGI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412414;modulo;412414
659;81884;PRINCIPI DEL BIODIRITTO PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412415;modulo;412415
659;81885;LAW OF THE EUROPEAN UNION (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412577;;412577
659;81886;"PHILOSOPHY AND METHODOLOGY OF LAW (F) &#8211; PART I: PHILOSOPHY OF LAW (F)";;;412578
659;81887;PHILOSOPHY AND METHODOLOGY OF LAW (F) - PART I: PHILOSOPHY OF LAW (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412580;;412580
659;81890;ECONOMICS (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412586;;412586
659;81891;INTERNATIONAL LAW (F);;;412589
659;82300;DIRITTO TRIBUTARIO AVANZATO (FISCALIT?« DI IMPRESA);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413793;;413793
659;82536;Sem. Approfondimento in materia di diritti reali;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/414975;;414975
659;82537;Sem. Approfondimento in materia di successioni e donazioni;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/414977;;414977
659;82538;Sem. Approfondimento in tema di filiazioni e unioni di fatto;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/414980;;414980
659;82539;Sem. Il nuovo processo canonico di nullita' del matrimonio: effetti nell'ordinamento italiano;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/414982;;414982
659;82542;Sem. Global Classroom - I diritti fondamentali nella societa'?· dell'infromazione;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415065;;415065
659;82543;Sem. Integrazione fiscale europea;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415074;;415074
659;82544;Sem. La tutela giuridica del marchio nell'industria della moda;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415078;;415078
659;82545;Sem. Il processo civile telematico;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415080;;415080
659;82546;Sem. Diritto delle reti e delle associazioni di impresa;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415082;;415082
659;82547;Sem. Le bioetiche sospese: gli sguardi degli ordinamenti religiosi e secolari;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415083;;415083
659;82556;SEM. DIRITTO TRIBUTARIO TRANSNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415246;;415246
659;83121;Sem. Tecniche e competenze della negoziazione e della advocacy mediation;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/417328;;417328
659;84043;Sem. In vista del referendum: capire la riforma costituzionale;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/420917;;420917
660;536;ISTITUZIONI DI DIRITTO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204131;;204131
660;24331;STORIA DEL DIRITTO MEDIOEVALE E MODERNO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204133;;204133
660;256;ECONOMIA POLITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204139;;204139
660;385;FILOSOFIA DEL DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204147;;204147
660;222;DIRITTO COSTITUZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204148;;204148
660;224;DIRITTO DEL LAVORO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204149;;204149
660;221;DIRITTO COMMERCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204150;;204150
660;230;DIRITTO INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204151;;204151
660;232;DIRITTO PRIVATO COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204152;;204152
660;236;DIRITTO PUBBLICO COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204153;;204153
660;9945;INFORMATICA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204190;;204190
