corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
881;76561;LABORATORIO DI LAUREA: PROGETTO, STORIA E RESTAURO (C.I.);;;311752
881;8043;RESTAURO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311753;modulo;311753
881;79889;ESTETICA DEL PAESAGGIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311754;modulo;311754
881;82997;COMPOSIZIONE ARCHITETTONICA/MUSEOGRAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311755;modulo;311755
881;73766;NUOVE TECNOLOGIE PER IL RILIEVO DEL COSTRUITO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311756;modulo;311756
881;82998;CONSOLIDAMENTO DELL'EDILIZIA STORICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311757;modulo;311757
881;73767;PROGETTO E CONSERVAZIONE ATTIVA DI PAESAGGI E SPAZI APERTI STORICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335572;modulo;335572
881;29482;LABORATORIO DI PROGETTAZIONE ARCHITETTONICA I (C.I.);;;326082
881;3869;ARCHITETTURA E COMPOSIZIONE ARCHITETTONICA I;;modulo;326085
881;29508;DISEGNO DELLA CITT?Ç E DEL PAESAGGIO;;modulo;326086
881;29511;CARATTERI DISTRIBUTIVI DEGLI EDIFICI I;;modulo;326095
881;70461;STORIA DELL'ARCHITETTURA 1 -;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/326112;;326112
881;70460;MATERIALI E PROGETTAZIONE DI ELEMENTI COSTRUTTIVI -;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/326146;;326146
881;29835;LABORATORIO DI PROGETTAZIONE ARCHITETTONICA III (C.I.);;;326673
881;3718;COMPOSIZIONE ARCHITETTONICA I;;modulo;326686
881;19090;TEORIE DELLA COMPOSIZIONE ARCHITETTONICA;;modulo;326687
881;30355;LABORATORIO DI RESTAURO ARCHITETTONICO (C.I.);;;327278
881;9362;RESTAURO ARCHITETTONICO;;modulo;327296
881;45211;CONSERVAZIONE DEI MATERIALI NELL'EDILIZIA STORICA;;modulo;327297
881;32647;LABORATORIO DI RILIEVO DELL'ARCHITETTURA (C.I.);;;332362
881;32648;RILIEVO ARCHITETTONICO E URBANO;;modulo;332363
881;32649;STRUMENTI E METODI DEL RILIEVO ARCHITETTONICO;;modulo;332364
881;70459;FISICA TECNICA AMBIENTALE I -;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332371;;332371
881;76559;LABORATORIO DI LAUREA: ARCHITETTURA SOSTENIBILE (C.I.);;;335541
881;37810;TECNOLOGIE PER LA PROGETTAZIONE SOSTENIBILE I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335544;modulo;335544
881;37811;TECNOLOGIE PER LA PROGETTAZIONE SOSTENIBILE II;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335545;modulo;335545
881;82662;PROGETTAZIONE DELL'EFFICIENZA E VALUTAZIONE DEI COMPORTAMENTI ENERGETICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335546;modulo;335546
881;73773;TECNOLOGIE PER IL RISPARMIO ENERGETICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335547;modulo;335547
881;33155;PROGETTAZIONE SOSTENIBILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335548;modulo;335548
881;40133;AFPG - LABORATORIO DI FOTOGRAFIA I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335614;;335614
881;40130;AFPG - LABORATORIO DI MODELLISTICA I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335620;;335620
