corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
956;27096;STORIA DEL TEATRO E DELLO SPETTACOLO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320148;;320148
956;3510;DRAMMATURGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320172;;320172
956;13703;ISTITUZIONI DI STORIA DEL CINEMA;;;320173
956;27104;ANALISI DEL FILM;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320174;;320174
956;12121;STORIA DELLA RADIO E DELLA TELEVISIONE;;;320175
956;27107;STORIA DELLA MUSICA III: '800;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320179;;320179
956;27108;STORIA DELLA MUSICA II: '600-'700;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320180;;320180
956;11382;STORIA DELL'ARTE MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320184;;320184
956;2290;STORIA DELL'ARTE MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320185;;320185
956;951;STORIA DELL'ARTE CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320186;;320186
956;956;STORIA DELLA CRITICA D'ARTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320189;;320189
956;8776;PSICOLOGIA DELL'ARTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320191;;320191
956;11213;SEMIOTICA DELL'ARTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320192;;320192
956;562;LETTERATURA ITALIANA;;;320194
956;2609;LETTERATURA ITALIANA CONTEMPORANEA;;;320195
956;27110;STORIA DELLA REGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320196;;320196
956;3529;METODOLOGIA DELLA CRITICA DELLE ARTI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320211;;320211
956;354;FILMOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320221;;320221
956;12838;STORIA DEL CINEMA ITALIANO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320222;;320222
956;41822;CINEMATOGRAFIA DOCUMENTARIA E SPERIMENTALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320223;;320223
956;11661;TEORIA E TECNICA DEI NUOVI MEDIA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320224;;320224
956;3527;ETNOMUSICOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320227;;320227
956;27112;STORIA DELLA MUSICA I: MEDIOEVO E RINASCIMENTO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320229;;320229
956;10877;DRAMMATURGIA MUSICALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320230;;320230
956;37087;STORIA DELLA MUSICA IV: '900 (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320231;;320231
956;27114;SCENOGRAFIA: ELEMENTI, TEORIA, STORIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320233;;320233
956;27117;ORGANIZZAZIONE DELLO SPAZIO TEATRALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320236;;320236
956;27118;PROMOZIONE E INFORMAZIONE TEATRALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320237;;320237
956;27123;LINGUA E TRADUZIONE INGLESE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320243;;320243
956;27124;LINGUA E TRADUZIONE FRANCESE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320244;;320244
956;345;ESTETICA;;;320247
956;45;ANTROPOLOGIA CULTURALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320248;;320248
956;4336;SEMIOTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320251;;320251
956;11779;STORIA MEDIEVALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320252;;320252
956;12693;STORIA CONTEMPORANEA (1);;;320254
956;33830;STORIA DELLE TEORIE DEL CINEMA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320263;;320263
956;14276;STORIA DEL CINEMA NORDAMERICANO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320265;;320265
956;41827;STORIA E METODOLOGIA DELLA CRITICA CINEMATOGRAFICA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320271;;320271
956;14138;SEMIOTICA DEI MEDIA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320277;;320277
956;41828;TECNOLOGIE MULTIMEDIALI (1);;;320278
956;27127;TEORIA E TECNICA DEL MONTAGGIO CINEMATOGRAFICO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320279;;320279
956;42559;PEDAGOGIA MUSICALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320295;;320295
956;13769;ACUSTICA MUSICALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320307;;320307
956;27132;STORIA DEL JAZZ (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320310;;320310
956;42565;PSICOLOGIA DELLA MUSICA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320315;;320315
956;3534;ORGANIZZAZIONE ED ECONOMIA DELLO SPETTACOLO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320332;;320332
956;12871;PEDAGOGIA GENERALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320337;;320337
956;41834;INFORMATICA PER LO SPETTACOLO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320351;;320351
956;13332;LETTERATURA INGLESE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320355;;320355
956;12914;PSICOLOGIA DELLA COMUNICAZIONE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320370;;320370
956;42568;PSICOLOGIA DELLA PERCEZIONE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320371;;320371
956;12355;INFORMATICA DI BASE;;;320378
956;27151;LABORATORIO DI CINEMA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320380;;320380
956;27152;LABORATORIO DI MUSICA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320454;;320454
956;32158;LABORATORIO DI TEATRO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320455;;320455
956;27154;SEMINARIO DI ARTE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320456;;320456
956;27155;SEMINARIO DI CINEMA (1);;;320457
956;27156;SEMINARIO DI MUSICA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320458;;320458
956;27157;SEMINARIO DI TEATRO (1);;;320459
956;27158;TIROCINIO DI ARTE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320460;;320460
956;27159;TIROCINIO DI CINEMA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320461;;320461
956;27160;TIROCINIO DI MUSICA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320462;;320462
956;32597;TIROCINIO DI TEATRO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320463;;320463
956;17268;PROVA FINALE;;;320464
956;10438;STORIA DELLA FOTOGRAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339344;;339344
956;41996;SCRITTURA PER IL CINEMA E LA TELEVISIONE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339350;;339350
956;41820;STORIA COMPARATA DELL'ARTE NEI PAESI EUROPEI (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349105;;349105
956;37144;FILOSOFIA DEL LINGUAGGIO (C.I.);;;349533
956;37668;STORIA DELLA DANZA E DELLE ARTI DEL MOVIMENTO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/351219;;351219
956;39438;FILOSOFIA ED ESTETICA MUSICALE;;;360611
956;39932;ISTITUZIONI DI DIRITTO PUBBLICO (DIRITTO DEI MEDIA E DELLO SPETTACOLO) (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/362024;;362024
956;27136;STORIA DELLA DANZA E DELLE ARTI DEL MOVIMENTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376591;;376591
956;11292;ANTROPOLOGIA CULTURALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376592;;376592
956;12872;PEDAGOGIA GENERALE (2);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384344;;384344
956;10362;FENOMENOLOGIA DEGLI STILI (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/391005;;391005
956;78046;STORIA DELL'ARCHITETTURA CONTEMPORANEA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400792;;400792
956;78047;STORIA DELL'ARCHITETTURA MEDIEVALE E MODERNA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400793;;400793
956;78048;ELEMENTI DI ARMONIA E CONTRAPPUNTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400794;;400794
956;78049;STORIA DELLA MUSICA LEGGERA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400795;;400795
956;78050;STORIA DEL NUOVO TEATRO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400796;;400796
956;78052;TEATRO MODERNO E CONTEMPORANEO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400798;;400798
957;388;FILOSOFIA DELLA SCIENZA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321571;;321571
957;2607;LOGICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321572;;321572
957;345;ESTETICA;;;321574
957;981;STORIA DELLA SCIENZA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321575;;321575
957;12362;STORIA DELLA FILOSOFIA ANTICA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321578;;321578
957;12191;STORIA DELLA FILOSOFIA MEDIEVALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321579;;321579
957;932;STORIA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321580;;321580
957;929;STORIA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321581;;321581
957;11379;STORIA MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321584;;321584
957;996;STORIA GRECA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321585;;321585
957;1009;STORIA ROMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321586;;321586
957;961;STORIA DELLA FILOSOFIA;;;321587
957;393;FILOSOFIA MORALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321589;;321589
957;10219;FILOSOFIA TEORETICA (1);;;321590
957;10052;FILOSOFIA DELLA STORIA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321591;;321591
957;10283;FILOSOFIA DEL LINGUAGGIO (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321597;;321597
957;27387;METODI DELLA CONOSCENZA SCIENTIFICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321598;;321598
957;4385;STORIA DELLA FILOSOFIA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321612;;321612
957;2282;STORIA DELLA PSICOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321613;;321613
957;30413;LABORATORIO DI FILOSOFIA (1);;;321618
957;7654;BIOETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321619;;321619
957;2550;FILOSOFIA DELLA POLITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321620;;321620
957;4402;STORIA DELLA FILOSOFIA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321621;;321621
957;18123;STORIA DELLA SCIENZA E DELLE TECNICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321622;;321622
957;2290;STORIA DELL'ARTE MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321646;;321646
957;951;STORIA DELL'ARTE CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321647;;321647
957;556;LETTERATURA GRECA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321651;;321651
957;562;LETTERATURA ITALIANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321654;;321654
957;2609;LETTERATURA ITALIANA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321661;;321661
957;483;GLOTTOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321662;;321662
957;18093;LETTERATURA FRANCESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321663;;321663
957;18095;LETTERATURA INGLESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321664;;321664
957;4538;POETICA E RETORICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321667;;321667
957;12871;PEDAGOGIA GENERALE (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321678;;321678
957;12872;PEDAGOGIA GENERALE (2);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321680;;321680
957;12513;PSICOLOGIA COGNITIVA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321682;;321682
957;19203;PSICOLOGIA COGNITIVA (1);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/321683;;321683
