corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
979;30931;LETTERATURA ITALIANA 1;;;328635
979;30946;LINGUA E LINGUISTICA FINLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328679;;328679
979;30950;LINGUA E LINGUISTICA FRANCESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328691;;328691
979;30951;LINGUA E LINGUISTICA INGLESE 1;;;328699
979;30954;LINGUA E LINGUISTICA NEDERLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328705;;328705
979;30959;LINGUA E LINGUISTICA POLACCA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328720;;328720
979;30965;LINGUA E LINGUISTICA PORTOGHESE E BRASILIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328730;;328730
979;30970;LINGUA E LINGUISTICA RUSSA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328739;;328739
979;30972;LINGUA E LINGUISTICA SPAGNOLA 1;;;328742
979;30976;LINGUA E LINGUISTICA TEDESCA 1;;;328747
979;30980;LINGUA E LINGUISTICA UNGHERESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328752;;328752
979;30994;LETTERATURA FINLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328772;;328772
979;31028;LETTERATURA FRANCESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328827;;328827
979;31035;LETTERATURA NEDERLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328836;;328836
979;31038;LETTERATURA POLACCA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328837;;328837
979;31041;LETTERATURA RUSSA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328843;;328843
979;31043;LETTERATURA SPAGNOLA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328849;;328849
979;31046;LETTERATURA TEDESCA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328854;;328854
979;31048;LETTERATURA UNGHERESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328857;;328857
979;31055;LETTERATURE ANGLO-AMERICANE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328861;;328861
979;31059;LETTERATURE ISPANO-AMERICANE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328880;;328880
979;31061;LETTERATURE PORTOGHESE E BRASILIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328886;;328886
979;31065;LINGUA E LINGUISTICA ARABA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328903;;328903
979;31068;LINGUA E LINGUISTICA CINESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328910;;328910
979;31070;LINGUA E LINGUISTICA GIAPPONESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328918;;328918
979;31082;LINGUA E LINGUISTICA PERSIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328936;;328936
979;31102;LETTERATURA ARABA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328969;;328969
979;31103;LETTERATURA CINESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328974;;328974
979;31107;LETTERATURA GIAPPONESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328980;;328980
979;31115;LETTERATURA PERSIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329006;;329006
979;11379;STORIA MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329033;;329033
979;929;STORIA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329047;;329047
979;932;STORIA CONTEMPORANEA;;;329053
979;31141;LINGUA E LINGUISTICA FINLANDESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329072;;329072
979;31142;LETTERATURA FINLANDESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329076;;329076
979;31145;LETTERATURA FRANCESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329079;;329079
979;31146;LETTERATURA INGLESE 2;;;329082
979;31147;LINGUA E LINGUISTICA FRANCESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329084;;329084
979;31149;LETTERATURA NEDERLANDESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329089;;329089
979;31150;LINGUA E LINGUISTICA INGLESE 2;;;329092
979;31154;LETTERATURA POLACCA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329097;;329097
979;31155;LINGUA E LINGUISTICA NEDERLANDESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329098;;329098
979;31156;LETTERATURA RUSSA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329101;;329101
979;31159;LETTERATURA SPAGNOLA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329107;;329107
979;31163;LETTERATURA TEDESCA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329115;;329115
979;31164;LINGUA E LINGUISTICA POLACCA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329116;;329116
979;31167;LETTERATURA UNGHERESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329119;;329119
979;31170;LETTERATURE ANGLO-AMERICANE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329121;;329121
979;31171;LINGUA E LINGUISTICA PORTOGHESE E BRASILIANA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329122;;329122
979;31174;LETTERATURE ISPANO-AMERICANE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329129;;329129
979;31176;LINGUA E LINGUISTICA RUSSA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329130;;329130
979;31178;LETTERATURE PORTOGHESE E BRASILIANA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329133;;329133
979;31182;LINGUA E LINGUISTICA SPAGNOLA 2;;;329137
979;31186;LETTERATURA ARABA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329145;;329145
979;31187;LINGUA E LINGUISTICA TEDESCA 2;;;329146
979;31191;LETTERATURA CINESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329152;;329152
979;31195;LETTERATURA GIAPPONESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329156;;329156
979;31199;LINGUA E LINGUISTICA ARABA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329167;;329167
979;31201;LETTERATURA PERSIANA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329170;;329170
979;31206;LINGUA E LINGUISTICA CINESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329175;;329175
979;31211;LINGUA E LINGUISTICA GIAPPONESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329183;;329183
979;31215;FILOLOGIA ARABA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329187;;329187
979;31217;FILOLOGIA CINESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329192;;329192
979;31219;FILOLOGIA GERMANICA 1;;;329194
979;31221;LINGUA E LINGUISTICA PERSIANA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329195;;329195
979;31220;FILOLOGIA GIAPPONESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329197;;329197
979;31228;FILOLOGIA ROMANZA 1;;;329207
979;31234;FILOLOGIA UGRO-FINNICA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329215;;329215
979;31284;LETTERATURA ITALIANA 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329341;;329341
979;2609;LETTERATURA ITALIANA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329345;;329345
979;10516;FILOLOGIA DELLA LETTERATURA ITALIANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329351;;329351
979;8846;LETTERATURE COMPARATE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329356;;329356
979;4177;SOCIOLOGIA DELLA LETTERATURA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329359;;329359
979;9435;TEORIA DELLA LETTERATURA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329363;;329363
979;6490;GLOTTODIDATTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329365;;329365
979;567;LETTERATURA LATINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329369;;329369
979;31298;LINGUA E LINGUISTICA FINLANDESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329383;;329383
979;31299;LINGUA E LINGUISTICA FRANCESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329384;;329384
979;31300;LINGUA E LINGUISTICA INGLESE 3;;;329385
979;31303;LINGUA E LINGUISTICA POLACCA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329387;;329387
979;31304;LINGUA E LINGUISTICA PORTOGHESE E BRASILIANA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329390;;329390
979;31306;LINGUA E LINGUISTICA RUSSA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329394;;329394
979;31307;LINGUA E LINGUISTICA SPAGNOLA 3;;;329396
979;31308;LINGUA E LINGUISTICA TEDESCA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329399;;329399
979;31309;LINGUA E LINGUISTICA UNGHERESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329401;;329401
979;31311;LINGUA E LINGUISTICA ARABA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329405;;329405
979;31312;LINGUA E LINGUISTICA CINESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329407;;329407
979;31313;LINGUA E LINGUISTICA GIAPPONESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329408;;329408
979;31318;LINGUA E LINGUISTICA PERSIANA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329414;;329414
979;31328;LETTERATURA ARABA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329426;;329426
979;31331;LETTERATURA CINESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329429;;329429
979;31332;LETTERATURA DEI PAESI DI LINGUA INGLESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329430;;329430
979;31333;LETTERATURA FINLANDESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329431;;329431
979;31334;LETTERATURA FRANCESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329432;;329432
979;31335;LETTERATURA GIAPPONESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329433;;329433
979;54705;LETTERATURA INGLESE 3;;;329436
979;31338;LETTERATURA NEDERLANDESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329438;;329438
979;31341;LETTERATURA PERSIANA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329441;;329441
979;31342;LETTERATURA POLACCA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329442;;329442
979;31346;LETTERATURA RUSSA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329445;;329445
979;31349;LETTERATURA SPAGNOLA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329448;;329448
979;31350;LETTERATURA TEDESCA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329449;;329449
979;31352;LETTERATURA UNGHERESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329451;;329451
979;31353;LETTERATURE ANGLO-AMERICANE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329452;;329452
979;31356;LETTERATURE ISPANO-AMERICANE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329455;;329455
979;31359;LINGUISTICA STORICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329458;;329458
979;6450;LINGUISTICA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329459;;329459
979;31192;LINGUA E LINGUISTICA UNGHERESE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329462;;329462
979;386;FILOSOFIA DEL LINGUAGGIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329464;;329464
979;11382;STORIA DELL'ARTE MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329771;;329771
979;31501;STORIA COMPARATA DELL'ARTE NEI PAESI EUROPEI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329775;;329775
979;2290;STORIA DELL'ARTE MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329776;;329776
979;3634;STORIA E CRITICA DEL CINEMA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329778;;329778
979;31502;FILOLOGIA SLAVA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329779;;329779
979;42768;CINEMA E LETTERATURA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329780;;329780
979;463;GEOGRAFIA POLITICA ED ECONOMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329790;;329790
979;12512;ECONOMIA E GESTIONE DELLE IMPRESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329793;;329793
979;5515;STORIA DELLE RELAZIONI INTERNAZIONALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329795;;329795
979;49059;STORIA DELLA CULTURA SPAGNOLA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329853;;329853
979;12805;STORIA DELLA CULTURA INGLESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329863;;329863
979;31301;LINGUA E LINGUISTICA NEDERLANDESE 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329919;;329919
979;31357;LETTERATURE PORTOGHESE E BRASILIANA 3;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329940;;329940
979;17268;PROVA FINALE;;;329984
979;43554;ATTIVITA' DI TIROCINIO, INFORMATICHE, CULTURALI E RELAZIONALI;;;329991
979;42780;PEDAGOGIA DELLA INTERCULTURALITA';http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331128;;331128
979;7918;LETTERATURA DEI PAESI DI LINGUA INGLESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369044;;369044
979;70095;LINGUA E LINGUISTICA CATALANA 1.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377851;;377851
979;70096;LINGUA E LINGUISTICA CATALANA 2.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377852;;377852
979;18090;LETTERATURA CATALANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/380993;;380993
979;71150;LINGUA E CULTURA BASCA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/380996;;380996
979;75344;LABORATORIO INFORMATICA E SCRITTURA ACCADEMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/391726;;391726
979;69318;LINGUISTICA GENERALE;;;402916
979;79040;TEORIA DEL LESSICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402922;;402922
979;79045;PRINCIPI DI TEORIA DELLA TRADUZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402935;;402935
979;18108;LINGUA CATALANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412267;;412267
979;81790;STORIA DELLA CULTURA CATALANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412268;;412268
979;31358;LINGUISTICA GENERALE 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412395;;412395
980;30931;LETTERATURA ITALIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329876;;329876
980;2609;LETTERATURA ITALIANA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329878;;329878
980;30950;LINGUA E LINGUISTICA FRANCESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329886;;329886
980;30965;LINGUA E LINGUISTICA PORTOGHESE E BRASILIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329888;;329888
980;30972;LINGUA E LINGUISTICA SPAGNOLA 1;;;329890
