corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
8204;39988;METODOLOGIA SCIENTIFICA - (C.I.);;;339949
8204;58200;FISICA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339950;modulo;339950
8204;7276;INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339952;modulo;339952
8204;11340;INFORMATICA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339953;modulo;339953
8204;27836;BIOLOGIA (C.I.);;;339956
8204;12946;BIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339957;modulo;339957
8204;57113;BIOLOGIA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339958;modulo;339958
8204;18300;CHIMICA E BIOCHIMICA (C.I.);;;339960
8204;88;CHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339961;modulo;339961
8204;61;BIOCHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339962;modulo;339962
8204;34331;ANATOMIA ED ISTOLOGIA (C.I.);;;339963
8204;358;ISTOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339964;modulo;339964
8204;10083;ANATOMIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339965;modulo;339965
8204;2573;INGLESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339966;;339966
8204;34332;PRINCIPI DI ODONTOIATRIA (C.I.);;;339967
8204;34333;PROPEDEUTICA CLINICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339968;modulo;339968
8204;34334;TIROCINIO IN PROPEDEUTICA CLINICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339969;modulo;339969
8204;57172;ODONTOIATRIA PREVENTIVA E DI COMUNITA';http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339970;modulo;339970
8204;34335;TIROCINIO IN ODONTOIATRIA PREVENTIVA E DI COMUNITA';http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339971;modulo;339971
8204;34336;IGIENE DENTALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339972;modulo;339972
