corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
989;42457;TECNICHE PSICOMETRICHE E DI ANALISI DEI DATI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331514;;331514
989;70245;SVILUPPO COGNITIVO E DISTURBI SPECIFICI DELL'APPRENDIMENTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/350451;;350451
989;69949;LABORATORIO DI INGLESE SPECIALISTICO PER PSICOLOGI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377617;;377617
989;70008;RIABILITAZIONE NEUROPSICOLOGICA IN ET?Ç EVOLUTIVA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378448;;378448
989;70009;RIABILITAZIONE NEUROPSICOLOGICA NELL'ADULTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378449;;378449
989;72580;SEMIOTICA E DIAGNOSI DIFFERENZIALE IN NEUROPSICOLOGIA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384364;;384364
989;72582;METODI DI INTERVENTO NEL DISAGIO DELL'ANZIANO.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384366;;384366
989;72583;NEUROSCIENZE SOCIALI-;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384367;;384367
989;72600;METODOLOGIA DELLA RICERCA IN NEUROSCIENZE;;;384439
989;73391;DISTURBI COGNITIVI IN ETA' EVOLUTIVA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/386644;;386644
989;78193;NEUROSCIENZE AFFETTIVE E COGNITIVE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400985;;400985
989;78194;NEUROPSICOLOGIA IN AMBITO FORENSE.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400986;;400986
989;78597;PSICOLOGIA SOCIALE DELLA MORALIT?Ç E DEL PREGIUDIZIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401830;;401830
989;78598;NEUROPSICOLOGIA DEI DISTURBI PSICHIATRICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401831;;401831
989;78996;LABORATORIO DI NEUROPSICOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402818;;402818
990;69988;MODELLI TEORICI ED OPERATIVI DELLA PSICOLOGIA DI COMUNIT?Ç.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331577;;331577
990;69989;PSICOPATOLOGIA DIFFERENZIALE.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331586;;331586
990;6140;PSICOSOMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331589;;331589
990;32152;LABORATORI I;;;331591
990;32152;LABORATORI I (A) (1/1);;modulo;353625
990;32152;LABORATORI I (A) (1/2);;modulo;353626
990;32152;LABORATORI I (C) (2/1);;modulo;353634
990;32152;LABORATORI I (C) (2/2);;modulo;386758
990;32152;LABORATORI I (F) (1/1);;modulo;402094
990;32152;LABORATORI I (F) (1/2);;modulo;419176
990;8704;METODOLOGIA CLINICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377586;;377586
990;69949;LABORATORIO DI INGLESE SPECIALISTICO PER PSICOLOGI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377589;;377589
990;7298;TECNICHE DI ANALISI DEI DATI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377594;;377594
990;23265;CLINIMETRIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377595;;377595
990;70244;CLINICAL APPLICATIONS OF POSITIVE PSYCHOLOGY.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378359;;378359
990;70249;PSICOLOGIA CLINICA DELLA RIABILITAZIONE.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378386;;378386
990;69990;LABORATORI II.;;;378467
990;69990;LABORATORI II. (B) (1/1);;modulo;402101
990;69990;LABORATORI II. (B) (1/2);;modulo;415032
990;69990;LABORATORI II. (D) (1/1);;modulo;402107
990;69990;LABORATORI II. (D) (1/2);;modulo;402108
990;69990;LABORATORI II. (E) (1/1);;modulo;402111
990;69990;LABORATORI II. (E) (1/2);;modulo;402112
990;69991;PSICOPATOLOGIA DELL'ETA' EVOLUTIVA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378468;;378468
990;69992;TERAPIA PSICOLOGICA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378470;;378470
990;72582;METODI DI INTERVENTO NEL DISAGIO DELL'ANZIANO.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385398;;385398
990;82158;PSYCHOLOGY AND PSYCHOPATHOLOGY OF SEXUAL BEHAVIOR;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413129;;413129
990;71990;PSICOFISIOLOGIA CLINICA (C.I.).;;;413451
990;71991;PSICOFISIOLOGIA CLINICA I .;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413452;modulo;413452
990;71992;PSICOFISIOLOGIA CLINICA II .;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413453;modulo;413453
991;70021;PSICOLOGIA SOCIALE COGNITIVA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331762;;331762
991;42444;PROCESSI E DISTURBI DELL'APPRENDIMENTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331783;;331783
991;45271;RITMI DEL COMPORTAMENTO E CICLO VEGLIA-SONNO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331793;;331793
991;72599;DISFUNZIONI COGNITIVE E DISAGIO PSICOLOGICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384438;;384438
991;40838;NEUROSCIENZE COGNITIVE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384441;;384441
991;72601;LABORATORI STAGE.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384443;;384443
991;72601;LABORATORI STAGE. (4);;modulo;415642
991;72601;LABORATORI STAGE. (5);;modulo;415641
991;72601;LABORATORI STAGE. (6);;modulo;415640
991;72601;LABORATORI STAGE. (7);;modulo;415639
991;72601;LABORATORI STAGE. (8);;modulo;415638
991;72604;LABORATORIO DI INGLESE SPECIALISTICO PER PSICOLOGI.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384453;;384453
991;72605;PSICOPATOLOGIA DEI DISTURBI EMOTIVI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384458;;384458
991;7283;PSICOLOGIA AMBIENTALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384461;;384461
991;7291;PSICOLOGIA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384466;;384466
991;72609;APPLICAZIONI DELLA REALT?Ç VIRTUALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384486;;384486
991;72610;PSICOLOGIA DELL'INVECCHIAMENTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384492;;384492
991;72612;PSICOLOGIA DELLA SALUTE E COMUNICAZIONE INTERPERSONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384494;;384494
991;701;MEDICINA LEGALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385733;;385733
991;24634;LOGICA E ARGOMENTAZIONE GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385743;;385743
