corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
884;66274;CHIMICA ANALITICA INDUSTRIALE E DI PROCESSO CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365121;;365121
884;66171;CHIMICA FISICA CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365122;;365122
884;66172;CHIMICA INORGANICA CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365125;;365125
884;66173;CHIMICA ORGANICA CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365136;;365136
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365137;;365137
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M (4);;modulo;399533
884;66175;PRODOTTI POLIMERICI INDUSTRIALI CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365139;;365139
884;66177;CHIMICA METALLORGANICA M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365175;;365175
884;66176;CHIMICA FISICA DEI MATERIALI FUNZIONALI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365189;;365189
884;66178;CHIMICA DELLA CATALISI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365190;;365190
884;66179;CHIMICA ORGANICA INDUSTRIALE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365191;;365191
884;66180;BIOTECNOLOGIA DELLE FERMENTAZIONI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365192;;365192
884;66181;TECNOLOGIE E CERTIFICAZIONE AMBIENTALE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365193;;365193
884;66182;METALLURGIA APPLICATA M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365194;;365194
884;66183;COMPLEMENTI DI IMPIANTI CHIMICI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365195;;365195
