"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Numero dei laureati";"185";"4";"109";"57";"4";"1";"9";"1"
"Hanno compilato il questionario";"180";"3";"106";"57";"4";"1";"8";"1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"consulente del lavoro (2)(1) ";"consulente del lavoro e delle relazioni aziendali (L-14)";"giurista d'impresa e delle amministrazioni pubbliche (L-14)";"operatore giuridico italo-francese (L-14)(1) ";"operatore informatico-giuridico (2)(1) ";"scienze giuridiche - sede di Bologna (31)";"scienze giuridiche - sede di Ravenna (31)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"38,4";"*";"36,7";"42,1";"*";"*";"33,3";"*"
"femmine";"61,6";"*";"63,3";"57,9";"*";"*";"66,7";"*"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"18,9";"*";"24,8";"14,0";"*";"*";"-";"*"
"23-24 anni";"33,0";"*";"34,9";"35,1";"*";"*";"-";"*"
"25-26 anni";"15,1";"*";"13,8";"19,3";"*";"*";"11,1";"*"
"27 anni e oltre";"33,0";"*";"26,6";"31,6";"*";"*";"88,9";"*"
"età media alla laurea ";"27,7";"*";"25,9";"30,0";"*";"*";"33,0";"*"
"Cittadini stranieri (%) ";"6,5";"*";"8,3";"1,8";"*";"*";"-";"*"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"44,3";"*";"42,2";"50,9";"*";"*";"33,3";"*"
"altra provincia della stessa regione";"23,8";"*";"22,0";"33,3";"*";"*";"-";"*"
"altra regione";"30,8";"*";"35,8";"14,0";"*";"*";"66,7";"*"
"estero";"1,1";"*";"-";"1,8";"*";"*";"-";"*"
"2. ORIGINE SOCIALE"
