"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Numero dei laureati";"1725";"171";"3";"91";"2";"4";"224";"27";"322";"7";"152";"8";"350";"1";"9";"225";"1";"2";"9";"108";"8";"1"
"Hanno compilato il questionario";"1637";"160";"3";"86";"2";"4";"214";"23";"309";"7";"145";"8";"339";"1";"8";"209";"1";"2";"5";"103";"7";"1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"33,3";"26,3";"*";"27,5";"*";"*";"6,3";"44,4";"38,2";"71,4";"48,7";"12,5";"37,1";"*";"44,4";"28,4";"*";"*";"55,6";"61,1";"37,5";"*"
"femmine";"66,7";"73,7";"*";"72,5";"*";"*";"93,8";"55,6";"61,8";"28,6";"51,3";"87,5";"62,9";"*";"55,6";"71,6";"*";"*";"44,4";"38,9";"62,5";"*"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"44,2";"48,0";"*";"36,3";"*";"*";"43,8";"-";"33,9";"-";"54,6";"-";"60,3";"*";"-";"44,4";"*";"*";"-";"42,6";"-";"*"
"23-24 anni";"33,4";"38,6";"*";"34,1";"*";"*";"38,4";"-";"41,0";"-";"30,3";"-";"29,1";"*";"-";"34,2";"*";"*";"-";"31,5";"37,5";"*"
"25-26 anni";"10,7";"4,7";"*";"7,7";"*";"*";"11,2";"3,7";"16,8";"28,6";"9,2";"-";"6,9";"*";"-";"12,4";"*";"*";"-";"17,6";"25,0";"*"
"27 anni e oltre";"11,7";"8,8";"*";"22,0";"*";"*";"6,7";"96,3";"8,4";"71,4";"5,9";"100,0";"3,7";"*";"100,0";"8,9";"*";"*";"100,0";"8,3";"37,5";"*"
"età media alla laurea ";"24,6";"24,1";"*";"26,9";"*";"*";"24,1";"32,4";"24,5";"35,0";"23,9";"28,7";"23,3";"*";"31,8";"24,1";"*";"*";"34,9";"24,4";"30,3";"*"
"Cittadini stranieri (%) ";"3,7";"-";"*";"3,3";"*";"*";"4,9";"14,8";"7,8";"-";"0,7";"-";"0,9";"*";"-";"5,8";"*";"*";"-";"0,9";"25,0";"*"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"20,3";"19,3";"*";"27,5";"*";"*";"10,3";"25,9";"14,3";"71,4";"20,4";"37,5";"19,4";"*";"55,6";"32,4";"*";"*";"44,4";"16,7";"50,0";"*"
"altra provincia della stessa regione";"28,5";"18,1";"*";"37,4";"*";"*";"41,5";"11,1";"14,9";"-";"34,2";"50,0";"31,4";"*";"33,3";"23,6";"*";"*";"33,3";"47,2";"25,0";"*"
"altra regione";"49,7";"62,6";"*";"34,1";"*";"*";"46,4";"55,6";"68,3";"28,6";"45,4";"12,5";"49,1";"*";"11,1";"40,9";"*";"*";"22,2";"35,2";"12,5";"*"
"estero";"1,4";"-";"*";"1,1";"*";"*";"1,8";"7,4";"2,5";"-";"-";"-";"-";"*";"-";"3,1";"*";"*";"-";"0,9";"12,5";"*"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"12,9";"9,4";"*";"7,0";"*";"*";"5,1";"8,7";"12,6";"-";"22,1";"-";"18,6";"*";"25,0";"11,0";"*";"*";"-";"12,6";"42,9";"*"
"uno solo con laurea";"22,4";"23,8";"*";"14,0";"*";"*";"19,2";"26,1";"24,3";"14,3";"25,5";"50,0";"23,9";"*";"12,5";"21,1";"*";"*";"-";"23,3";"14,3";"*"
"scuola media superiore";"50,0";"51,3";"*";"59,3";"*";"*";"55,6";"52,2";"47,9";"28,6";"44,8";"37,5";"47,8";"*";"37,5";"51,7";"*";"*";"40,0";"51,5";"42,9";"*"
"titoli inferiori o nessun titolo";"13,7";"13,1";"*";"19,8";"*";"*";"19,6";"8,7";"13,6";"57,1";"6,9";"12,5";"9,1";"*";"25,0";"15,3";"*";"*";"40,0";"12,6";"-";"*"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"27,8";"26,9";"*";"20,9";"*";"*";"20,6";"30,4";"27,8";"28,6";"27,6";"25,0";"31,6";"*";"25,0";"30,1";"*";"*";"40,0";"33,0";"28,6";"*"
"classe media impiegatizia";"31,3";"30,0";"*";"32,6";"*";"*";"28,5";"21,7";"28,2";"-";"40,7";"62,5";"33,3";"*";"25,0";"31,6";"*";"*";"20,0";"31,1";"28,6";"*"
"classe media autonoma";"22,4";"21,9";"*";"24,4";"*";"*";"25,7";"17,4";"24,9";"14,3";"17,9";"12,5";"20,4";"*";"37,5";"24,9";"*";"*";"20,0";"13,6";"42,9";"*"
"classe del lavoro esecutivo";"16,8";"17,5";"*";"22,1";"*";"*";"23,4";"21,7";"16,2";"57,1";"13,1";"-";"14,5";"*";"-";"12,0";"*";"*";"20,0";"22,3";"-";"*"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"antropologia, religioni, civiltà orientali - già scienze antropologiche (L-42)";"beni archeologici (13)(1) ";"beni culturali (L-1)";"beni storico-artistici e musicali (13)(1) ";"culture e tecniche del costume e della moda (23)(1) ";"culture e tecniche della moda (L-3)";"dams - discipline delle arti, della musica e dello spettacolo (23)";"dams - discipline delle arti, della musica e dello spettacolo (L-3)";"filosofia (29)";"filosofia (L-5)";"lettere (5)";"lettere (L-10)";"scienze antropologiche (29)(1) ";"scienze della comunicazione (14)";"scienze della comunicazione (L-20)";"scienze geografiche (30)(1) ";"scienze geografiche (L-6)(1) ";"storia (38)(2) ";"storia (L-42)";"storia e civiltà orientali (L-42)";"storia, culture e civiltà orientali (38)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"28,9";"31,6";"*";"20,9";"*";"*";"14,3";"29,6";"20,8";"-";"39,5";"37,5";"50,3";"*";"22,2";"16,9";"*";"*";"22,2";"28,7";"50,0";"*"
"liceo linguistico";"10,6";"15,8";"*";"6,6";"*";"*";"14,3";"3,7";"13,0";"-";"5,3";"-";"7,7";"*";"-";"13,8";"*";"*";"-";"5,6";"25,0";"*"
"liceo scientifico";"26,6";"19,9";"*";"20,9";"*";"*";"19,2";"22,2";"24,5";"42,9";"38,8";"37,5";"30,0";"*";"44,4";"25,3";"*";"*";"11,1";"35,2";"12,5";"*"
"liceo socio-psico-pedagogico o ist. magistrale";"10,3";"13,5";"*";"6,6";"*";"*";"15,6";"3,7";"10,9";"14,3";"9,2";"-";"4,9";"*";"11,1";"14,7";"*";"*";"22,2";"8,3";"-";"*"
"tecnico";"11,3";"12,9";"*";"20,9";"*";"*";"14,7";"11,1";"9,6";"28,6";"3,3";"12,5";"2,6";"*";"11,1";"19,1";"*";"*";"33,3";"15,7";"12,5";"*"
"professionale";"3,3";"1,8";"*";"3,3";"*";"*";"10,7";"7,4";"2,5";"14,3";"1,3";"12,5";"0,9";"*";"11,1";"2,7";"*";"*";"-";"2,8";"-";"*"
"istruzione artistica";"6,3";"4,1";"*";"16,5";"*";"*";"7,6";"14,8";"12,7";"-";"2,6";"-";"3,1";"*";"-";"2,2";"*";"*";"11,1";"2,8";"-";"*"
"titolo estero";"2,8";"0,6";"*";"4,4";"*";"*";"3,6";"7,4";"5,9";"-";"-";"-";"0,6";"*";"-";"5,3";"*";"*";"-";"0,9";"-";"*"
"Voto di diploma (medie, in 100-mi) ";"79,7";"79,6";"*";"80,7";"*";"*";"77,5";"76,7";"77,0";"71,0";"82,8";"82,3";"85,3";"*";"79,9";"75,9";"*";"*";"67,5";"79,0";"70,8";"*"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"14,7";"15,2";"*";"23,1";"*";"*";"7,1";"11,1";"8,1";"14,3";"15,8";"12,5";"14,6";"*";"33,3";"25,3";"*";"*";"33,3";"13,0";"37,5";"*"
"in una provincia limitrofa";"16,1";"11,1";"*";"27,5";"*";"*";"11,6";"3,7";"10,9";"14,3";"17,1";"50,0";"18,6";"*";"11,1";"17,3";"*";"*";"-";"28,7";"12,5";"*"
