"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Numero dei laureati";"640";"23";"362";"1";"82";"172"
"Hanno compilato il questionario";"622";"23";"351";"1";"78";"169"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Genere (%)";" ";" ";" ";" ";" ";" "
"maschi";"19,7";"17,4";"18,2";"*";"32,9";"16,9"
"femmine";"80,3";"82,6";"81,8";"*";"67,1";"83,1"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"47,5";"-";"37,3";"*";"57,3";"70,9"
"23-24 anni";"30,8";"-";"39,5";"*";"29,3";"17,4"
"25-26 anni";"11,3";"4,3";"15,7";"*";"6,1";"5,2"
"27 anni e oltre";"10,5";"95,7";"7,5";"*";"7,3";"6,4"
"età media alla laurea ";"24,0";"31,2";"24,1";"*";"23,8";"23,0"
"Cittadini stranieri (%) ";"5,0";"4,3";"5,0";"*";"2,4";"6,4"
"Residenza (%)";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"18,8";"39,1";"21,3";"*";"20,7";"9,9"
"altra provincia della stessa regione";"36,9";"21,7";"40,6";"*";"31,7";"33,7"
"altra regione";"43,4";"34,8";"37,6";"*";"47,6";"54,7"
"estero";"0,9";"4,3";"0,6";"*";"-";"1,7"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"13,7";"8,7";"14,5";"*";"15,4";"11,8"
"uno solo con laurea";"19,3";"13,0";"17,7";"*";"17,9";"24,3"
"scuola media superiore";"53,1";"56,5";"53,6";"*";"51,3";"52,7"
"titoli inferiori o nessun titolo";"13,7";"21,7";"14,0";"*";"14,1";"11,2"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" "
"classe elevata";"26,2";"13,0";"27,4";"*";"24,4";"26,6"
"classe media impiegatizia";"28,8";"34,8";"27,6";"*";"23,1";"33,1"
"classe media autonoma";"22,5";"30,4";"22,5";"*";"28,2";"18,9"
"classe del lavoro esecutivo";"21,9";"21,7";"21,9";"*";"23,1";"20,7"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"lingue e letterature straniere (11)";"lingue e letterature straniere (L-11)";"lingue, mercati e culture dell'asia (11)(1) ";"lingue, mercati e culture dell'asia (L-11)";"mediazione linguistica interculturale (L-12)"
"Diploma (%)";" ";" ";" ";" ";" ";" "
"liceo classico";"18,1";"8,7";"19,3";"*";"20,7";"15,7"
"liceo linguistico";"34,2";"13,0";"34,0";"*";"34,1";"37,2"
"liceo scientifico";"25,0";"17,4";"23,8";"*";"30,5";"26,2"
"liceo socio-psico-pedagogico o ist. magistrale";"2,8";"8,7";"3,9";"*";"-";"1,2"
"tecnico";"14,2";"34,8";"12,7";"*";"14,6";"14,5"
"professionale";"1,9";"13,0";"2,5";"*";"-";"-"
"istruzione artistica";"0,6";"-";"0,8";"*";"-";"0,6"
"titolo estero";"3,1";"4,3";"3,0";"*";"-";"4,7"
"Voto di diploma (medie, in 100-mi) ";"84,9";"76,2";"83,0";"*";"84,4";"90,3"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"15,2";"21,7";"18,5";"*";"18,3";"5,8"
"in una provincia limitrofa";"22,5";"21,7";"25,4";"*";"23,2";"16,3"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"30,6";"8,7";"30,9";"*";"23,2";"36,0"
"al Sud, ma si sono laureati al Centro-Nord";"15,8";"30,4";"14,6";"*";"14,6";"16,9"
"al Centro, ma si sono laureati al Nord o al Sud";"12,8";"13,0";"7,7";"*";"20,7";"19,8"
"al Nord, ma si sono laureati al Centro-Sud";"-";"-";"-";"*";"-";"-"
"all'estero";"3,1";"4,3";"2,8";"*";"-";"5,2"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
