"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"dietistica (L/SNT3)";"dietistica (SNT/3)(1) ";"educazione professionale (L/SNT2)";"educazione professionale (SNT/2)";"fisioterapia (L/SNT2)";"fisioterapia (SNT/2)(1) ";"igiene dentale (L/SNT3)";"igiene dentale (SNT/3)(1) ";"infermieristica - sede di Bologna (L/SNT1)";"infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1)";"infermieristica - sede di Rimini (L/SNT1)";"infermieristica - sede di Rimini (SNT/1)";"infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1)";"infermieristica - sedi di Faenza e Ravenna (L/SNT1)";"logopedia (L/SNT2)";"ortottica ed assistenza oftalmologica (L/SNT2)";"ostetricia (L/SNT1)";"ostetricia (SNT/1)(1) ";"podologia (L/SNT2)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1) ";"tecniche di laboratorio biomedico (L/SNT3)";"tecniche di neurofisiopatologia (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1) ";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)";"tecniche ortopediche (L/SNT3)";"tecniche ortopediche (SNT/3)(1) "
"Numero dei laureati";"814";"6";"1";"21";"5";"66";"3";"13";"2";"196";"8";"158";"24";"36";"123";"9";"7";"29";"2";"14";"19";"3";"17";"8";"12";"3";"13";"15";"1"
"Hanno compilato il questionario";"766";"6";"1";"21";"5";"62";"3";"11";"2";"191";"5";"146";"20";"33";"114";"8";"7";"28";"2";"14";"19";"2";"16";"7";"12";"3";"12";"15";"1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"dietistica (L/SNT3)";"dietistica (SNT/3)(1) ";"educazione professionale (L/SNT2)";"educazione professionale (SNT/2)";"fisioterapia (L/SNT2)";"fisioterapia (SNT/2)(1) ";"igiene dentale (L/SNT3)";"igiene dentale (SNT/3)(1) ";"infermieristica - sede di Bologna (L/SNT1)";"infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1)";"infermieristica - sede di Rimini (L/SNT1)";"infermieristica - sede di Rimini (SNT/1)";"infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1)";"infermieristica - sedi di Faenza e Ravenna (L/SNT1)";"logopedia (L/SNT2)";"ortottica ed assistenza oftalmologica (L/SNT2)";"ostetricia (L/SNT1)";"ostetricia (SNT/1)(1) ";"podologia (L/SNT2)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)";"tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1) ";"tecniche di laboratorio biomedico (L/SNT3)";"tecniche di neurofisiopatologia (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1) ";"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)";"tecniche ortopediche (L/SNT3)";"tecniche ortopediche (SNT/3)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"30,0";"-";"*";"4,8";"60,0";"68,2";"*";"23,1";"*";"25,0";"12,5";"19,0";"37,5";"58,3";"19,5";"11,1";"42,9";"-";"*";"64,3";"47,4";"*";"23,5";"25,0";"41,7";"*";"53,8";"46,7";"*"
"femmine";"70,0";"100,0";"*";"95,2";"40,0";"31,8";"*";"76,9";"*";"75,0";"87,5";"81,0";"62,5";"41,7";"80,5";"88,9";"57,1";"100,0";"*";"35,7";"52,6";"*";"76,5";"75,0";"58,3";"*";"46,2";"53,3";"*"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"34,6";"83,3";"*";"38,1";"-";"28,8";"*";"30,8";"*";"39,8";"-";"46,8";"-";"-";"35,8";"22,2";"28,6";"34,5";"*";"28,6";"47,4";"*";"41,2";"25,0";"41,7";"*";"38,5";"26,7";"*"
"23-24 anni";"34,3";"16,7";"*";"42,9";"80,0";"37,9";"*";"46,2";"*";"33,2";"62,5";"30,4";"20,8";"25,0";"32,5";"66,7";"14,3";"51,7";"*";"42,9";"21,1";"*";"47,1";"50,0";"41,7";"*";"38,5";"40,0";"*"
"25-26 anni";"9,1";"-";"*";"-";"20,0";"9,1";"*";"7,7";"*";"8,2";"25,0";"5,7";"37,5";"13,9";"8,1";"-";"14,3";"3,4";"*";"7,1";"10,5";"*";"5,9";"-";"-";"*";"15,4";"13,3";"*"
"27 anni e oltre";"22,0";"-";"*";"19,0";"-";"24,2";"*";"15,4";"*";"18,9";"12,5";"17,1";"41,7";"61,1";"23,6";"11,1";"42,9";"10,3";"*";"21,4";"21,1";"*";"5,9";"25,0";"16,7";"*";"7,7";"20,0";"*"
"età media alla laurea ";"25,7";"22,8";"*";"27,1";"24,4";"25,7";"*";"24,7";"*";"25,1";"26,8";"24,9";"29,4";"28,3";"26,6";"24,6";"27,1";"24,3";"*";"25,0";"25,6";"*";"23,7";"24,5";"23,8";"*";"24,5";"26,3";"*"
