"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Numero dei laureati";"892";"1";"1";"2";"3";"4";"279";"4";"17";"221";"10";"123";"22";"6";"102";"4";"3";"1";"89"
"Hanno compilato il questionario";"844";"0";"1";"2";"3";"4";"274";"4";"16";"206";"8";"111";"21";"5";"99";"4";"3";"1";"82"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"32,3";"*";"*";"*";"*";"*";"35,1";"*";"52,9";"38,5";"20,0";"14,6";"59,1";"50,0";"20,6";"*";"*";"*";"36,0"
"femmine";"67,7";"*";"*";"*";"*";"*";"64,9";"*";"47,1";"61,5";"80,0";"85,4";"40,9";"50,0";"79,4";"*";"*";"*";"64,0"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"53,6";"*";"*";"*";"*";"*";"74,2";"*";"-";"55,2";"-";"39,8";"-";"-";"43,1";"*";"*";"*";"62,9"
"23-24 anni";"26,5";"*";"*";"*";"*";"*";"17,9";"*";"41,2";"33,0";"-";"32,5";"45,5";"-";"30,4";"*";"*";"*";"28,1"
"25-26 anni";"7,7";"*";"*";"*";"*";"*";"3,2";"*";"29,4";"6,8";"-";"13,0";"22,7";"-";"9,8";"*";"*";"*";"5,6"
"27 anni e oltre";"12,2";"*";"*";"*";"*";"*";"4,7";"*";"29,4";"5,0";"100,0";"14,6";"31,8";"100,0";"16,7";"*";"*";"*";"3,4"
"età media alla laurea ";"24,7";"*";"*";"*";"*";"*";"23,2";"*";"28,1";"23,6";"33,3";"25,7";"27,1";"37,6";"26,4";"*";"*";"*";"23,7"
"Cittadini stranieri (%) ";"4,4";"*";"*";"*";"*";"*";"6,1";"*";"5,9";"4,5";"-";"4,9";"4,5";"-";"2,0";"*";"*";"*";"2,2"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"22,2";"*";"*";"*";"*";"*";"9,7";"*";"29,4";"27,6";"10,0";"35,0";"18,2";"66,7";"14,7";"*";"*";"*";"32,6"
"altra provincia della stessa regione";"27,4";"*";"*";"*";"*";"*";"23,3";"*";"5,9";"20,4";"30,0";"39,0";"40,9";"33,3";"40,2";"*";"*";"*";"25,8"
"altra regione";"49,7";"*";"*";"*";"*";"*";"66,3";"*";"64,7";"50,7";"60,0";"26,0";"40,9";"-";"43,1";"*";"*";"*";"41,6"
"estero";"0,8";"*";"*";"*";"*";"*";"0,7";"*";"-";"1,4";"-";"-";"-";"-";"2,0";"*";"*";"*";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"culture e diritti umani (15)(1) ";"governo, amministrazione e gestione del territorio (19)(1) ";"operatore della sicurezza e del controllo sociale (36)(1) ";"scienze dell'organizzazione (19)(1) ";"scienze internazionali e diplomatiche (15)(1) ";"scienze internazionali e diplomatiche (L-36)";"scienze politiche (15)(1) ";"scienze politiche e delle organizzazioni (L-16,L-36)";"scienze politiche, sociali e internazionali - già studi internazionali (L-36)";"servizio sociale (6)";"servizio sociale (L-39)";"sociologia - già sociologia e scienze criminologiche per la sicurezza (L-40)";"sociologia (36)";"sociologia (L-40)";"sociologia e scienze criminologiche per la sicurezza - già sociologia per il terziario avanzato (36)(1) ";"studi internazionali - già relazioni internazionali (15)(1) ";"sviluppo e cooperazione internazionale (35)(1) ";"sviluppo e cooperazione internazionale (L-37)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"12,1";"*";"*";"*";"*";"*";"14,6";"*";"-";"15,0";"-";"7,2";"-";"-";"5,1";"*";"*";"*";"19,5"
"uno solo con laurea";"21,4";"*";"*";"*";"*";"*";"27,4";"*";"25,0";"23,8";"-";"15,3";"23,8";"-";"12,1";"*";"*";"*";"19,5"
