"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Numero dei laureati";"333";"14";"3";"1";"49";"42";"5";"1";"40";"2";"76";"46";"28";"1";"25"
"Hanno compilato il questionario";"308";"13";"2";"0";"42";"41";"5";"1";"38";"2";"71";"45";"27";"0";"21"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"54,1";"21,4";"*";"*";"67,3";"40,5";"60,0";"*";"70,0";"*";"68,4";"34,8";"39,3";"*";"56,0"
"femmine";"45,9";"78,6";"*";"*";"32,7";"59,5";"40,0";"*";"30,0";"*";"31,6";"65,2";"60,7";"*";"44,0"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"44,1";"21,4";"*";"*";"51,0";"26,2";"-";"*";"47,5";"*";"60,5";"50,0";"50,0";"*";"24,0"
"23-24 anni";"29,7";"50,0";"*";"*";"34,7";"40,5";"20,0";"*";"30,0";"*";"23,7";"30,4";"25,0";"*";"24,0"
"25-26 anni";"12,3";"14,3";"*";"*";"10,2";"19,0";"20,0";"*";"17,5";"*";"6,6";"8,7";"14,3";"*";"16,0"
"27 anni e oltre";"13,8";"14,3";"*";"*";"4,1";"14,3";"60,0";"*";"5,0";"*";"9,2";"10,9";"10,7";"*";"36,0"
"età media alla laurea ";"24,6";"25,0";"*";"*";"23,6";"24,8";"33,4";"*";"24,0";"*";"23,7";"23,9";"25,3";"*";"26,3"
"Cittadini stranieri (%) ";"4,2";"-";"*";"*";"4,1";"2,4";"20,0";"*";"2,5";"*";"3,9";"4,3";"-";"*";"16,0"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"35,4";"14,3";"*";"*";"44,9";"28,6";"20,0";"*";"55,0";"*";"31,6";"34,8";"25,0";"*";"32,0"
"altra provincia della stessa regione";"30,9";"50,0";"*";"*";"20,4";"23,8";"60,0";"*";"20,0";"*";"30,3";"37,0";"53,6";"*";"40,0"
"altra regione";"33,0";"35,7";"*";"*";"34,7";"47,6";"20,0";"*";"25,0";"*";"38,2";"26,1";"21,4";"*";"24,0"
"estero";"0,6";"-";"*";"*";"-";"-";"-";"*";"-";"*";"-";"2,2";"-";"*";"4,0"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"11,0";"7,7";"*";"*";"21,4";"12,2";"20,0";"*";"18,4";"*";"8,5";"2,2";"3,7";"*";"4,8"
"uno solo con laurea";"20,8";"23,1";"*";"*";"23,8";"24,4";"20,0";"*";"13,2";"*";"26,8";"15,6";"22,2";"*";"14,3"
"scuola media superiore";"49,0";"53,8";"*";"*";"40,5";"51,2";"20,0";"*";"44,7";"*";"50,7";"62,2";"44,4";"*";"47,6"
"titoli inferiori o nessun titolo";"16,9";"15,4";"*";"*";"9,5";"9,8";"40,0";"*";"18,4";"*";"14,1";"20,0";"29,6";"*";"23,8"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"26,0";"38,5";"*";"*";"28,6";"31,7";"20,0";"*";"26,3";"*";"26,8";"13,3";"22,2";"*";"23,8"
"classe media impiegatizia";"25,6";"23,1";"*";"*";"23,8";"29,3";"40,0";"*";"26,3";"*";"25,4";"33,3";"25,9";"*";"9,5"
"classe media autonoma";"30,8";"30,8";"*";"*";"38,1";"31,7";"40,0";"*";"23,7";"*";"31,0";"28,9";"37,0";"*";"23,8"
"classe del lavoro esecutivo";"15,6";"7,7";"*";"*";"9,5";"4,9";"-";"*";"15,8";"*";"16,9";"24,4";"14,8";"*";"33,3"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"10,2";"-";"*";"*";"16,3";"19,0";"-";"*";"5,0";"*";"7,9";"10,9";"10,7";"*";"4,0"
"liceo linguistico";"5,1";"7,1";"*";"*";"6,1";"4,8";"-";"*";"-";"*";"2,6";"10,9";"-";"*";"12,0"
"liceo scientifico";"40,2";"50,0";"*";"*";"46,9";"54,8";"-";"*";"52,5";"*";"46,1";"26,1";"28,6";"*";"8,0"
"liceo socio-psico-pedagogico o ist. magistrale";"3,9";"7,1";"*";"*";"2,0";"4,8";"-";"*";"10,0";"*";"-";"4,3";"7,1";"*";"4,0"
"tecnico";"30,9";"28,6";"*";"*";"26,5";"11,9";"60,0";"*";"27,5";"*";"34,2";"34,8";"42,9";"*";"44,0"
"professionale";"5,1";"7,1";"*";"*";"-";"4,8";"20,0";"*";"5,0";"*";"3,9";"8,7";"3,6";"*";"12,0"
"istruzione artistica";"1,8";"-";"*";"*";"-";"-";"-";"*";"-";"*";"2,6";"-";"7,1";"*";"4,0"
"titolo estero";"2,7";"-";"*";"*";"2,0";"-";"20,0";"*";"-";"*";"2,6";"4,3";"-";"*";"12,0"
"Voto di diploma (medie, in 100-mi) ";"78,2";"71,6";"*";"*";"76,8";"74,7";"83,0";"*";"77,1";"*";"82,6";"79,0";"75,9";"*";"82,1"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"33,9";"21,4";"*";"*";"44,9";"31,0";"20,0";"*";"45,0";"*";"28,9";"32,6";"28,6";"*";"28,0"
"in una provincia limitrofa";"21,6";"21,4";"*";"*";"14,3";"21,4";"40,0";"*";"15,0";"*";"23,7";"30,4";"25,0";"*";"24,0"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"19,8";"35,7";"*";"*";"10,2";"19,0";"-";"*";"25,0";"*";"23,7";"10,9";"28,6";"*";"28,0"
"al Sud, ma si sono laureati al Centro-Nord";"15,3";"21,4";"*";"*";"20,4";"14,3";"-";"*";"12,5";"*";"14,5";"17,4";"14,3";"*";"8,0"
"al Centro, ma si sono laureati al Nord o al Sud";"6,6";"-";"*";"*";"8,2";"14,3";"20,0";"*";"2,5";"*";"6,6";"4,3";"3,6";"*";"-"
"al Nord, ma si sono laureati al Centro-Sud";"-";"-";"*";"*";"-";"-";"-";"*";"-";"*";"-";"-";"-";"*";"-"
"all'estero";"2,7";"-";"*";"*";"2,0";"-";"20,0";"*";"-";"*";"2,6";"4,3";"-";"*";"12,0"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Hanno precedenti esperienze universitarie (%) ";"17,9";"30,8";"*";"*";"16,7";"24,4";"20,0";"*";"13,2";"*";"14,1";"13,3";"22,2";"*";"28,6"
"portate a termine";"4,9";"7,7";"*";"*";"4,8";"4,9";"-";"*";"2,6";"*";"4,2";"4,4";"3,7";"*";"14,3"
"non portate a termine";"13,0";"23,1";"*";"*";"11,9";"19,5";"20,0";"*";"10,5";"*";"9,9";"8,9";"18,5";"*";"14,3"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"40,3";"30,8";"*";"*";"50,0";"17,1";"80,0";"*";"31,6";"*";"43,7";"55,6";"33,3";"*";"47,6"
"fattori prevalentemente culturali";"33,1";"38,5";"*";"*";"9,5";"56,1";"-";"*";"44,7";"*";"38,0";"20,0";"40,7";"*";"14,3"
"fattori prevalentemente professionalizzanti";"6,2";"15,4";"*";"*";"16,7";"-";"-";"*";"2,6";"*";"5,6";"6,7";"-";"*";"4,8"
"né gli uni né gli altri";"20,1";"15,4";"*";"*";"23,8";"26,8";"20,0";"*";"18,4";"*";"12,7";"17,8";"25,9";"*";"33,3"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"82,6";"78,6";"*";"*";"87,8";"88,1";"40,0";"*";"80,0";"*";"89,5";"87,0";"78,6";"*";"56,0"
"2 o più anni di ritardo";"17,4";"21,4";"*";"*";"12,2";"11,9";"60,0";"*";"20,0";"*";"10,5";"13,0";"21,4";"*";"44,0"
"Punteggio degli esami (medie) ";"26,0";"25,6";"*";"*";"26,1";"26,0";"24,9";"*";"26,2";"*";"26,5";"25,6";"25,7";"*";"25,8"
"Voto di laurea (medie) ";"101,8";"100,5";"*";"*";"102,0";"100,5";"97,2";"*";"102,2";"*";"103,6";"101,0";"101,5";"*";"100,9"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"60,7";"21,4";"*";"*";"65,3";"42,9";"-";"*";"67,5";"*";"71,1";"65,2";"71,4";"*";"72,0"
"1° anno fuori corso";"20,7";"35,7";"*";"*";"24,5";"28,6";"40,0";"*";"15,0";"*";"21,1";"23,9";"7,1";"*";"12,0"
"2° anno fuori corso";"8,4";"28,6";"*";"*";"10,2";"11,9";"40,0";"*";"10,0";"*";"2,6";"2,2";"17,9";"*";"-"
"3° anno fuori corso";"4,5";"14,3";"*";"*";"-";"7,1";"-";"*";"7,5";"*";"2,6";"2,2";"3,6";"*";"12,0"
"4° anno fuori corso";"1,8";"-";"*";"*";"-";"2,4";"20,0";"*";"-";"*";"-";"4,3";"-";"*";"4,0"
"5° anno fuori corso e oltre";"3,9";"-";"*";"*";"-";"7,1";"-";"*";"-";"*";"2,6";"2,2";"-";"*";"-"
"Durata degli studi (medie, in anni) ";"3,9";"4,3";"*";"*";"3,5";"4,3";"5,2";"*";"3,7";"*";"3,6";"3,7";"3,7";"*";"3,8"
"Ritardo alla laurea (medie, in anni) ";"0,7";"1,0";"*";"*";"0,3";"1,0";"1,7";"*";"0,5";"*";"0,4";"0,5";"0,4";"*";"0,5"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,22";"0,32";"*";"*";"0,09";"0,32";"0,57";"*";"0,15";"*";"0,13";"0,18";"0,13";"*";"0,18"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 50% della durata degli studi";"73,1";"92,3";"*";"*";"81,0";"70,7";"80,0";"*";"71,1";"*";"73,2";"66,7";"59,3";"*";"76,2"
"meno del 50%";"26,6";"7,7";"*";"*";"19,0";"29,3";"20,0";"*";"26,3";"*";"26,8";"33,3";"40,7";"*";"23,8"
"Hanno frequentato regolarmente (%):";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"più del 75% degli insegnamenti previsti";"71,4";"46,2";"*";"*";"52,4";"65,9";"40,0";"*";"68,4";"*";"73,2";"86,7";"77,8";"*";"100,0"
"tra il 50% e il 75%";"21,4";"38,5";"*";"*";"38,1";"24,4";"40,0";"*";"23,7";"*";"22,5";"8,9";"14,8";"*";"-"
"tra il 25% e il 50%";"3,6";"15,4";"*";"*";"7,1";"2,4";"-";"*";"5,3";"*";"1,4";"2,2";"-";"*";"-"
"meno del 25%";"2,6";"-";"*";"*";"-";"4,9";"20,0";"*";"-";"*";"2,8";"2,2";"7,4";"*";"-"
"Hanno usufruito del servizio di borse di studio (%)";"16,2";"30,8";"*";"*";"4,8";"17,1";"-";"*";"10,5";"*";"19,7";"24,4";"7,4";"*";"28,6"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"11,7";"30,8";"*";"*";"35,7";"4,9";"-";"*";"7,9";"*";"7,0";"6,7";"11,1";"*";"4,8"
"con Erasmus o altro programma dell'Unione Europea";"7,1";"-";"*";"*";"26,2";"2,4";"-";"*";"5,3";"*";"5,6";"4,4";"7,4";"*";"-"
"altra esperienza riconosciuta dal corso di studi";"1,0";"7,7";"*";"*";"2,4";"-";"-";"*";"2,6";"*";"-";"-";"-";"*";"-"
"iniziativa personale";"3,6";"23,1";"*";"*";"7,1";"2,4";"-";"*";"-";"*";"1,4";"2,2";"3,7";"*";"4,8"
"non hanno compiuto studi all'estero";"88,0";"69,2";"*";"*";"64,3";"95,1";"100,0";"*";"92,1";"*";"93,0";"93,3";"88,9";"*";"95,2"
"1 o più esami all'estero convalidati (%)";"7,5";"-";"*";"*";"26,2";"2,4";"-";"*";"7,9";"*";"5,6";"4,4";"7,4";"*";"-"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,6";"30,8";"*";"*";"2,4";"-";"-";"*";"-";"*";"-";"2,2";"7,4";"*";"-"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"91,9";"100,0";"*";"*";"90,5";"95,1";"80,0";"*";"86,8";"*";"94,4";"91,1";"88,9";"*";"95,2"
"tirocini organizzati dal corso e svolti presso l'università";"20,8";"38,5";"*";"*";"16,7";"14,6";"40,0";"*";"21,1";"*";"16,9";"42,2";"14,8";"*";"4,8"
"tirocini organizzati dal corso e svolti al di fuori dell'università";"60,4";"46,2";"*";"*";"61,9";"61,0";"20,0";"*";"57,9";"*";"71,8";"35,6";"63,0";"*";"90,5"
"attività di lavoro successivamente riconosciute dal corso";"9,4";"15,4";"*";"*";"9,5";"17,1";"20,0";"*";"5,3";"*";"4,2";"13,3";"11,1";"*";"-"
"nessuna esperienza di tirocinio o lavoro riconosciuto";"8,1";"-";"*";"*";"9,5";"4,9";"20,0";"*";"13,2";"*";"5,6";"8,9";"11,1";"*";"4,8"
"Mesi impiegati per la tesi/prova finale (medie)";"4,1";"4,2";"*";"*";"3,5";"4,2";"4,4";"*";"4,0";"*";"3,8";"4,7";"3,0";"*";"6,1"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (20)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
