"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Numero dei laureati";"1443";"106";"13";"185";"5";"3";"139";"4";"1";"168";"5";"3";"6";"250";"2";"3";"4";"5";"6";"2";"1";"7";"6";"83";"177";"33";"132";"93";"1"
"Hanno compilato il questionario";"1393";"103";"13";"182";"4";"2";"135";"4";"1";"146";"4";"3";"6";"242";"2";"3";"4";"5";"5";"2";"1";"7";"6";"82";"176";"33";"131";"90";"1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"business and economics/economia e gestione di impresa - già economia e marketing (L-18)";"economia aziendale (17)";"economia aziendale (L-18)";"economia dei mercati e dei sistemi turistici (28)";"economia del turismo (17)(1) ";"economia del turismo (L-33)";"economia delle imprese cooperative e delle organizzazioni non profit (28)(1) ";"economia delle imprese cooperative e delle organizzazioni non-profit (28)(1) ";"economia dell'impresa (L-18)";"economia e amministrazione delle imprese (17)";"economia e commercio - sede di Bologna (17)(1) ";"economia e commercio - sede di Forlì (17)";"economia e commercio (L-18)";"economia e diritto (28)(1) ";"economia e diritto (L-33)(1) ";"economia e finanza (28)(1) ";"economia e gestione aziendale (17)";"economia e gestione delle imprese (17)";"economia e management (28)(1) ";"economia e marketing (17)(1) ";"economia e professione (17)";"economia e professione (L-18)";"economia, mercati e istituzioni (L-33)";"economics and finance / economia e finanza (L-33)";"finanza, assicurazioni e impresa (L-41)";"management e marketing - già economia e gestione delle imprese (L-18)";"scienze statistiche (L-41)";"statistica, impresa e mercati (37)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"51,2";"61,3";"84,6";"57,3";"60,0";"*";"31,7";"*";"*";"51,2";"60,0";"*";"33,3";"40,4";"*";"*";"*";"40,0";"66,7";"*";"*";"28,6";"16,7";"45,8";"65,5";"51,5";"61,4";"49,5";"*"
"femmine";"48,8";"38,7";"15,4";"42,7";"40,0";"*";"68,3";"*";"*";"48,8";"40,0";"*";"66,7";"59,6";"*";"*";"*";"60,0";"33,3";"*";"*";"71,4";"83,3";"54,2";"34,5";"48,5";"38,6";"50,5";"*"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"56,6";"68,9";"-";"59,5";"-";"*";"48,2";"*";"*";"51,8";"-";"*";"-";"60,8";"*";"*";"*";"-";"-";"*";"*";"-";"-";"53,0";"57,1";"66,7";"77,3";"63,4";"*"
"23-24 anni";"27,1";"16,0";"-";"32,4";"-";"*";"35,3";"*";"*";"32,7";"-";"*";"-";"22,8";"*";"*";"*";"-";"-";"*";"*";"-";"16,7";"36,1";"37,3";"33,3";"14,4";"28,0";"*"
"25-26 anni";"7,1";"7,5";"7,7";"5,4";"20,0";"*";"10,8";"*";"*";"8,9";"-";"*";"16,7";"8,4";"*";"*";"*";"20,0";"-";"*";"*";"-";"66,7";"3,6";"4,5";"-";"5,3";"4,3";"*"
