"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Numero dei laureati";"385";"70";"2";"47";"35";"4";"144";"62";"17";"4"
"Hanno compilato il questionario";"374";"69";"2";"47";"35";"3";"138";"61";"16";"3"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"54,0";"65,7";"*";"40,4";"17,1";"*";"72,2";"25,8";"76,5";"*"
"femmine";"46,0";"34,3";"*";"59,6";"82,9";"*";"27,8";"74,2";"23,5";"*"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"35,1";"28,6";"*";"80,9";"57,1";"*";"28,5";"25,8";"-";"*"
"23-24 anni";"36,9";"45,7";"*";"14,9";"31,4";"*";"45,8";"41,9";"-";"*"
"25-26 anni";"13,0";"18,6";"*";"2,1";"5,7";"*";"16,0";"12,9";"17,6";"*"
"27 anni e oltre";"15,1";"7,1";"*";"2,1";"5,7";"*";"9,7";"19,4";"82,4";"*"
"età media alla laurea ";"24,7";"24,2";"*";"22,6";"23,5";"*";"24,3";"26,0";"29,3";"*"
"Cittadini stranieri (%) ";"1,0";"-";"*";"2,1";"5,7";"*";"-";"1,6";"-";"*"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"36,4";"31,4";"*";"29,8";"25,7";"*";"38,9";"40,3";"58,8";"*"
"altra provincia della stessa regione";"43,6";"55,7";"*";"36,2";"45,7";"*";"48,6";"30,6";"29,4";"*"
"altra regione";"19,7";"12,9";"*";"31,9";"28,6";"*";"12,5";"29,0";"11,8";"*"
"estero";"0,3";"-";"*";"2,1";"-";"*";"-";"-";"-";"*"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"7,0";"4,3";"*";"12,8";"2,9";"*";"8,7";"4,9";"6,3";"*"
"uno solo con laurea";"15,8";"15,9";"*";"25,5";"8,6";"*";"15,2";"13,1";"12,5";"*"
"scuola media superiore";"61,8";"53,6";"*";"61,7";"60,0";"*";"70,3";"50,8";"68,8";"*"
"titoli inferiori o nessun titolo";"14,4";"24,6";"*";"-";"25,7";"*";"5,1";"29,5";"12,5";"*"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"23,3";"18,8";"*";"31,9";"14,3";"*";"26,8";"18,0";"25,0";"*"
"classe media impiegatizia";"31,8";"27,5";"*";"38,3";"22,9";"*";"37,0";"29,5";"31,3";"*"
"classe media autonoma";"24,9";"31,9";"*";"17,0";"34,3";"*";"18,8";"26,2";"31,3";"*"
"classe del lavoro esecutivo";"18,4";"20,3";"*";"12,8";"22,9";"*";"15,9";"24,6";"12,5";"*"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"attività motorie per il benessere (L-22)";"biotecnologie (1)(1) ";"biotecnologie (L-2)";"controllo di qualità dei prodotti per la salute (L-29)";"informazione scientifica sul farmaco (24)(1) ";"scienze delle attività motorie e sportive (L-22)";"scienze farmaceutiche applicate (L-29)";"scienze motorie - sede di Bologna (fino all'a.a. 2007/08) - sede di Rimini (fino all'a.a. 2005/06) (33)";"scienze motorie - sede di Rimini - dall'a.a. 2006/07 (33)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"4,7";"4,3";"*";"4,3";"8,6";"*";"3,5";"4,8";"5,9";"*"
"liceo linguistico";"4,9";"-";"*";"10,6";"5,7";"*";"4,9";"6,5";"-";"*"
"liceo scientifico";"48,8";"37,1";"*";"76,6";"37,1";"*";"52,1";"40,3";"47,1";"*"
"liceo socio-psico-pedagogico o ist. magistrale";"7,8";"12,9";"*";"-";"25,7";"*";"4,2";"8,1";"5,9";"*"
"tecnico";"28,3";"37,1";"*";"6,4";"17,1";"*";"33,3";"30,6";"29,4";"*"
"professionale";"3,4";"5,7";"*";"-";"2,9";"*";"1,4";"6,5";"11,8";"*"
"istruzione artistica";"1,8";"2,9";"*";"-";"2,9";"*";"0,7";"3,2";"-";"*"
"titolo estero";"0,3";"-";"*";"2,1";"-";"*";"-";"-";"-";"*"
"Voto di diploma (medie, in 100-mi) ";"75,7";"71,3";"*";"88,5";"75,5";"*";"74,0";"78,3";"69,2";"*"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"33,2";"30,0";"*";"31,9";"22,9";"*";"34,0";"37,1";"47,1";"*"
"in una provincia limitrofa";"33,0";"38,6";"*";"23,4";"40,0";"*";"41,0";"14,5";"35,3";"*"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"19,2";"20,0";"*";"19,1";"22,9";"*";"15,3";"25,8";"11,8";"*"
"al Sud, ma si sono laureati al Centro-Nord";"9,6";"4,3";"*";"14,9";"5,7";"*";"8,3";"16,1";"5,9";"*"
"al Centro, ma si sono laureati al Nord o al Sud";"4,4";"5,7";"*";"8,5";"8,6";"*";"1,4";"6,5";"-";"*"
"al Nord, ma si sono laureati al Centro-Sud";"-";"-";"*";"-";"-";"*";"-";"-";"-";"*"
"all'estero";"0,5";"1,4";"*";"2,1";"-";"*";"-";"-";"-";"*"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
