"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"architettura e processo edilizio (L-23)";"attuazione e gestione del progetto in architettura (4)(1) ";"ingegneria aerospaziale (10)(1) ";"ingegneria aerospaziale (L-9)";"ingegneria biomedica (9)(1) ";"ingegneria biomedica (L-8)";"ingegneria chimica e biochimica (L-9)";"ingegneria civile (8)";"ingegneria civile (L-7)";"ingegneria dei processi gestionali (9)(1) ";"ingegneria dell'automazione (9)(1) ";"ingegneria dell'automazione (L-8)";"ingegneria delle telecomunicazioni - sede di Bologna (9)(1) ";"ingegneria dell'energia elettrica (L-9)";"ingegneria edile (4)";"ingegneria edile (L-23)";"ingegneria elettrica (10)(1) ";"ingegneria elettronica (9)(1) ";"ingegneria elettronica e delle telecomunicazioni (9)(1) ";"ingegneria elettronica e telecomunicazioni (L-8)";"ingegneria elettronica per l'energia e l'informazione - già ingegneria dei sistemi elettronici per lo sviluppo sostenibile (L-8)";"ingegneria elettronica, informatica e telecomunicazioni (L-8)(1) ";"ingegneria energetica (10)(1) ";"ingegneria energetica (L-9)";"ingegneria gestionale (10)";"ingegneria gestionale (L-9)";"ingegneria informatica - sede di Bologna (9)";"ingegneria informatica - sede di Cesena (9)(1) ";"ingegneria informatica (L-8)";"ingegneria meccanica - sede di Bologna (10)";"ingegneria meccanica - sede di Bologna (L-9)";"ingegneria meccanica - sede di Forlì (10)(1) ";"ingegneria meccanica - sede di Forlì (L-9)";"ingegneria per l'ambiente e il territorio (8)";"ingegneria per l'ambiente e il territorio (L-7)"
"Numero dei laureati";"1217";"29";"4";"2";"31";"4";"57";"55";"6";"137";"3";"4";"43";"2";"31";"8";"73";"1";"3";"4";"26";"44";"2";"3";"147";"10";"208";"10";"2";"59";"8";"110";"2";"45";"6";"38"
"Hanno compilato il questionario";"1199";"29";"4";"2";"30";"4";"57";"54";"6";"132";"3";"4";"43";"2";"31";"8";"71";"1";"3";"4";"26";"44";"2";"2";"145";"9";"206";"9";"2";"59";"8";"109";"2";"44";"6";"38"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"architettura e processo edilizio (L-23)";"attuazione e gestione del progetto in architettura (4)(1) ";"ingegneria aerospaziale (10)(1) ";"ingegneria aerospaziale (L-9)";"ingegneria biomedica (9)(1) ";"ingegneria biomedica (L-8)";"ingegneria chimica e biochimica (L-9)";"ingegneria civile (8)";"ingegneria civile (L-7)";"ingegneria dei processi gestionali (9)(1) ";"ingegneria dell'automazione (9)(1) ";"ingegneria dell'automazione (L-8)";"ingegneria delle telecomunicazioni - sede di Bologna (9)(1) ";"ingegneria dell'energia elettrica (L-9)";"ingegneria edile (4)";"ingegneria edile (L-23)";"ingegneria elettrica (10)(1) ";"ingegneria elettronica (9)(1) ";"ingegneria elettronica e delle telecomunicazioni (9)(1) ";"ingegneria elettronica e telecomunicazioni (L-8)";"ingegneria elettronica per l'energia e l'informazione - già ingegneria dei sistemi elettronici per lo sviluppo sostenibile (L-8)";"ingegneria elettronica, informatica e telecomunicazioni (L-8)(1) ";"ingegneria energetica (10)(1) ";"ingegneria energetica (L-9)";"ingegneria gestionale (10)";"ingegneria gestionale (L-9)";"ingegneria informatica - sede di Bologna (9)";"ingegneria informatica - sede di Cesena (9)(1) ";"ingegneria informatica (L-8)";"ingegneria meccanica - sede di Bologna (10)";"ingegneria meccanica - sede di Bologna (L-9)";"ingegneria meccanica - sede di Forlì (10)(1) ";"ingegneria meccanica - sede di Forlì (L-9)";"ingegneria per l'ambiente e il territorio (8)";"ingegneria per l'ambiente e il territorio (L-7)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"70,3";"41,4";"*";"*";"77,4";"*";"28,1";"52,7";"83,3";"65,0";"*";"*";"95,3";"*";"83,9";"75,0";"50,7";"*";"*";"*";"84,6";"90,9";"*";"*";"74,8";"60,0";"61,1";"80,0";"*";"91,5";"100,0";"91,8";"*";"93,3";"66,7";"57,9"
"femmine";"29,7";"58,6";"*";"*";"22,6";"*";"71,9";"47,3";"16,7";"35,0";"*";"*";"4,7";"*";"16,1";"25,0";"49,3";"*";"*";"*";"15,4";"9,1";"*";"*";"25,2";"40,0";"38,9";"20,0";"*";"8,5";"-";"8,2";"*";"6,7";"33,3";"42,1"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"46,8";"41,4";"*";"*";"32,3";"*";"45,6";"63,6";"-";"44,5";"*";"*";"55,8";"*";"61,3";"-";"28,8";"*";"*";"*";"53,8";"31,8";"*";"*";"55,8";"-";"71,6";"-";"*";"40,7";"-";"45,5";"*";"20,0";"-";"52,6"
"23-24 anni";"35,4";"37,9";"*";"*";"58,1";"*";"38,6";"23,6";"-";"40,1";"*";"*";"32,6";"*";"29,0";"-";"58,9";"*";"*";"*";"38,5";"59,1";"*";"*";"37,4";"-";"23,6";"-";"*";"44,1";"-";"35,5";"*";"55,6";"-";"42,1"
"25-26 anni";"9,9";"10,3";"*";"*";"3,2";"*";"14,0";"10,9";"-";"13,1";"*";"*";"11,6";"*";"3,2";"-";"11,0";"*";"*";"*";"3,8";"9,1";"*";"*";"4,8";"10,0";"3,8";"30,0";"*";"11,9";"-";"17,3";"*";"22,2";"-";"2,6"
"27 anni e oltre";"7,9";"10,3";"*";"*";"6,5";"*";"1,8";"1,8";"100,0";"2,2";"*";"*";"-";"*";"6,5";"100,0";"1,4";"*";"*";"*";"3,8";"-";"*";"*";"2,0";"90,0";"1,0";"70,0";"*";"3,4";"100,0";"1,8";"*";"2,2";"100,0";"2,6"
"età media alla laurea ";"23,9";"25,9";"*";"*";"23,7";"*";"23,6";"23,1";"31,5";"23,6";"*";"*";"23,1";"*";"23,3";"29,0";"23,8";"*";"*";"*";"23,3";"23,5";"*";"*";"23,3";"29,9";"22,8";"29,2";"*";"23,5";"34,9";"23,7";"*";"24,2";"32,7";"23,2"
"Cittadini stranieri (%) ";"3,2";"-";"*";"*";"3,2";"*";"1,8";"3,6";"16,7";"5,1";"*";"*";"4,7";"*";"6,5";"-";"1,4";"*";"*";"*";"7,7";"2,3";"*";"*";"4,1";"10,0";"2,9";"-";"*";"1,7";"-";"3,6";"*";"-";"-";"-"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"32,9";"20,7";"*";"*";"6,5";"*";"19,3";"16,4";"66,7";"38,0";"*";"*";"39,5";"*";"41,9";"37,5";"31,5";"*";"*";"*";"34,6";"40,9";"*";"*";"28,6";"20,0";"28,4";"40,0";"*";"45,8";"37,5";"42,7";"*";"51,1";"66,7";"26,3"
"altra provincia della stessa regione";"30,4";"55,2";"*";"*";"25,8";"*";"50,9";"23,6";"16,7";"30,7";"*";"*";"30,2";"*";"35,5";"62,5";"54,8";"*";"*";"*";"19,2";"43,2";"*";"*";"27,9";"10,0";"26,4";"-";"*";"18,6";"-";"17,3";"*";"42,2";"-";"34,2"
"altra regione";"36,6";"24,1";"*";"*";"67,7";"*";"29,8";"60,0";"16,7";"31,4";"*";"*";"30,2";"*";"22,6";"-";"13,7";"*";"*";"*";"42,3";"15,9";"*";"*";"43,5";"70,0";"45,2";"60,0";"*";"35,6";"62,5";"40,0";"*";"6,7";"33,3";"39,5"
"estero";"0,1";"-";"*";"*";"-";"*";"-";"-";"-";"-";"*";"*";"-";"*";"-";"-";"-";"*";"*";"*";"3,8";"-";"*";"*";"-";"-";"-";"-";"*";"-";"-";"-";"*";"-";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"architettura e processo edilizio (L-23)";"attuazione e gestione del progetto in architettura (4)(1) ";"ingegneria aerospaziale (10)(1) ";"ingegneria aerospaziale (L-9)";"ingegneria biomedica (9)(1) ";"ingegneria biomedica (L-8)";"ingegneria chimica e biochimica (L-9)";"ingegneria civile (8)";"ingegneria civile (L-7)";"ingegneria dei processi gestionali (9)(1) ";"ingegneria dell'automazione (9)(1) ";"ingegneria dell'automazione (L-8)";"ingegneria delle telecomunicazioni - sede di Bologna (9)(1) ";"ingegneria dell'energia elettrica (L-9)";"ingegneria edile (4)";"ingegneria edile (L-23)";"ingegneria elettrica (10)(1) ";"ingegneria elettronica (9)(1) ";"ingegneria elettronica e delle telecomunicazioni (9)(1) ";"ingegneria elettronica e telecomunicazioni (L-8)";"ingegneria elettronica per l'energia e l'informazione - già ingegneria dei sistemi elettronici per lo sviluppo sostenibile (L-8)";"ingegneria elettronica, informatica e telecomunicazioni (L-8)(1) ";"ingegneria energetica (10)(1) ";"ingegneria energetica (L-9)";"ingegneria gestionale (10)";"ingegneria gestionale (L-9)";"ingegneria informatica - sede di Bologna (9)";"ingegneria informatica - sede di Cesena (9)(1) ";"ingegneria informatica (L-8)";"ingegneria meccanica - sede di Bologna (10)";"ingegneria meccanica - sede di Bologna (L-9)";"ingegneria meccanica - sede di Forlì (10)(1) ";"ingegneria meccanica - sede di Forlì (L-9)";"ingegneria per l'ambiente e il territorio (8)";"ingegneria per l'ambiente e il territorio (L-7)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
