"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Numero dei laureati";"822";"1";"10";"178";"28";"349";"4";"2";"1";"7";"242"
"Hanno compilato il questionario";"780";"1";"10";"168";"27";"325";"4";"2";"1";"6";"236"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"15,6";"*";"-";"0,6";"28,6";"14,6";"*";"*";"*";"14,3";"25,2"
"femmine";"84,4";"*";"100,0";"99,4";"71,4";"85,4";"*";"*";"*";"85,7";"74,8"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"39,1";"*";"-";"35,4";"-";"36,7";"*";"*";"*";"-";"53,7"
"23-24 anni";"30,7";"*";"-";"34,8";"-";"35,0";"*";"*";"*";"-";"28,1"
"25-26 anni";"10,3";"*";"10,0";"12,4";"-";"10,6";"*";"*";"*";"-";"9,9"
"27 anni e oltre";"20,0";"*";"90,0";"17,4";"100,0";"17,8";"*";"*";"*";"100,0";"8,3"
"età media alla laurea ";"25,7";"*";"37,0";"25,2";"34,8";"25,4";"*";"*";"*";"39,5";"24,2"
"Cittadini stranieri (%) ";"2,3";"*";"-";"3,4";"3,6";"2,6";"*";"*";"*";"-";"0,8"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"stessa provincia della sede degli studi";"32,7";"*";"60,0";"47,8";"50,0";"37,8";"*";"*";"*";"28,6";"10,7"
"altra provincia della stessa regione";"36,3";"*";"40,0";"38,8";"21,4";"28,9";"*";"*";"*";"71,4";"46,3"
"altra regione";"30,9";"*";"-";"13,5";"28,6";"33,2";"*";"*";"*";"-";"43,0"
"estero";"0,1";"*";"-";"-";"-";"-";"*";"*";"*";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"entrambi con laurea";"6,9";"*";"10,0";"4,2";"7,4";"4,0";"*";"*";"*";"-";"13,1"
"uno solo con laurea";"13,8";"*";"-";"16,1";"7,4";"11,7";"*";"*";"*";"50,0";"15,7"
"scuola media superiore";"55,6";"*";"70,0";"57,1";"44,4";"56,6";"*";"*";"*";"16,7";"54,2"
"titoli inferiori o nessun titolo";"22,9";"*";"20,0";"21,4";"40,7";"26,8";"*";"*";"*";"33,3";"16,9"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"classe elevata";"19,0";"*";"20,0";"13,1";"14,8";"16,9";"*";"*";"*";"33,3";"26,7"
"classe media impiegatizia";"31,9";"*";"20,0";"33,9";"25,9";"31,4";"*";"*";"*";"-";"32,6"
"classe media autonoma";"24,1";"*";"40,0";"25,6";"25,9";"25,5";"*";"*";"*";"50,0";"19,5"
"classe del lavoro esecutivo";"22,9";"*";"20,0";"25,6";"33,3";"22,5";"*";"*";"*";"16,7";"20,8"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"liceo classico";"11,3";"*";"-";"6,7";"3,6";"6,3";"*";"*";"*";"14,3";"23,6"
"liceo linguistico";"5,8";"*";"20,0";"6,7";"14,3";"3,4";"*";"*";"*";"-";"7,4"
"liceo scientifico";"23,5";"*";"10,0";"18,0";"17,9";"17,2";"*";"*";"*";"57,1";"37,2"
"liceo socio-psico-pedagogico o ist. magistrale";"30,3";"*";"20,0";"32,0";"21,4";"39,8";"*";"*";"*";"14,3";"17,4"
"tecnico";"18,7";"*";"10,0";"20,8";"28,6";"22,1";"*";"*";"*";"-";"11,2"
"professionale";"6,4";"*";"40,0";"10,1";"7,1";"6,6";"*";"*";"*";"14,3";"1,7"
"istruzione artistica";"2,7";"*";"-";"3,9";"-";"3,2";"*";"*";"*";"-";"1,7"
"titolo estero";"1,1";"*";"-";"1,7";"7,1";"1,1";"*";"*";"*";"-";"-"
"Voto di diploma (medie, in 100-mi) ";"76,0";"*";"76,9";"73,1";"72,8";"75,2";"*";"*";"*";"80,9";"79,4"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"nella stessa provincia della sede degli studi universitari";"27,4";"*";"40,0";"42,7";"28,6";"31,8";"*";"*";"*";"14,3";"8,7"
"in una provincia limitrofa";"22,4";"*";"40,0";"24,7";"14,3";"23,2";"*";"*";"*";"14,3";"20,2"
"in una provincia non limitrofa, ma nella stessa ripartizione geografica";"25,9";"*";"20,0";"17,4";"17,9";"18,6";"*";"*";"*";"42,9";"43,8"
"al Sud, ma si sono laureati al Centro-Nord";"12,4";"*";"-";"10,1";"21,4";"16,9";"*";"*";"*";"28,6";"6,6"
"al Centro, ma si sono laureati al Nord o al Sud";"10,7";"*";"-";"3,4";"10,7";"8,0";"*";"*";"*";"-";"20,7"
"al Nord, ma si sono laureati al Centro-Sud";"-";"*";"-";"-";"-";"-";"*";"*";"*";"-";"-"
"all'estero";"1,2";"*";"-";"1,7";"7,1";"1,4";"*";"*";"*";"-";"-"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"animatore socioeducativo. (18)(1) ";"educatore di nido e di comunità infantile (18)";"educatore nei servizi per l'infanzia (L-19)";"educatore sociale - già educatore professionale (18)";"educatore sociale e culturale (L-19)";"formatore (18)(1) ";"formazione al lavoro e alle professioni (L-19)(1) ";"operatore culturale / esperto in scienze dell'educazione (18)(1) ";"scienze del comportamento e delle relazioni sociali (34)";"scienze e tecniche psicologiche - già scienze del comportamento e delle relazioni sociali (L-24)"
"Hanno precedenti esperienze universitarie (%) ";"22,4";"*";"50,0";"24,4";"25,9";"16,9";"*";"*";"*";"66,7";"25,4"
"portate a termine";"6,4";"*";"30,0";"9,5";"7,4";"3,4";"*";"*";"*";"50,0";"5,9"
"non portate a termine";"16,0";"*";"20,0";"14,9";"18,5";"13,5";"*";"*";"*";"16,7";"19,5"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"fattori sia culturali sia professionalizzanti";"31,3";"*";"40,0";"31,0";"25,9";"35,7";"*";"*";"*";"50,0";"24,6"
"fattori prevalentemente culturali";"45,9";"*";"60,0";"40,5";"44,4";"42,5";"*";"*";"*";"50,0";"54,7"
"fattori prevalentemente professionalizzanti";"6,2";"*";"-";"8,3";"18,5";"7,1";"*";"*";"*";"-";"2,5"
"né gli uni né gli altri";"16,3";"*";"-";"20,2";"11,1";"14,5";"*";"*";"*";"-";"17,4"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"regolare o 1 anno di ritardo";"74,5";"*";"50,0";"74,2";"50,0";"72,8";"*";"*";"*";"42,9";"83,5"
"2 o più anni di ritardo";"25,5";"*";"50,0";"25,8";"50,0";"27,2";"*";"*";"*";"57,1";"16,5"
"Punteggio degli esami (medie) ";"26,3";"*";"27,1";"26,0";"26,6";"26,4";"*";"*";"*";"25,1";"26,3"
"Voto di laurea (medie) ";"99,1";"*";"102,2";"97,1";"101,0";"98,4";"*";"*";"*";"95,9";"101,2"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"in corso";"66,1";"*";"-";"71,9";"-";"66,5";"*";"*";"*";"-";"75,6"
"1° anno fuori corso";"15,9";"*";"-";"15,2";"-";"19,2";"*";"*";"*";"-";"15,3"
"2° anno fuori corso";"6,8";"*";"-";"7,9";"-";"8,9";"*";"*";"*";"-";"4,1"
"3° anno fuori corso";"3,3";"*";"-";"2,8";"-";"3,4";"*";"*";"*";"-";"4,1"
"4° anno fuori corso";"2,1";"*";"10,0";"1,1";"21,4";"1,1";"*";"*";"*";"-";"0,8"
"5° anno fuori corso e oltre";"5,8";"*";"90,0";"1,1";"78,6";"0,9";"*";"*";"*";"100,0";"-"
"Durata degli studi (medie, in anni) ";"3,9";"*";"9,5";"3,6";"10,0";"3,7";"*";"*";"*";"10,0";"3,3"
"Ritardo alla laurea (medie, in anni) ";"0,8";"*";"6,1";"0,4";"6,6";"0,4";"*";"*";"*";"6,5";"0,3"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) (medie) ";"0,25";"*";"2,02";"0,13";"2,19";"0,14";"*";"*";"*";"2,18";"0,09"
"5. CONDIZIONI DI STUDIO"
