"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"astronomia (25)(1) ";"astronomia (L-30)";"chimica dei materiali (21)(1) ";"chimica e chimica dei materiali (L-27)";"chimica e tecnologie per l'ambiente e per i materiali (L-27)";"chimica industriale (L-27)";"fisica (25)(1) ";"fisica (L-30)";"fisica dell'atmosfera e meteorologia (L-30)(1) ";"informatica (26)";"informatica (L-31)";"informatica per il management (L-31)";"ingegneria e scienze informatiche (L-8,L-31)";"matematica (32)(1) ";"matematica (L-35)";"scienze ambientali (27)(1) ";"scienze ambientali (L-32)";"scienze biologiche (12)";"scienze biologiche (L-13)";"scienze dell'informazione (26)";"scienze di internet (26)(1) ";"scienze e tecnologie informatiche (L-31)";"scienze geologiche (16)(1) ";"scienze geologiche (L-34)";"scienze naturali (27)(1) ";"scienze naturali (L-32)";"tecnologie e diagnostica per la conservazione e il restauro dei beni culturali (L-43)(1) ";"tecnologie per la conservazione ed il restauro dei beni culturali (41)(1) "
"Numero dei laureati";"722";"1";"21";"1";"39";"49";"82";"1";"79";"1";"7";"39";"46";"30";"2";"88";"1";"20";"10";"74";"8";"2";"45";"1";"28";"2";"40";"4";"1"
"Hanno compilato il questionario";"711";"1";"21";"1";"39";"48";"82";"1";"79";"1";"7";"38";"45";"26";"2";"88";"1";"20";"9";"72";"8";"2";"45";"1";"28";"2";"40";"3";"1"
"1. ANAGRAFICO"
"";"Collettivo selezionato";"astronomia (25)(1) ";"astronomia (L-30)";"chimica dei materiali (21)(1) ";"chimica e chimica dei materiali (L-27)";"chimica e tecnologie per l'ambiente e per i materiali (L-27)";"chimica industriale (L-27)";"fisica (25)(1) ";"fisica (L-30)";"fisica dell'atmosfera e meteorologia (L-30)(1) ";"informatica (26)";"informatica (L-31)";"informatica per il management (L-31)";"ingegneria e scienze informatiche (L-8,L-31)";"matematica (32)(1) ";"matematica (L-35)";"scienze ambientali (27)(1) ";"scienze ambientali (L-32)";"scienze biologiche (12)";"scienze biologiche (L-13)";"scienze dell'informazione (26)";"scienze di internet (26)(1) ";"scienze e tecnologie informatiche (L-31)";"scienze geologiche (16)(1) ";"scienze geologiche (L-34)";"scienze naturali (27)(1) ";"scienze naturali (L-32)";"tecnologie e diagnostica per la conservazione e il restauro dei beni culturali (L-43)(1) ";"tecnologie per la conservazione ed il restauro dei beni culturali (41)(1) "
"Genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"maschi";"55,4";"*";"76,2";"*";"43,6";"57,1";"48,8";"*";"70,9";"*";"100,0";"76,9";"78,3";"86,7";"*";"44,3";"*";"55,0";"30,0";"23,0";"37,5";"*";"73,3";"*";"53,6";"*";"35,0";"*";"*"
"femmine";"44,6";"*";"23,8";"*";"56,4";"42,9";"51,2";"*";"29,1";"*";"-";"23,1";"21,7";"13,3";"*";"55,7";"*";"45,0";"70,0";"77,0";"62,5";"*";"26,7";"*";"46,4";"*";"65,0";"*";"*"
"Età alla laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"meno di 23 anni";"46,7";"*";"33,3";"*";"61,5";"44,9";"58,5";"*";"69,6";"*";"-";"33,3";"21,7";"86,7";"*";"68,2";"*";"40,0";"-";"31,1";"-";"*";"26,7";"*";"57,1";"*";"27,5";"*";"*"
"23-24 anni";"36,3";"*";"38,1";"*";"33,3";"42,9";"31,7";"*";"26,6";"*";"-";"48,7";"52,2";"3,3";"*";"28,4";"*";"45,0";"-";"52,7";"-";"*";"51,1";"*";"28,6";"*";"55,0";"*";"*"
