,Punteggio degli esami (medie)�,Voto di laurea (medie)�,Studi in corso %,"Durata degli studi (medie, in anni)�","Ritardo alla laurea (medie, in anni)�",Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%),Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%),Soddisfazione decisamente s� %
Collettivo selezionato,26,"101,8","60,7","3,9","0,7","11,7","91,9","35,7"
acquacoltura e igiene delle produzioni ittiche (L-38),"25,6","100,5","21,4","4,3",1,"30,8",100,"15,4"
acquacoltura e ittiopatologia (40)(1)�,*,*,*,*,*,*,*,*
economia e marketing nel sistema agro-industriale (20)(1)�,*,*,*,*,*,*,*,*
economia e marketing nel sistema agro-industriale (L-25),"26,1",102,"65,3","3,5","0,3","35,7","90,5",31
produzioni animali - gi� produzioni animali e controllo della fauna selvatica (L-38),26,"100,5","42,9","4,3",1,"4,9","95,1","24,4"
scienze dei consumi alimentari e della ristorazione (L-26),"24,9","97,2",-,"5,2","1,7",-,80,80
scienze del territorio e dell'ambiente agro-forestale (20)(1)�,*,*,*,*,*,*,*,*
scienze del territorio e dell'ambiente agro-forestale (L-25),"26,2","102,2","67,5","3,7","0,5","7,9","86,8","31,6"
scienze e tecnologie delle produzioni animali (40)(1)�,*,*,*,*,*,*,*,*
tecnologie agrarie (L-25),"26,5","103,6","71,1","3,6","0,4",7,"94,4","42,3"
tecnologie alimentari (L-26),"25,6",101,"65,2","3,7","0,5","6,7","91,1",40
verde ornamentale e tutela del paesaggio (L-25),"25,7","101,5","71,4","3,7","0,4","11,1","88,9","29,6"
viticoltura ed enologia (20)(1)�,*,*,*,*,*,*,*,*
viticoltura ed enologia (L-26),"25,8","100,9",72,"3,8","0,5","4,8","95,2","47,6"
