FIELD1,Punteggio degli esami (medie)�,Voto di laurea (medie)�,Studi in corso %,"Durata degli studi (medie, in anni)�","Ritardo alla laurea (medie, in anni)�",Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%),Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%),Soddisfazione decisamente s� %
Collettivo selezionato,25,"96,5","48,6","4,3",1,"5,6","40,5","31,2"
architettura e processo edilizio (L-23),"26,8","105,8",69,"3,7","0,3","6,9","96,6",31
attuazione e gestione del progetto in architettura (4)(1)�,*,*,*,*,*,*,*,*
ingegneria aerospaziale (10)(1)�,*,*,*,*,*,*,*,*
ingegneria aerospaziale (L-9),"24,8","95,1","35,5","4,4","1,1","3,3","86,7",40
ingegneria biomedica (9)(1)�,*,*,*,*,*,*,*,*
ingegneria biomedica (L-8),"25,5","97,9","40,4",4,"0,7","3,5","26,3","19,3"
ingegneria chimica e biochimica (L-9),"24,9","96,2","61,8","3,7","0,5","3,7","3,7","44,4"
ingegneria civile (8),"23,1","87,7",-,"11,9","8,4",-,-,"33,3"
ingegneria civile (L-7),"24,6","96,1","41,6","4,1","0,8",3,"2,3","28,8"
ingegneria dei processi gestionali (9)(1)�,*,*,*,*,*,*,*,*
ingegneria dell'automazione (9)(1)�,*,*,*,*,*,*,*,*
ingegneria dell'automazione (L-8),"25,5","98,9","55,8","3,6","0,5","20,9","9,3","53,5"
ingegneria delle telecomunicazioni - sede di Bologna (9)(1)�,*,*,*,*,*,*,*,*
ingegneria dell'energia elettrica (L-9),"25,7","97,5","61,3","3,5","0,4",-,"25,8","32,3"
ingegneria edile (4),"24,2","92,6",-,"9,2","5,7",-,100,25
ingegneria edile (L-23),"25,3","97,8","31,5","4,3","0,9","2,8","95,8","19,7"
ingegneria elettrica (10)(1)�,*,*,*,*,*,*,*,*
ingegneria elettronica (9)(1)�,*,*,*,*,*,*,*,*
ingegneria elettronica e delle telecomunicazioni (9)(1)�,*,*,*,*,*,*,*,*
ingegneria elettronica e telecomunicazioni (L-8),25,"96,5","61,5","3,6","0,4","3,8","3,8","38,5"
ingegneria elettronica per l'energia e l'informazione - gi� ingegneria dei sistemi elettronici per lo sviluppo sostenibile (L-8),"25,3","96,9","36,4","4,1","0,7","2,3","77,3",25
"ingegneria elettronica, informatica e telecomunicazioni (L-8)(1)�",*,*,*,*,*,*,*,*
ingegneria energetica (10)(1)�,*,*,*,*,*,*,*,*
ingegneria energetica (L-9),25,"95,5","58,5","3,7","0,4","5,5","58,6","17,9"
ingegneria gestionale (10),"21,3","79,8",-,"10,4","6,9","11,1","44,4","22,2"
ingegneria gestionale (L-9),"25,1","97,5","75,5","3,3","0,3","10,2","12,1","41,3"
ingegneria informatica - sede di Bologna (9),"23,4","88,1",-,"9,8","6,3",-,"11,1","11,1"
ingegneria informatica - sede di Cesena (9)(1)�,*,*,*,*,*,*,*,*
ingegneria informatica (L-8),25,"96,8","44,1",4,"0,7","1,7","37,3","35,6"
ingegneria meccanica - sede di Bologna (10),"23,2","87,8",-,"11,1","7,6","12,5","37,5",-
ingegneria meccanica - sede di Bologna (L-9),"25,2","97,4","44,5","4,1","0,8","3,7","90,8","34,9"
ingegneria meccanica - sede di Forl� (10)(1)�,*,*,*,*,*,*,*,*
ingegneria meccanica - sede di Forl� (L-9),"24,8","97,1","22,2","4,6","1,2","4,5","70,5","34,1"
ingegneria per l'ambiente e il territorio (8),"23,2","87,3",-,"13,1","9,6","16,7",100,"33,3"
ingegneria per l'ambiente e il territorio (L-7),"25,1","96,2","55,3","3,7","0,4","7,9",-,"21,1"
