FIELD1,Punteggio degli esami (medie)�,Voto di laurea (medie)�,Studi in corso %,"Durata degli studi (medie, in anni)�","Ritardo alla laurea (medie, in anni)�",Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%),Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%),Soddisfazione decisamente s� %
Collettivo selezionato,"26,9","101,7","59,5",4,"0,8","15,1","43,5","31,6"
"antropologia, religioni, civilt� orientali - gi� scienze antropologiche (L-42)","27,6","103,7","66,7","3,6","0,3","31,9","36,3","21,3"
beni archeologici (13)(1)�,*,*,*,*,*,*,*,*
beni culturali (L-1),"27,9",107,"51,6","4,1","0,9","11,6","75,6",57
beni storico-artistici e musicali (13)(1)�,*,*,*,*,*,*,*,*
culture e tecniche del costume e della moda (23)(1)�,*,*,*,*,*,*,*,*
culture e tecniche della moda (L-3),"26,2","98,3","69,2","3,7","0,4","11,7","68,2","32,2"
"dams - discipline delle arti, della musica e dello spettacolo (23)","26,5","99,7",-,"10,1","6,7",13,"43,5","34,8"
"dams - discipline delle arti, della musica e dello spettacolo (L-3)","26,5","100,5","55,6",4,"0,7",12,44,"26,2"
filosofia (29),"27,8","105,7",-,"9,4","5,9","14,3",-,"42,9"
filosofia (L-5),28,"105,9","67,1","3,7","0,4","17,2","16,6",31
lettere (5),"26,6","99,8",-,"8,8","5,3",-,"62,5",-
lettere (L-10),"27,9","105,5","66,3","3,6","0,4","14,5","29,5","33,6"
scienze antropologiche (29)(1)�,*,*,*,*,*,*,*,*
scienze della comunicazione (14),"24,5",93,-,"10,2","6,7",-,75,25
scienze della comunicazione (L-20),"24,8","92,9","60,4","3,8","0,5","15,8","60,8","27,3"
scienze geografiche (30)(1)�,*,*,*,*,*,*,*,*
scienze geografiche (L-6)(1)�,*,*,*,*,*,*,*,*
storia (38)(2)�,"26,5","98,6",-,"9,5","6,1",-,40,40
storia (L-42),"28,2","106,5","56,5","3,9","0,7","8,7","23,3","42,7"
storia e civilt� orientali (L-42),"27,5","103,9",-,"4,7","1,2","42,9","42,9","14,3"
"storia, culture e civilt� orientali (38)(1)�",*,*,*,*,*,*,*,*
