FIELD1,Punteggio degli esami (medie)�,Voto di laurea (medie)�,Studi in corso %,"Durata degli studi (medie, in anni)�","Ritardo alla laurea (medie, in anni)�",Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%),Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%),Soddisfazione decisamente s� %
Collettivo selezionato,"26,3","103,6","70,1","3,7","0,5","4,6",79,"33,7"
dietistica (L/SNT3),"29,5",113,"83,3","3,2","0,1",-,100,50
dietistica (SNT/3)(1)�,*,*,*,*,*,*,*,*
educazione professionale (L/SNT2),"27,9","107,5","61,9","3,5","0,2","4,8",81,"42,9"
educazione professionale (SNT/2),"25,4","94,4",-,"4,3","0,9",-,60,40
fisioterapia (L/SNT2),"28,3","110,3","69,7","3,4","0,2","6,5","72,6","22,6"
fisioterapia (SNT/2)(1)�,*,*,*,*,*,*,*,*
igiene dentale (L/SNT3),"28,4","109,7","69,2","3,6","0,3",-,"90,9","27,3"
igiene dentale (SNT/3)(1)�,*,*,*,*,*,*,*,*
infermieristica - sede di Bologna (L/SNT1),"25,6","101,6","82,1","3,5","0,3","5,8","85,9","41,9"
infermieristica - sede di Ravenna - dall'a.a. 2008/09 (SNT/1),25,"96,3",-,5,"1,5",-,100,-
infermieristica - sede di Rimini (L/SNT1),"25,9","103,8","86,7","3,4","0,1","3,4",76,"42,5"
infermieristica - sede di Rimini (SNT/1),"23,1","87,7",-,"6,3","2,9",-,75,30
infermieristica - sedi di Bologna (fino all'a.a. 2010/11) e Ravenna (fino all'a.a. 2007/08) (SNT/1),"23,1","89,2",-,"6,6","3,1",-,"75,8","21,2"
infermieristica - sedi di Faenza e Ravenna (L/SNT1),"25,8","102,8","82,9","3,4","0,2","3,5","70,2","31,6"
logopedia (L/SNT2),"28,9",112,"44,4","3,7","0,3",-,"87,5",25
ortottica ed assistenza oftalmologica (L/SNT2),"28,5","110,3","71,4","3,5","0,4",-,"42,9","14,3"
ostetricia (L/SNT1),29,"111,3","51,7","3,9","0,6","7,1","85,7","28,6"
ostetricia (SNT/1)(1)�,*,*,*,*,*,*,*,*
podologia (L/SNT2),"28,1","109,1","85,7","3,3","0,1","14,3","71,4","7,1"
tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4),"26,8","104,2","84,2","3,6","0,4","5,3","73,7","26,3"
tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (SNT/4)(1)�,*,*,*,*,*,*,*,*
tecniche di laboratorio biomedico (L/SNT3),"27,7","110,9","70,6","3,5","0,3","6,3","87,5","43,8"
tecniche di neurofisiopatologia (L/SNT3),"28,5",109,75,"3,2","0,1","14,3",100,"28,6"
"tecniche di radiologia medica, per immagini e radioterapia - sede di Bologna (L/SNT3)","28,1","109,4","83,3","3,2","0,1","8,3",75,"16,7"
"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini - dall'a.a. 2008/09 (SNT/3)(1)�",*,*,*,*,*,*,*,*
"tecniche di radiologia medica, per immagini e radioterapia - sede di Rimini (L/SNT3)",28,"110,2","61,5","3,4","0,2",-,"91,7","41,7"
tecniche ortopediche (L/SNT3),"27,7","108,6","66,7","3,5","0,2",-,80,-
tecniche ortopediche (SNT/3)(1)�,*,*,*,*,*,*,*,*
