FIELD1,Punteggio degli esami (medie)�,Voto di laurea (medie)�,Studi in corso %,"Durata degli studi (medie, in anni)�","Ritardo alla laurea (medie, in anni)�",Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%),Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%),Soddisfazione decisamente s� %
Collettivo selezionato,"26,3","99,1","66,1","3,9","0,8","8,1","69,9","43,5"
animatore socioeducativo. (18)(1)�,*,*,*,*,*,*,*,*
educatore di nido e di comunit� infantile (18),"27,1","102,2",-,"9,5","6,1",20,100,70
educatore nei servizi per l'infanzia (L-19),26,"97,1","71,9","3,6","0,4","5,4","95,2","51,8"
educatore sociale - gi� educatore professionale (18),"26,6",101,-,10,"6,6",-,"88,9","40,7"
educatore sociale e culturale (L-19),"26,4","98,4","66,5","3,7","0,4","5,5","93,2","41,2"
formatore (18)(1)�,*,*,*,*,*,*,*,*
formazione al lavoro e alle professioni (L-19)(1)�,*,*,*,*,*,*,*,*
operatore culturale / esperto in scienze dell'educazione (18)(1)�,*,*,*,*,*,*,*,*
scienze del comportamento e delle relazioni sociali (34),"25,1","95,9",-,10,"6,5","16,7","33,3",50
scienze e tecniche psicologiche - gi� scienze del comportamento e delle relazioni sociali (L-24),"26,3","101,2","75,6","3,3","0,3","13,1","16,5",39
