FIELD1,Punteggio degli esami (medie)�,Voto di laurea (medie)�,Studi in corso %,"Durata degli studi (medie, in anni)�","Ritardo alla laurea (medie, in anni)�",Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%),Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%),Soddisfazione decisamente s� %
Collettivo selezionato,"25,5","97,3","69,7","3,8","0,7","26,8","32,6","32,5"
culture e diritti umani (15)(1)�,*,*,*,*,*,*,*,*
"governo, amministrazione e gestione del territorio (19)(1)�",*,*,*,*,*,*,*,*
operatore della sicurezza e del controllo sociale (36)(1)�,*,*,*,*,*,*,*,*
scienze dell'organizzazione (19)(1)�,*,*,*,*,*,*,*,*
scienze internazionali e diplomatiche (15)(1)�,*,*,*,*,*,*,*,*
scienze internazionali e diplomatiche (L-36),"25,8","98,7","87,5","3,1","0,1","46,7","6,6","43,8"
scienze politiche (15)(1)�,*,*,*,*,*,*,*,*
"scienze politiche e delle organizzazioni (L-16,L-36)","22,7","84,9",-,"5,6","2,1",25,50,"12,5"
"scienze politiche, sociali e internazionali - gi� studi internazionali (L-36)","25,4","97,1",71,"3,5","0,3","23,3","9,2","25,7"
servizio sociale (6),"24,8","93,7",-,"12,6","9,1",-,"62,5",25
servizio sociale (L-39),"26,1","99,8","71,5","3,5","0,4",9,"96,4",27
sociologia - gi� sociologia e scienze criminologiche per la sicurezza (L-40),"23,3","87,5","9,1","5,1","1,6",-,"61,9","23,8"
sociologia (36),"24,3",91,-,"14,3","10,8",-,20,40
sociologia (L-40),"25,6","96,9","64,7","3,7","0,5",4,"87,9","35,4"
sociologia e scienze criminologiche per la sicurezza - gi� sociologia per il terziario avanzato (36)(1)�,*,*,*,*,*,*,*,*
studi internazionali - gi� relazioni internazionali (15)(1)�,*,*,*,*,*,*,*,*
sviluppo e cooperazione internazionale (35)(1)�,*,*,*,*,*,*,*,*
sviluppo e cooperazione internazionale (L-37),"25,5","97,6",73,"3,3","0,2","37,8",11,"19,5"
