"1. Collettivo indagato"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Numero di laureati";"291";"17";"4";"30";"47";"1";"3";"10";"3";"31";"2";"1";"69";"36";"1";"3";"16";"2";"15"
"Numero di intervistati";"251";"15";"3";"27";"44";"1";"3";"7";"3";"25";"2";"0";"60";"31";"1";"3";"12";"2";"12"
"Tasso di risposta";"86,3";"88,2";"75,0";"90,0";"93,6";"100,0";"100,0";"70,0";"100,0";"80,6";"100,0";"-";"87,0";"86,1";"100,0";"100,0";"75,0";"100,0";"80,0"
"Composizione per genere (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Uomini";"58,1";"35,3";"*";"60,0";"44,7";"*";"*";"30,0";"*";"77,4";"*";"*";"81,2";"33,3";"*";"*";"37,5";"*";"66,7"
"Donne";"41,9";"64,7";"*";"40,0";"55,3";"*";"*";"70,0";"*";"22,6";"*";"*";"18,8";"66,7";"*";"*";"62,5";"*";"33,3"
"Età alla laurea (medie) ";"24,4";"24,5";"*";"23,6";"24,6";"*";"*";"26,5";"*";"23,5";"*";"*";"23,1";"24,0";"*";"*";"23,6";"*";"28,5"
"Voto di laurea in 110-mi (medie) ";"101,8";"108,4";"*";"100,2";"100,3";"*";"*";"100,8";"*";"102,0";"*";"*";"102,8";"102,5";"*";"*";"102,4";"*";"102,9"
"Durata degli studi (medie, in anni) ";"4,1";"3,8";"*";"3,4";"3,9";"*";"*";"4,1";"*";"3,9";"*";"*";"3,5";"4,0";"*";"*";"3,9";"*";"4,0"
"2a. Formazione magistrale"
"";"Collettivo  selezionato";"acquacoltura e igiene delle produzioni ittiche (L-38)";"acquacoltura e ittiopatologia (40)(1) ";"economia e marketing nel sistema agro-industriale (L-25)";"produzioni animali - già produzioni animali e controllo della fauna selvatica (L-38)";"protezione delle piante e dei prodotti vegetali (20)(1) ";"scienze dei consumi alimentari e della ristorazione (20)(1) ";"scienze dei consumi alimentari e della ristorazione (L-26)";"scienze del territorio e dell'ambiente agro-forestale (20)(1) ";"scienze del territorio e dell'ambiente agro-forestale (L-25)";"scienze e tecnologie alimentari (20)(1) ";"scienze e tecnologie delle produzioni animali (40)(1) ";"tecnologie agrarie (L-25)";"tecnologie alimentari (L-26)";"tecnologie delle produzioni vegetali (20)(1) ";"verde ornamentale e tutela del paesaggio (20)(1) ";"verde ornamentale e tutela del paesaggio (L-25)";"viticoltura ed enologia (20)(1) ";"viticoltura ed enologia (L-26)"
"Iscrizione ad un altro corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"E' attualmente iscritto ad un corso di laurea magistrale ";"58,6";"40,0";"*";"48,1";"63,6";"*";"*";"28,6";"*";"68,0";"*";"*";"81,7";"77,4";"*";"*";"41,7";"*";"8,3"
"E' attualmente iscritto ad un altro corso di primo livello";"0,4";"6,7";"*";"-";"-";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Si era iscritto ad un corso di laurea magistrale o di primo livello, ma non lo è attualmente ";"0,4";"-";"*";"-";"-";"*";"*";"14,3";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Mai iscritto ad un corso di laurea magistrale o di primo livello";"40,6";"53,3";"*";"51,9";"36,4";"*";"*";"57,1";"*";"32,0";"*";"*";"18,3";"22,6";"*";"*";"58,3";"*";"91,7"
"Motivi della non iscrizione ad un altro corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Motivi lavorativi ";"47,1";"12,5";"*";"71,4";"31,3";"*";"*";"50,0";"*";"25,0";"*";"*";"63,6";"42,9";"*";"*";"71,4";"*";"45,5"
"Mancanza di un corso nell’area disciplinare di interesse";"6,9";"12,5";"*";"21,4";"12,5";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Motivi economici";"8,8";"12,5";"*";"-";"12,5";"*";"*";"25,0";"*";"-";"*";"*";"9,1";"14,3";"*";"*";"14,3";"*";"9,1"
"Non interessato perché intenzionato a frequentare altra formazione post-laurea";"5,9";"12,5";"*";"-";"12,5";"*";"*";"25,0";"*";"25,0";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Non interessato per altri motivi";"19,6";"12,5";"*";"7,1";"18,8";"*";"*";"-";"*";"37,5";"*";"*";"27,3";"14,3";"*";"*";"14,3";"*";"36,4"
"Motivi personali";"10,8";"37,5";"*";"-";"6,3";"*";"*";"-";"*";"12,5";"*";"*";"-";"28,6";"*";"*";"-";"*";"9,1"
"Altro motivo ";"1,0";"-";"*";"-";"6,3";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Motivi dell'iscrizione alla laurea magistrale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Per migliorare la propria formazione culturale";"31,1";"16,7";"*";"23,1";"28,6";"*";"*";"33,3";"*";"35,3";"*";"*";"40,8";"25,0";"*";"*";"20,0";"*";"-"
"Per migliorare le possibilità di trovare lavoro";"45,3";"66,7";"*";"38,5";"57,1";"*";"*";"33,3";"*";"41,2";"*";"*";"34,7";"62,5";"*";"*";"20,0";"*";"-"
"Perché è necessaria per trovare lavoro";"13,5";"16,7";"*";"23,1";"10,7";"*";"*";"33,3";"*";"17,6";"*";"*";"10,2";"4,2";"*";"*";"40,0";"*";"-"
"Perché ha cercato lavoro ma non l'ha trovato";"0,7";"-";"*";"-";"3,6";"*";"*";"-";"*";"-";"*";"*";"-";"-";"*";"*";"-";"*";"-"
"Per migliorare le condizioni dell'attuale lavoro";"8,1";"-";"*";"15,4";"-";"*";"*";"-";"*";"5,9";"*";"*";"10,2";"8,3";"*";"*";"20,0";"*";"100,0"
