Scuola;Dipartimento;Sede;tipo corso;Corsi di laurea;latitude;longitude;indirizzo
ingegneria;architettura;ravenna;LM;Ingegneria dei Processi e dei Sistemi Edilizi;44.414897;12.202986;Via Tombesi dell'Ova 55, Ravenna
ingegneria;architettura;bologna;LMCU;Ingegneria Edile/Architettura;44.488113;11.328422;Viale Risorgimento 2, Bologna
ingegneria;architettura;bologna;LMCU;Ingegneria Edile/Architettura;44.490224;11.336308;Via Saragozza 8, Bologna
ingegneria;architettura;bologna;LT;Design del prodotto industriale;44.488113;11.328422;Viale Risorgimento 2, Bologna
ingegneria;architettura;bologna;LT;Design del prodotto industriale;44.491839;11.330174;Via Ugo Foscolo, Bologna
ingegneria;architettura;cesena;LMCU;Architettura;44.145417;12.240676;Via Cavalcavia 61, Cesena
ingegneria;architettura;cesena;LMCU;Architettura;44.145215;12.242034;Viale Europa 596, Cesena
lettere;beni culturali;ravenna;LT;Beni culturali;44.417228;12.201935;Via Mariani 5, Ravenna
lettere;beni culturali;ravenna;LT;Beni culturali;44.418471;12.196938;Via Giuseppe Pasolini 23, Ravenna
lettere;beni culturali;ravenna;LT;Beni culturali;44.419673;12.196863;Via S. Vitale 28, Ravenna
lettere;beni culturali;ravenna;LM;Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali;44.417228;12.201935;Via Mariani 5, Ravenna
lettere;beni culturali;ravenna;LM;Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali;44.418471;12.196938;Via Giuseppe Pasolini 23, Ravenna
lettere;beni culturali;ravenna;LM;Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali;44.415986;12.195895;Piazza Duomo 4 - Ravenna
lettere;beni culturali;ravenna;LM;Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione;44.417228;12.201935;Via Mariani 5, Ravenna
lettere;beni culturali;ravenna;LM;Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione;44.418471;12.196938;Via Giuseppe Pasolini 23, Ravenna
lettere;beni culturali;ravenna;LM;Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione;44.419673;12.196863;Via S. Vitale 28, Ravenna
lettere;beni culturali;ravenna;LM;Scienze del libro e del documento;44.417228;12.201935;Via Mariani 5, Ravenna
lettere;beni culturali;ravenna;LM;Scienze del libro e del documento;44.418471;12.196938;Via Giuseppe Pasolini 23, Ravenna
lettere;beni culturali;ravenna;LMCU;Conservazione e restauro dei beni culturali;44.415756;12.202888;VIA Guaccimanni, 42 - Ravenna
lettere;beni culturali;ravenna;LMCU;Conservazione e restauro dei beni culturali;44.420003;12.196164;Via S. Vitale 17, Ravenna
lettere;beni culturali;ravenna;LMCU;Conservazione e restauro dei beni culturali;44.420781;12.195340;Via Fiandrini, Ravenna
ingegneria;Ingegneria indutriale;forli;LT;Ingegneria Aerospaziale;44.200129;12.063314;Via Fontanelle 40, Forlì
ingegneria;Ingegneria indutriale;forli;LT;Ingegneria Aerospaziale;44.217469;12.044429;Via Corridoni 20, Forlì
ingegneria;Ingegneria indutriale;forli;LT;Ingegneria Meccanica (forli);44.200129;12.063314;Via Fontanelle 40, Forlì
ingegneria;Ingegneria indutriale;forli;LT;Ingegneria Meccanica (forli);44.217469;12.044429;Via Corridoni 20, Forlì
ingegneria;Ingegneria indutriale;forli;LM;Aerospace Engineering;44.200129;12.063314;Via Fontanelle 40, Forlì
ingegneria;Ingegneria indutriale;forli;LM;Ingegneria Meccanica (forli);44.200129;12.063314;Via Fontanelle 40, Forlì
