annoaccademico;corso_codice;nome_curriculum;anno;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
2016/2017;9202;Economia e commercio;1;82112;ECONOMIA AZIENDALE E PRINCIPI DI CONTABILITA';http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413148;;38954;Siboni Benedetta;Italiano;;413148;;413148;
2016/2017;9202;Economia e commercio;1;18067;IDONEITA' INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413155;;30458;Gaspari Mauro;Italiano;;413155;;413155;
2016/2017;9202;Economia e commercio;1;18366;ISTITUZIONI DI DIRITTO (C.I.);;;;;;;413181;;413181;
2016/2017;9202;Economia e commercio;1;4519;DIRITTO DELL'ECONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413182;modulo;43331;Bertarini Beatrice;Italiano;;413182;413181;413181;
2016/2017;9202;Economia e commercio;1;4519;DIRITTO DELL'ECONOMIA (1);;modulo;43331;Bertarini Beatrice;Italiano;;416437;413182;413181;
2016/2017;9202;Economia e commercio;1;4519;DIRITTO DELL'ECONOMIA (2);;modulo;14461;Bandini Sofia;;;416438;413182;413181;
2016/2017;9202;Economia e commercio;1;532;ISTITUZIONI DI DIRITTO PRIVATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413183;modulo;40753;Bravo Fabio;Italiano;;413183;413181;413181;
2016/2017;9202;Economia e commercio;1;679;MATEMATICA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413185;;59664;Bormetti Giacomo;Italiano;;413185;;413185;
2016/2017;9202;Economia e commercio;1;9446;MICROECONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413187;;16861;Ecchia Giulio;Italiano;;413187;;413187;
2016/2017;9202;Economia e commercio;1;17572;RAGIONERIA GENERALE E APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413188;;30961;Savioli Giuseppe;Italiano;;413188;;413188;
2016/2017;9202;Economia e commercio;1;995;STORIA ECONOMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413189;;32683;Carboni Mauro;Italiano;;413189;;413189;
