corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
8005;66600;FISICA E STATISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366357;;15792;Sartorelli Gabriella;Italiano;;366357;0;366357;
8005;66600;FISICA E STATISTICA (1);;modulo;15792;Sartorelli Gabriella;Italiano;;366358;366357;366357;
8005;66600;FISICA E STATISTICA (2);;modulo;;;;;369164;366357;366357;
8005;66600;FISICA E STATISTICA (3);;modulo;;;;;405135;366357;366357;
8005;66601;CHIMICA (C.I.);;;;;;;366361;0;366361;
8005;65931;CHIMICA GENERALE ED INORGANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366364;modulo;39137;Musiani Francesco;Italiano;;366364;366361;366361;
8005;55393;CHIMICA ORGANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366365;modulo;31626;Gentilucci Luca;Italiano;;366365;366361;366361;
8005;55393;CHIMICA ORGANICA (1);;modulo;31626;Gentilucci Luca;Italiano;;366366;366365;366361;
8005;55393;CHIMICA ORGANICA (2);;modulo;40480;Gualandi Andrea;;;366367;366365;366361;
8005;55393;CHIMICA ORGANICA (3);;modulo;;;;;425375;366365;366361;
8005;66607;MORFOLOGIA CELLULARE E D'ORGANO (C.I.);;;;;;;366389;0;366389;
8005;65683;BIOLOGIA CELLULARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366390;modulo;14436;Marini Marina;Italiano;;366390;366389;366389;
8005;65683;BIOLOGIA CELLULARE (1);;modulo;14436;Marini Marina;Italiano;;366392;366390;366389;
8005;65683;BIOLOGIA CELLULARE (2);;modulo;30733;Forni Monica;;;366393;366390;366389;
8005;66606;ANATOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366391;modulo;43609;Follo Matilde Yung;Italiano;;366391;366389;366389;
8005;66606;ANATOMIA (1);;modulo;43609;Follo Matilde Yung;Italiano;;380897;366391;366389;
8005;66606;ANATOMIA (2);;modulo;43732;Ramazzotti Giulia;;;380898;366391;366389;
8005;66606;ANATOMIA (3);;modulo;43609;Follo Matilde Yung;;;414692;366391;366389;
8005;66606;ANATOMIA (4);;modulo;;;;;414693;366391;366389;
8005;66608;PROPRIETA' INTELLETTUALE E BIOETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366395;;31203;Musso Alberto;Italiano;;366395;0;366395;
8005;66608;PROPRIETA' INTELLETTUALE E BIOETICA (1);;modulo;31203;Musso Alberto;Italiano;;369475;366395;366395;
8005;66608;PROPRIETA' INTELLETTUALE E BIOETICA (2);;modulo;37530;Zullo Silvia;;;369476;366395;366395;
8005;66609;BIOCHIMICA;;;;;;;366396;0;366396;
8005;66609;BIOCHIMICA (A) (1);;modulo;30026;Fato Romana;Italiano;;405685;405684;366396;405685
8005;66609;BIOCHIMICA (A) (2);;modulo;16915;Farruggia Giovanna;;;405686;405684;366396;
8005;66609;BIOCHIMICA (B) (1);;modulo;30026;Fato Romana;Italiano;;405688;405687;366396;405685
8005;66609;BIOCHIMICA (B) (2);;modulo;32846;Cappadone Concettina;;;405689;405687;366396;
8005;66610;CHIMICA BIOANALITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366399;;15271;Roda Aldo;Italiano;;366399;0;366399;
8005;66611;BIOLOGIA MOLECOLARE (C.I.);;;;;;;366400;0;366400;
8005;66612;BIOLOGIA MOLECOLARE GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366401;modulo;31839;Scarlato Vincenzo;Italiano;;366401;366400;366400;
8005;66613;BIOLOGIA MOLECOLARE EUCARIOTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366402;modulo;31847;Capranico Giovanni;Italiano;;366402;366400;366400;
8005;66613;BIOLOGIA MOLECOLARE EUCARIOTICA (1);;modulo;31847;Capranico Giovanni;Italiano;;375959;366402;366400;
8005;66613;BIOLOGIA MOLECOLARE EUCARIOTICA (2);;modulo;42392;Marinello Jessica;;;375960;366402;366400;
8005;66614;MICROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366403;;14227;Zannoni Davide;Italiano;;366403;0;366403;
8005;66614;MICROBIOLOGIA (1);;modulo;14227;Zannoni Davide;Italiano;;375963;366403;366403;
8005;66614;MICROBIOLOGIA (2);;modulo;35394;Menotti Laura;;;375964;366403;366403;
8005;66614;MICROBIOLOGIA (3);;modulo;35394;Menotti Laura;;;375965;366403;366403;
8005;66615;GENETICA (C.I.);;;;;;;366404;0;366404;
8005;66616;GENETICA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366406;modulo;31822;Maestrini Elena;Italiano;;366406;366404;366404;
8005;66619;GENETICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366407;modulo;31895;Perini Giovanni;Italiano;;366407;366404;366404;
8005;66620;FISIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366410;;38563;Gamberini Michela;Italiano;;366410;0;366410;
8005;66622;BIOTECNOLOGIE DELLE FERMENTAZIONI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366412;;15889;Brigidi Patrizia;Italiano;;366412;0;366412;
8005;66622;BIOTECNOLOGIE DELLE FERMENTAZIONI (1);;modulo;15889;Brigidi Patrizia;Italiano;;414680;366412;366412;
8005;66622;BIOTECNOLOGIE DELLE FERMENTAZIONI (2);;modulo;35581;Candela Marco;;;414681;366412;366412;
8005;66625;BIOLOGIA STRUTTURALE (C.I.);;;;;;;366417;0;366417;
8005;66626;BIOCHIMICA DELLE PROTEINE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366418;modulo;33397;Sartor Giorgio;Italiano;;366418;366417;366417;
8005;66627;BIOLOGIA COMPUTAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366419;modulo;51132;Ferr?¿ Fabrizio;Italiano;;366419;366417;366417;
8005;66627;BIOLOGIA COMPUTAZIONALE (1);;modulo;51132;Ferr?¿ Fabrizio;Italiano;;386375;366419;366417;
8005;66627;BIOLOGIA COMPUTAZIONALE (2);;modulo;38989;Francia Francesco;;;386376;366419;366417;
8005;66629;PATOLOGIA GENERALE E IMMUNOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366422;;14791;Pession Annalisa;Italiano;;366422;0;366422;
8005;66629;PATOLOGIA GENERALE E IMMUNOLOGIA (1);;modulo;14791;Pession Annalisa;Italiano;;386551;366422;366422;
8005;66629;PATOLOGIA GENERALE E IMMUNOLOGIA (2);;modulo;35387;Salvioli Stefano;;;386552;366422;366422;
8005;66631;BIOTECNOLOGIE FARMACOLOGICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366423;;15669;Spampinato Santi Mario;Italiano;;366423;0;366423;
8005;66631;BIOTECNOLOGIE FARMACOLOGICHE (1);;modulo;15669;Spampinato Santi Mario;Italiano;;386554;366423;366423;
8005;66631;BIOTECNOLOGIE FARMACOLOGICHE (2);;modulo;15669;Spampinato Santi Mario;;;386555;366423;366423;
8005;66631;BIOTECNOLOGIE FARMACOLOGICHE (3);;modulo;40029;Bedini Andrea;;;403554;366423;366423;
8005;66632;BIOTECNOLOGIE GENETICHE VEGETALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366427;;15392;Tuberosa Roberto;Italiano;;366427;0;366427;
8005;66633;BIOTECNOLOGIE E MODELLI ANIMALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366428;;30733;Forni Monica;Italiano;;366428;0;366428;
8005;66633;BIOTECNOLOGIE E MODELLI ANIMALI (1);;modulo;30733;Forni Monica;Italiano;;386572;366428;366428;
8005;66633;BIOTECNOLOGIE E MODELLI ANIMALI (2);;modulo;16879;Bacci Maria Laura;Italiano;;386573;366428;366428;
8005;66642;BIOTECNOLOGIE CELLULARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366445;;32661;Calz?á Laura;Italiano;;366445;0;366445;
8005;66644;BIOTECNOLOGIE VIRALI E MICROBICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366447;;32637;Brandimarti Renato;Italiano;;366447;0;366447;
8005;66644;BIOTECNOLOGIE VIRALI E MICROBICHE (1);;modulo;32425;Fedi Stefano;;;386574;366447;366447;
