corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
659;536;ISTITUZIONI DI DIRITTO ROMANO;;;;;;;204263;0;204263;
659;536;ISTITUZIONI DI DIRITTO ROMANO (A-C) (1);;modulo;30117;Luchetti Giovanni;Italiano;;394619;204797;204263;
659;536;ISTITUZIONI DI DIRITTO ROMANO (A-C) (2);;modulo;37515;Pontoriero Ivano;;;394620;204797;204263;
659;24331;STORIA DEL DIRITTO MEDIOEVALE E MODERNO;;;;;;;204264;0;204264;
659;256;ECONOMIA POLITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204265;;34768;Leoncini Riccardo;Italiano;;204265;0;204265;402819
659;222;DIRITTO COSTITUZIONALE;;;;;;;204267;0;204267;
659;385;FILOSOFIA DEL DIRITTO;;;;;;;204268;0;204268;
659;230;DIRITTO INTERNAZIONALE;;;;;;;204270;0;204270;
659;230;DIRITTO INTERNAZIONALE (R-Z) (1);;modulo;31642;Balboni Marco;Italiano;;418871;333803;204270;
659;230;DIRITTO INTERNAZIONALE (R-Z) (2);;modulo;42758;Farnelli Gian Maria;;;418872;333803;204270;
659;224;DIRITTO DEL LAVORO;;;;;;;204271;0;204271;
659;224;DIRITTO DEL LAVORO (A-C) (1);;modulo;32844;Mainardi Sandro;Italiano;;414671;311375;204271;
659;224;DIRITTO DEL LAVORO (A-C) (2);;modulo;38565;Navilli Monica;;;414672;311375;204271;
659;224;DIRITTO DEL LAVORO (R-Z) (1);;modulo;30205;Focareta Franco;Italiano;;401873;368733;204271;401873
659;224;DIRITTO DEL LAVORO (R-Z) (2);;modulo;39964;Martelloni Federico;;;401874;368733;204271;
659;221;DIRITTO COMMERCIALE;;;;;;;204272;0;204272;
659;221;DIRITTO COMMERCIALE (D-L) (1);;modulo;30698;Vella Francesco;Italiano;;394565;311388;204272;394565
659;221;DIRITTO COMMERCIALE (D-L) (2);;modulo;40747;Ricciardiello Edgardo;;;394566;311388;204272;
659;221;DIRITTO COMMERCIALE (R-Z) (1);;modulo;41659;Calandra Buonaura Vincenzo;Italiano;;394560;311386;204272;
659;221;DIRITTO COMMERCIALE (R-Z) (2);;modulo;41659;Calandra Buonaura Vincenzo;Italiano;;421021;311386;204272;
659;221;DIRITTO COMMERCIALE (R-Z) (3);;modulo;35846;Guidotti Rolandino Guido;;;394561;311386;204272;
659;236;DIRITTO PUBBLICO COMPARATO;;;;;;;204273;0;204273;
659;236;DIRITTO PUBBLICO COMPARATO (A-L) (1);;modulo;31278;Mancini Susanna;Italiano;;414685;204780;204273;
659;236;DIRITTO PUBBLICO COMPARATO (A-L) (2);;modulo;34990;Ferioli Elena;;;414686;204780;204273;
659;232;DIRITTO PRIVATO COMPARATO;;;;;;;204274;0;204274;
659;232;DIRITTO PRIVATO COMPARATO (M-Z) (1);;modulo;31093;Timoteo Marina;Italiano;;401508;387555;204274;
659;232;DIRITTO PRIVATO COMPARATO (M-Z) (2);;modulo;39482;Carpi Angela;;;401509;387555;204274;
659;225;DIRITTO DELLA NAVIGAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204275;;15988;Zunarelli Stefano;Italiano;;204275;0;204275;
659;1621;DIRITTO FINANZIARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204276;;36987;Mondini Andrea;Italiano;;204276;0;204276;
659;1261;DIRITTO DI FAMIGLIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204278;;35868;Campione Riccardo;Italiano;;204278;0;204278;
659;1261;DIRITTO DI FAMIGLIA (1);;modulo;35868;Campione Riccardo;Italiano;;414687;204278;204278;
659;1261;DIRITTO DI FAMIGLIA (2);;modulo;15651;Sesta Michele;;;414688;204278;204278;
659;942;STORIA DEL DIRITTO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204280;;30117;Luchetti Giovanni;Italiano;;204280;0;204280;204280
659;3317;ISTITUZIONI DI DIRITTO PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204281;;34200;Manes Vittorio;Italiano;;204281;0;204281;
659;3575;SOCIOLOGIA DEL DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204282;;32789;Pellegrini Stefania;Italiano;;204282;0;204282;
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204284;;16681;Nuti Giovanetti Fabio;Italiano;;204284;0;204284;
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE (1);;modulo;16681;Nuti Giovanetti Fabio;Italiano;;394595;204284;204284;394595
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE (2);;modulo;81536;Coco Francesco;;;394596;204284;204284;
659;46818;DIRITTI FONDAMENTALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204285;;30469;Mezzetti Luca;Italiano;;204285;0;204285;
659;233;DIRITTO PROCESSUALE CIVILE;;;;;;;204286;0;204286;
659;233;DIRITTO PROCESSUALE CIVILE (D-L) (1);;modulo;31985;Zucconi Galli Fonseca Elena;Italiano;;394591;334021;204286;
659;233;DIRITTO PROCESSUALE CIVILE (D-L) (2);;modulo;34314;Canella Maria Giulia;;;394592;334021;204286;
659;233;DIRITTO PROCESSUALE CIVILE (M-Q) (1);;modulo;37520;Rasia Carlo;Italiano;;416475;334022;204286;
659;233;DIRITTO PROCESSUALE CIVILE (M-Q) (2);;modulo;30179;Brunelli Brunella;;;416476;334022;204286;
659;233;DIRITTO PROCESSUALE CIVILE (R-Z) (1);;modulo;35765;Querzola Lea;Italiano;;414787;334023;204286;
659;233;DIRITTO PROCESSUALE CIVILE (R-Z) (2);;modulo;31566;Zoppellari Mario;;;414788;334023;204286;
659;231;DIRITTO PENALE;;;;;;;204287;0;204287;
