corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
881;76561;LABORATORIO DI LAUREA: PROGETTO, STORIA E RESTAURO (C.I.);;;;;;;311752;0;311752;
881;8043;RESTAURO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311753;modulo;40752;Ugolini Andrea;Italiano;;311753;311752;311752;
881;79889;ESTETICA DEL PAESAGGIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311754;modulo;43451;Borsari Andrea;Italiano;;311754;311752;311752;
881;82997;COMPOSIZIONE ARCHITETTONICA/MUSEOGRAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311755;modulo;35795;Pittini Sandro;Italiano;;311755;311752;311752;
881;73766;NUOVE TECNOLOGIE PER IL RILIEVO DEL COSTRUITO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311756;modulo;43236;Fallavollita Federico;Italiano;;311756;311752;311752;
881;82998;CONSOLIDAMENTO DELL'EDILIZIA STORICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/311757;modulo;56302;Faccio Paolo;Italiano;;311757;311752;311752;
881;73767;PROGETTO E CONSERVAZIONE ATTIVA DI PAESAGGI E SPAZI APERTI STORICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335572;modulo;48092;Matteini Tessa;Italiano;;335572;311752;311752;
881;29482;LABORATORIO DI PROGETTAZIONE ARCHITETTONICA I (C.I.);;;;;;;326082;0;326082;
881;3869;ARCHITETTURA E COMPOSIZIONE ARCHITETTONICA I;;modulo;;;;;326085;326082;326082;
881;29508;DISEGNO DELLA CITT?Ç E DEL PAESAGGIO;;modulo;;;;;326086;326082;326082;
881;29511;CARATTERI DISTRIBUTIVI DEGLI EDIFICI I;;modulo;;;;;326095;326082;326082;
881;70461;STORIA DELL'ARCHITETTURA 1 -;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/326112;;31647;Ceccarelli Francesco;Italiano;;326112;0;326112;
881;70461;STORIA DELL'ARCHITETTURA 1 - (1);;modulo;31647;Ceccarelli Francesco;Italiano;;386417;326112;326112;
881;70461;STORIA DELL'ARCHITETTURA 1 - (2);;modulo;49677;Pascale Guidotti Magnani Daniele;;;386418;326112;326112;
881;70460;MATERIALI E PROGETTAZIONE DI ELEMENTI COSTRUTTIVI -;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/326146;;43796;Gaspari Jacopo;Italiano;;326146;0;326146;
881;29835;LABORATORIO DI PROGETTAZIONE ARCHITETTONICA III (C.I.);;;;;;;326673;0;326673;
881;3718;COMPOSIZIONE ARCHITETTONICA I;;modulo;;;;;326686;326673;326673;
881;19090;TEORIE DELLA COMPOSIZIONE ARCHITETTONICA;;modulo;;;;;326687;326673;326673;
881;30355;LABORATORIO DI RESTAURO ARCHITETTONICO (C.I.);;;;;;;327278;0;327278;
881;9362;RESTAURO ARCHITETTONICO;;modulo;;;;;327296;327278;327278;
881;45211;CONSERVAZIONE DEI MATERIALI NELL'EDILIZIA STORICA;;modulo;;;;;327297;327278;327278;
881;45211;CONSERVAZIONE DEI MATERIALI NELL'EDILIZIA STORICA (A) (1);;modulo;39303;Agostinelli Emilio Roberto;Italiano;;381313;381311;327278;381313
881;45211;CONSERVAZIONE DEI MATERIALI NELL'EDILIZIA STORICA (A) (2);;modulo;42136;Di Francesco Carla;;;381314;381311;327278;381314
881;45211;CONSERVAZIONE DEI MATERIALI NELL'EDILIZIA STORICA (B) (1);;modulo;39303;Agostinelli Emilio Roberto;Italiano;;381315;381312;327278;381313
881;45211;CONSERVAZIONE DEI MATERIALI NELL'EDILIZIA STORICA (B) (2);;modulo;42136;Di Francesco Carla;;;381316;381312;327278;381314
881;32647;LABORATORIO DI RILIEVO DELL'ARCHITETTURA (C.I.);;;;;;;332362;0;332362;
881;32648;RILIEVO ARCHITETTONICO E URBANO;;modulo;;;;;332363;332362;332362;
881;32649;STRUMENTI E METODI DEL RILIEVO ARCHITETTONICO;;modulo;;;;;332364;332362;332362;
881;70459;FISICA TECNICA AMBIENTALE I -;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332371;;32324;Tronchin Lamberto;Italiano;;332371;0;332371;
881;70459;FISICA TECNICA AMBIENTALE I - (1);;modulo;32324;Tronchin Lamberto;Italiano;;414963;332371;332371;
881;70459;FISICA TECNICA AMBIENTALE I - (2);;modulo;14360;Tarabusi Valerio;;;414964;332371;332371;
881;76559;LABORATORIO DI LAUREA: ARCHITETTURA SOSTENIBILE (C.I.);;;;;;;335541;0;335541;
881;37810;TECNOLOGIE PER LA PROGETTAZIONE SOSTENIBILE I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335544;modulo;38262;Boeri Andrea;Italiano;;335544;335541;335541;
881;37810;TECNOLOGIE PER LA PROGETTAZIONE SOSTENIBILE I (1);;modulo;38262;Boeri Andrea;Italiano;;410874;335544;335541;
881;37810;TECNOLOGIE PER LA PROGETTAZIONE SOSTENIBILE I (2);;modulo;43262;Dallacasa Francesca;;;410875;335544;335541;
881;37811;TECNOLOGIE PER LA PROGETTAZIONE SOSTENIBILE II;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335545;modulo;39059;Antonini Ernesto;Italiano;;335545;335541;335541;
881;82662;PROGETTAZIONE DELL'EFFICIENZA E VALUTAZIONE DEI COMPORTAMENTI ENERGETICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335546;modulo;34842;Fabbri Kristian;Italiano;;335546;335541;335541;
881;73773;TECNOLOGIE PER IL RISPARMIO ENERGETICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335547;modulo;43796;Gaspari Jacopo;Italiano;;335547;335541;335541;
881;33155;PROGETTAZIONE SOSTENIBILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335548;modulo;39916;Amistadi Lamberto;Italiano;;335548;335541;335541;
881;40133;AFPG - LABORATORIO DI FOTOGRAFIA I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335614;;917237;Guidi Guido;Italiano;;335614;0;335614;
881;40130;AFPG - LABORATORIO DI MODELLISTICA I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335620;;50088;Reggioli Cristina;Italiano;;335620;0;335620;
881;40136;AFPG - LABORATORIO DI DIAGNOSTICA STRUTTURALE I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335623;;39268;Bartolomeo Veronica;Italiano;;335623;0;335623;
881;40137;AFPG - LABORATORIO DI DIAGNOSTICA STRUTTURALE II;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335624;;39268;Bartolomeo Veronica;Italiano;;335624;0;335624;
881;56499;AFPG - LABORATORIO DI RAPPRESENTAZIONE DEL TERRITORIO E DELL'AMBIENTE I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335626;;38884;Ruf Annina Maria;Italiano;;335626;0;335626;
881;26365;AFPG - LABORATORIO DI DISEGNO ASSISTITO PARAMETRICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/335627;;42726;Corso Salvatore;Italiano;;335627;0;335627;
881;37828;AFPG-LABORATORIO DI MODELLAZIONE E VISUALIZZAZIONE DIGITALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/352392;;42839;Ricci Pier Carlo;Italiano;;352392;0;352392;
881;76732;LABORATORIO DI LAUREA: PROGETTI PER LA GRANDE CITT?Ç (C.I.);;;;;;;369877;0;369877;
881;18547;ARCHITETTURA E COMPOSIZIONE ARCHITETTONICA III;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369878;modulo;32123;Savini Maura;Italiano;;369878;369877;369877;
881;2736;STORIA DELL'ARCHITETTURA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369883;modulo;55393;Rostagni Cecilia;Italiano;;369883;369877;369877;
881;3873;TECNOLOGIA DELL'ARCHITETTURA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369884;modulo;32123;Savini Maura;Italiano;;369884;369877;369877;
881;76612;DISEGNO ARCHITETTONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395218;modulo;34917;Manferdini Anna Maria;Italiano;;395218;369877;369877;
881;76563;LABORATORIO DI LAUREA: FIGURE DI SPAZI URBANI (C.I.);;;;;;;369885;0;369885;
881;24708;COMPOSIZIONE ARCHITETTONICA E URBANA I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369886;modulo;32913;Gulinello Francesco;Italiano;;369886;369885;369885;
881;58972;TEORIE E TECNICHE DELLA PROGETTAZIONE ARCHITETTONICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369887;modulo;33572;Mucelli Elena;Italiano;;369887;369885;369885;
881;79657;ARCHITETTURA DEL PAESAGGIO I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369888;modulo;42883;Cipriani Marialuisa;Italiano;;369888;369885;369885;
881;76612;DISEGNO ARCHITETTONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369891;modulo;34917;Manferdini Anna Maria;Italiano;;369891;369885;369885;
881;79673;LABORATORIO DI LAUREA: PROGETTO URBANO (C.I.);;;;;;;369894;0;369894;
881;48295;COMPOSIZIONE ARCHITETTONICA E URBANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369895;modulo;37014;Malacarne Gino;Italiano;;369895;369894;369894;
