corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
956;27096;STORIA DEL TEATRO E DELLO SPETTACOLO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320148;;14542;De Marinis Marco;Italiano;;320148;0;320148;320148
956;3510;DRAMMATURGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320172;;23957;Guccini Gerardo;Italiano;;320172;0;320172;
956;13703;ISTITUZIONI DI STORIA DEL CINEMA;;;;;;;320173;0;320173;
956;27104;ANALISI DEL FILM;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320174;;36477;Noto Paolo;Italiano;;320174;0;320174;
956;12121;STORIA DELLA RADIO E DELLA TELEVISIONE;;;;;;;320175;0;320175;
956;27107;STORIA DELLA MUSICA III: '800;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320179;;40821;Scalfaro Anna;Italiano;;320179;0;320179;
956;27107;STORIA DELLA MUSICA III: '800 (1);;modulo;40821;Scalfaro Anna;Italiano;;378322;320179;320179;378322
956;27107;STORIA DELLA MUSICA III: '800 (2);;modulo;36485;Cuomo Carla;Italiano;;378323;320179;320179;
956;27108;STORIA DELLA MUSICA II: '600-'700;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320180;;38828;Pasquini Elisabetta;Italiano;;320180;0;320180;
956;27108;STORIA DELLA MUSICA II: '600-'700 (1);;modulo;38828;Pasquini Elisabetta;Italiano;;420306;320180;320180;
956;27108;STORIA DELLA MUSICA II: '600-'700 (2);;modulo;39149;Badolato Nicola;;;420307;320180;320180;
956;11382;STORIA DELL'ARTE MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320184;;31237;Lollini Fabrizio;Italiano;;320184;0;320184;320184
956;2290;STORIA DELL'ARTE MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320185;;36013;Benati Daniele;Italiano;;320185;0;320185;
