corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
979;30931;LETTERATURA ITALIANA 1;;;;;;;328635;0;328635;
979;30931;LETTERATURA ITALIANA 1 (GR. A) (1);;modulo;14572;Avellini Luisa;Italiano;;415536;332913;328635;
979;30931;LETTERATURA ITALIANA 1 (GR. A) (2);;modulo;39623;Curti Elisa;;;415537;332913;328635;
979;30946;LINGUA E LINGUISTICA FINLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328679;;35504;Martin Sanna Maria;Italiano;;328679;0;328679;328679
979;30950;LINGUA E LINGUISTICA FRANCESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328691;;35495;Nannoni Catia;Francese;;328691;0;328691;328691
979;30951;LINGUA E LINGUISTICA INGLESE 1;;;;;;;328699;0;328699;
979;30954;LINGUA E LINGUISTICA NEDERLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328705;;43788;Prandoni Marco;Italiano;;328705;0;328705;377731
979;30959;LINGUA E LINGUISTICA POLACCA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328720;;47263;Jakobsze Malgorzata;Italiano;;328720;0;328720;328720
979;30965;LINGUA E LINGUISTICA PORTOGHESE E BRASILIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328730;;33516;Mulinacci Roberto;Italiano;;328730;0;328730;328730
979;30970;LINGUA E LINGUISTICA RUSSA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328739;;34304;Berardi Simona;Italiano;;328739;0;328739;
979;30972;LINGUA E LINGUISTICA SPAGNOLA 1;;;;;;;328742;0;328742;
979;30976;LINGUA E LINGUISTICA TEDESCA 1;;;;;;;328747;0;328747;
979;30980;LINGUA E LINGUISTICA UNGHERESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328752;;31426;Rozsnyoi Zsuzsanna;Italiano;;328752;0;328752;328857
979;30994;LETTERATURA FINLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328772;;35504;Martin Sanna Maria;Italiano;;328772;0;328772;328772
979;31028;LETTERATURA FRANCESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328827;;37036;Gnocchi Maria Chiara;Francese;;328827;0;328827;
979;31035;LETTERATURA NEDERLANDESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328836;;43788;Prandoni Marco;Italiano;;328836;0;328836;328836
979;31038;LETTERATURA POLACCA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328837;;33696;Ceccherelli Andrea;Italiano;;328837;0;328837;328837
979;31041;LETTERATURA RUSSA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328843;;30138;Imposti Gabriella Elina;Italiano;;328843;0;328843;
979;31043;LETTERATURA SPAGNOLA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328849;;33602;Contadini Luigi;Italiano;;328849;0;328849;
979;31046;LETTERATURA TEDESCA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328854;;14392;Cantarutti Giulia;Italiano;;328854;0;328854;
979;31048;LETTERATURA UNGHERESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328857;;31426;Rozsnyoi Zsuzsanna;Italiano;;328857;0;328857;328857
979;31055;LETTERATURE ANGLO-AMERICANE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328861;;36080;Lamberti Elena;Inglese;;328861;0;328861;
979;31059;LETTERATURE ISPANO-AMERICANE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328880;;44529;Balletta Edoardo;Spagnolo;;328880;0;328880;
979;31061;LETTERATURE PORTOGHESE E BRASILIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328886;;30337;Vecchi Roberto;Italiano;;328886;0;328886;328886
979;31065;LINGUA E LINGUISTICA ARABA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328903;;38105;Benenati Giovanni Domenico;Italiano;;328903;0;328903;328903
979;31068;LINGUA E LINGUISTICA CINESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328910;;32905;Ceccagno Antonella;Italiano;;328910;0;328910;329914
979;31070;LINGUA E LINGUISTICA GIAPPONESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328918;;43115;Vitucci Francesco;Italiano;;328918;0;328918;329922
979;31082;LINGUA E LINGUISTICA PERSIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328936;;35635;Saccone Carlo;Italiano;;328936;0;328936;329925
979;31102;LETTERATURA ARABA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328969;;38105;Benenati Giovanni Domenico;Italiano;;328969;0;328969;328969
979;31103;LETTERATURA CINESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328974;;43211;Pirazzoli Melinda;Italiano;;328974;0;328974;
979;31103;LETTERATURA CINESE 1 (1);;modulo;43211;Pirazzoli Melinda;Italiano;;406353;328974;328974;
979;31103;LETTERATURA CINESE 1 (2);;modulo;43209;Baccini Giulia;;;406354;328974;328974;
979;31107;LETTERATURA GIAPPONESE 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328980;;41135;Scrolavezza Paola;Italiano;;328980;0;328980;329952
979;31115;LETTERATURA PERSIANA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329006;;35635;Saccone Carlo;Italiano;;329006;0;329006;329963
979;11379;STORIA MEDIEVALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329033;;30502;Pirillo Paolo;Italiano;;329033;0;329033;
979;929;STORIA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329047;;34220;Martelli Fabio;Italiano;;329047;0;329047;
979;932;STORIA CONTEMPORANEA;;;;;;;329053;0;329053;
