corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
8204;39988;METODOLOGIA SCIENTIFICA - (C.I.);;;;;;;339949;0;339949;
8204;58200;FISICA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339950;modulo;32857;Baldazzi Giuseppe;Italiano;;339950;339949;339949;
8204;7276;INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339952;modulo;16685;Mazzullo Mario;Italiano;;339952;339949;339949;
8204;11340;INFORMATICA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339953;modulo;16685;Mazzullo Mario;Italiano;;339953;339949;339949;
8204;27836;BIOLOGIA (C.I.);;;;;;;339956;0;339956;
8204;12946;BIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339957;modulo;36839;Ventura Carlo;Italiano;;339957;339956;339956;
8204;57113;BIOLOGIA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339958;modulo;34299;Canaider Silvia;Italiano;;339958;339956;339956;
8204;18300;CHIMICA E BIOCHIMICA (C.I.);;;;;;;339960;0;339960;
8204;88;CHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339961;modulo;23228;Muscari Claudio;Italiano;;339961;339960;339960;
8204;61;BIOCHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339962;modulo;23228;Muscari Claudio;Italiano;;339962;339960;339960;
8204;34331;ANATOMIA ED ISTOLOGIA (C.I.);;;;;;;339963;0;339963;
8204;358;ISTOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339964;modulo;51129;Franco Migliaccio Anna Rita;Italiano;;339964;339963;339963;
8204;10083;ANATOMIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339965;modulo;34157;Ruggeri Alessandra;Italiano;;339965;339963;339963;
8204;10083;ANATOMIA UMANA (1);;modulo;34157;Ruggeri Alessandra;Italiano;;401989;339965;339963;
8204;10083;ANATOMIA UMANA (2);;modulo;33723;Martini Desiree;;;401990;339965;339963;
8204;2573;INGLESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339966;;;;;;339966;0;339966;370032
8204;34332;PRINCIPI DI ODONTOIATRIA (C.I.);;;;;;;339967;0;339967;
8204;34333;PROPEDEUTICA CLINICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/339968;modulo;35295;Nucci Cesare;Italiano;;339968;339967;339967;
