corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
989;42457;TECNICHE PSICOMETRICHE E DI ANALISI DEI DATI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/331514;;38825;Benassi Mariagrazia;Italiano;;331514;0;331514;
989;70245;SVILUPPO COGNITIVO E DISTURBI SPECIFICI DELL'APPRENDIMENTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/350451;;31436;Sansavini Alessandra;Italiano;;350451;0;350451;
989;70245;SVILUPPO COGNITIVO E DISTURBI SPECIFICI DELL'APPRENDIMENTO (1);;modulo;31436;Sansavini Alessandra;Italiano;;403163;350451;350451;
989;70245;SVILUPPO COGNITIVO E DISTURBI SPECIFICI DELL'APPRENDIMENTO (2);;modulo;39920;Biancardi Andrea;;;403164;350451;350451;
989;69949;LABORATORIO DI INGLESE SPECIALISTICO PER PSICOLOGI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377617;;;;;;377617;0;377617;411257
989;70008;RIABILITAZIONE NEUROPSICOLOGICA IN ETA' EVOLUTIVA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378448;;46121;Bertini Caterina;Italiano;;378448;0;378448;
989;70008;RIABILITAZIONE NEUROPSICOLOGICA IN ETA' EVOLUTIVA (1);;modulo;46121;Bertini Caterina;Italiano;;385366;378448;378448;
989;70008;RIABILITAZIONE NEUROPSICOLOGICA IN ETA' EVOLUTIVA (2);;modulo;34151;Frassinetti Francesca;;;385367;378448;378448;
989;70008;RIABILITAZIONE NEUROPSICOLOGICA IN ETA' EVOLUTIVA (3);;modulo;39920;Biancardi Andrea;;;415149;378448;378448;
989;70009;RIABILITAZIONE NEUROPSICOLOGICA NELL'ADULTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378449;;15396;Ladavas Elisabetta;Italiano;;378449;0;378449;
989;70009;RIABILITAZIONE NEUROPSICOLOGICA NELL'ADULTO (1);;modulo;15396;Ladavas Elisabetta;Italiano;;385368;378449;378449;
989;70009;RIABILITAZIONE NEUROPSICOLOGICA NELL'ADULTO (2);;modulo;46121;Bertini Caterina;;;385369;378449;378449;
989;72580;SEMIOTICA E DIAGNOSI DIFFERENZIALE IN NEUROPSICOLOGIA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384364;;34151;Frassinetti Francesca;Italiano;;384364;0;384364;
989;72580;SEMIOTICA E DIAGNOSI DIFFERENZIALE IN NEUROPSICOLOGIA. (1);;modulo;34151;Frassinetti Francesca;Italiano;;385370;384364;384364;
989;72580;SEMIOTICA E DIAGNOSI DIFFERENZIALE IN NEUROPSICOLOGIA. (2);;modulo;54591;Molinari Maria Angela;;;385371;384364;384364;
989;72582;METODI DI INTERVENTO NEL DISAGIO DELL'ANZIANO.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384366;;31919;Chattat Rabih;Italiano;;384366;0;384366;
989;72582;METODI DI INTERVENTO NEL DISAGIO DELL'ANZIANO. (1);;modulo;31919;Chattat Rabih;Italiano;;394983;384366;384366;
989;72582;METODI DI INTERVENTO NEL DISAGIO DELL'ANZIANO. (2);;modulo;39288;Ruini Chiara;;;394984;384366;384366;
989;72583;NEUROSCIENZE SOCIALI-;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384367;;39873;Avenanti Alessio;Italiano;;384367;0;384367;
989;72600;METODOLOGIA DELLA RICERCA IN NEUROSCIENZE;;;;;;;384439;0;384439;
989;72600;METODOLOGIA DELLA RICERCA IN NEUROSCIENZE (A) (1);;modulo;39873;Avenanti Alessio;Italiano;;403152;403151;384439;
989;72600;METODOLOGIA DELLA RICERCA IN NEUROSCIENZE (A) (2);;modulo;31078;Di Pellegrino Giuseppe;;;403153;403151;384439;403153
989;72600;METODOLOGIA DELLA RICERCA IN NEUROSCIENZE (B) (1);;modulo;39873;Avenanti Alessio;Italiano;;403155;403154;384439;
989;72600;METODOLOGIA DELLA RICERCA IN NEUROSCIENZE (B) (2);;modulo;31078;Di Pellegrino Giuseppe;;;403156;403154;384439;403153
989;73391;DISTURBI COGNITIVI IN ETA' EVOLUTIVA.;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/386644;;38931;Millepiedi Stefania;Italiano;;386644;0;386644;
