corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
884;66274;CHIMICA ANALITICA INDUSTRIALE E DI PROCESSO CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365121;;911742;Taddia Marco;Italiano;;365121;0;365121;
884;66274;CHIMICA ANALITICA INDUSTRIALE E DI PROCESSO CON LABORATORIO M (1);;modulo;911742;Taddia Marco;Italiano;;367846;365121;365121;
884;66274;CHIMICA ANALITICA INDUSTRIALE E DI PROCESSO CON LABORATORIO M (2);;modulo;38739;Scavetta Erika;;;367847;365121;365121;
884;66274;CHIMICA ANALITICA INDUSTRIALE E DI PROCESSO CON LABORATORIO M (3);;modulo;16723;Zappoli Sergio;;;399536;365121;365121;
884;66171;CHIMICA FISICA CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365122;;30929;Berardi Roberto;Italiano;;365122;0;365122;
884;66171;CHIMICA FISICA CON LABORATORIO M (1);;modulo;30929;Berardi Roberto;Italiano;;367709;365122;365122;
884;66171;CHIMICA FISICA CON LABORATORIO M (2);;modulo;36306;Orlandi Silvia;;;367710;365122;365122;
884;66172;CHIMICA INORGANICA CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365125;;31870;Cassani Maria Cristina;Italiano;;365125;0;365125;
884;66172;CHIMICA INORGANICA CON LABORATORIO M (1);;modulo;31870;Cassani Maria Cristina;Italiano;;367858;365125;365125;
884;66172;CHIMICA INORGANICA CON LABORATORIO M (2);;modulo;51654;Massi Massimiliano;;;420228;365125;365125;
884;66172;CHIMICA INORGANICA CON LABORATORIO M (3);;modulo;34993;Zacchini Stefano;;;367859;365125;365125;
884;66173;CHIMICA ORGANICA CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365136;;30206;Righi Paolo;Italiano;;365136;0;365136;
884;66173;CHIMICA ORGANICA CON LABORATORIO M (1);;modulo;30206;Righi Paolo;Italiano;;367870;365136;365136;
884;66173;CHIMICA ORGANICA CON LABORATORIO M (2);;modulo;33775;Mazzanti Andrea;;;367871;365136;365136;
884;66173;CHIMICA ORGANICA CON LABORATORIO M (3);;modulo;43110;Bernardi Luca;;;399538;365136;365136;
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365137;;14115;Vaccari Angelo;Italiano;;365137;0;365137;
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M (1);;modulo;14115;Vaccari Angelo;Italiano;;367886;365137;365137;
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M (2);;modulo;16797;Cavani Fabrizio;;;367887;365137;365137;
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M (3);;modulo;30499;Fornasari Giuseppe;;;367888;365137;365137;
884;66352;SVILUPPO E GESTIONE DEI PROCESSI CHIMICI INDUSTRIALI CON LABORATORIO M (4);;modulo;33984;Albonetti Stefania;;;399533;365137;365137;
884;66175;PRODOTTI POLIMERICI INDUSTRIALI CON LABORATORIO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365139;;35620;Giorgini Loris;Italiano;;365139;0;365139;
884;66175;PRODOTTI POLIMERICI INDUSTRIALI CON LABORATORIO M (1);;modulo;35620;Giorgini Loris;Italiano;;367891;365139;365139;
884;66175;PRODOTTI POLIMERICI INDUSTRIALI CON LABORATORIO M (2);;modulo;23121;Salatelli Elisabetta;;;367892;365139;365139;
884;66175;PRODOTTI POLIMERICI INDUSTRIALI CON LABORATORIO M (3);;modulo;31881;Lanzi Massimiliano;;;399532;365139;365139;
884;66177;CHIMICA METALLORGANICA M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365175;;30116;Bordoni Silvia;Italiano;;365175;0;365175;
884;66176;CHIMICA FISICA DEI MATERIALI FUNZIONALI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365189;;14685;Zannoni Claudio;Italiano;;365189;0;365189;
884;66178;CHIMICA DELLA CATALISI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365190;;30499;Fornasari Giuseppe;Italiano;;365190;0;365190;
884;66178;CHIMICA DELLA CATALISI M (1);;modulo;14115;Vaccari Angelo;;;374965;365190;365190;
884;66178;CHIMICA DELLA CATALISI M (2);;modulo;30499;Fornasari Giuseppe;Italiano;;374966;365190;365190;
884;66179;CHIMICA ORGANICA INDUSTRIALE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365191;;33164;Sambri Letizia;Italiano;;365191;0;365191;
884;66180;BIOTECNOLOGIA DELLE FERMENTAZIONI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365192;;39899;Stefan Alessandra;Italiano;;365192;0;365192;
884;66181;TECNOLOGIE E CERTIFICAZIONE AMBIENTALE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365193;;35630;Passarini Fabrizio;Italiano;;365193;0;365193;
884;66182;METALLURGIA APPLICATA M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365194;;37093;Morri Alessandro;Italiano;;365194;0;365194;
884;66183;COMPLEMENTI DI IMPIANTI CHIMICI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365195;;30298;Pinelli Davide;Italiano;;365195;0;365195;
884;66183;COMPLEMENTI DI IMPIANTI CHIMICI M (1);;modulo;30298;Pinelli Davide;Italiano;;377089;365195;365195;
884;66183;COMPLEMENTI DI IMPIANTI CHIMICI M (2);;modulo;36825;Paglianti Alessandro;;;377090;365195;365195;
884;66185;ALTRE CONOSCENZE UTILI PER L'INSERIMENTO NEL MONDO DEL LAVORO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365203;;16797;Cavani Fabrizio;Italiano;;365203;0;365203;
884;34633;PROVA FINALE M;;;;;;;365204;0;365204;
884;66188;ANALISI DI SUPERFICIE E SPETTROSCOPIE A RAGGI X M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365207;;33320;Giorgetti Marco;Italiano;;365207;0;365207;
884;66190;CHIMICA FISICA DELLO STATO SOLIDO M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365209;;16826;Venuti Elisabetta;Italiano;;365209;0;365209;
884;66191;CHIMICA TEORICA E COMPUTAZIONALE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365210;;32479;Garavelli Marco;Italiano;;365210;0;365210;404059
884;66194;CHIMICA INORGANICA SUPERIORE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365213;;34993;Zacchini Stefano;Italiano;;365213;0;365213;
884;66196;PROCESSI CHIMICI A BASSO IMPATTO AMBIENTALE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365215;;16797;Cavani Fabrizio;Italiano;;365215;0;365215;
884;66198;POLIMERI PER USI SPECIALI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365217;;30096;Caretti Daniele;Italiano;;365217;0;365217;
884;66200;TECNOLOGIA DEI POLIMERI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365219;;30096;Caretti Daniele;Italiano;;365219;0;365219;
884;66201;CHIMICA ORGANICA SUPERIORE M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365220;;43110;Bernardi Luca;Italiano;;365220;0;365220;
884;66202;MATERIALI ORGANICI AVANZATI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365221;;33164;Sambri Letizia;Italiano;;365221;0;365221;
884;66210;IMPIANTI BIOTECNOLOGICI M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365239;;35624;Montante Giuseppina Maria Rosa;Italiano;;365239;0;365239;
884;78411;SENSORI ELETTROCHIMICI E FONDAMENTI DI ELETTROANALITICA M;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401239;;15798;Tonelli Domenica;Italiano;;401239;0;401239;
884;79083;PHYSICAL CHEMISTRY AND SPECTROSCOPY OF MATERIALS (I.C.);;;;;;;403050;0;403050;
884;79466;SPECTROSCOPY OF CONDENSED PHASES;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403051;modulo;14685;Zannoni Claudio;Inglese;;403051;403050;403050;
884;79085;SUSTAINABLE INDUSTRIAL CHEMISTRY AND POLYMERS;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403052;modulo;16797;Cavani Fabrizio;Inglese;;403052;403050;403050;
884;79085;SUSTAINABLE INDUSTRIAL CHEMISTRY AND POLYMERS (1);;modulo;16797;Cavani Fabrizio;Inglese;;414189;403052;403050;
884;79085;SUSTAINABLE INDUSTRIAL CHEMISTRY AND POLYMERS (2);;modulo;45028;Mazzocchetti Laura;;;414190;403052;403050;
884;79109;X-RAY TECHNIQUES;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403053;modulo;33320;Giorgetti Marco;Inglese;;403053;403050;403050;
884;79089;HIGH RESOLUTION MOLECULAR SPECTROSCOPY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403057;;33338;Tamassia Filippo;Inglese;;403057;0;403057;
884;79090;SPECTROSCOPIC METHODS IN COORDINATION CHEMISTRY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403058;;38736;Stagni Stefano;Inglese;;403058;0;403058;
884;79091;ORGANIC CHEMISTRY FOR NANOTECHNOLOGIES WITH LABORATORY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403059;;31742;Comes Franchini Mauro;Italiano;;403059;0;403059;
884;33025;PROJECT CASE STUDY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403066;;33320;Giorgetti Marco;Inglese;;403066;0;403066;
884;33024;MASTER THESIS;;;;;;;403067;0;403067;
884;79110;TRANSFERABLE SKILLS;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/403093;;30206;Righi Paolo;Inglese;;403093;0;403093;
8004;58416;ALGEBRA LINEARE E GEOMETRIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320625;;16902;Cagliari Francesca;Italiano;;320625;0;320625;
8004;27210;ANALISI MATEMATICA 1;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320626;;34014;Tesi Maria Carla;Italiano;;320626;0;320626;
8004;57;ASTRONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320627;;39860;Cimatti Andrea;Italiano;;320627;0;320627;
8004;57;ASTRONOMIA (1);;modulo;39860;Cimatti Andrea;Italiano;;425696;320627;320627;
8004;57;ASTRONOMIA (2);;modulo;46216;Moresco Michele Ennio Maria;;;425697;320627;320627;
8004;6297;ELEMENTI DI INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320628;;15565;Messina Antonio;Italiano;;320628;0;320628;
