corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
8040;905;SOCIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325049;;42250;Martignani Luca;Italiano;;325049;0;325049;
8040;9680;PRINCIPI E FONDAMENTI DEL SERVIZIO SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325053;;36137;Mantovani Francesca;Italiano;;325053;0;325053;
8040;9681;METODI E TECNICHE DEL SERVIZIO SOCIALE I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325091;;42265;Sirimarco Teresa Raffaella;Italiano;;325091;0;325091;
8040;932;STORIA CONTEMPORANEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325101;;39543;Botta Salvatore;Italiano;;325101;0;325101;
8040;29218;METODOLOGIA E TECNICA DELLA RICERCA SOCIALE SUL TERRITORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325408;;32179;Castrignan?? Marco;Italiano;;325408;0;325408;
8040;29218;METODOLOGIA E TECNICA DELLA RICERCA SOCIALE SUL TERRITORIO (1);;modulo;32179;Castrignan?? Marco;Italiano;;414970;325408;325408;
8040;29218;METODOLOGIA E TECNICA DELLA RICERCA SOCIALE SUL TERRITORIO (2);;modulo;42551;Landi Alessandra;;;414971;325408;325408;
8040;13180;TEORIA DEI PROCESSI DI SOCIALIZZAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325409;;16854;Pieretti Giovanni;Italiano;;325409;0;325409;
8040;11316;DIRITTO PRIVATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325410;;16071;Pellican?? Aldo Alessandro;Italiano;;325410;0;325410;
8040;11316;DIRITTO PRIVATO (1);;modulo;16071;Pellican?? Aldo Alessandro;Italiano;;394304;325410;325410;
8040;11316;DIRITTO PRIVATO (2);;modulo;40753;Bravo Fabio;;;394305;325410;325410;
8040;29219;TERRITORIO, MUTAMENTO SOCIALE E PATOLOGIE PSICHIATRICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325412;;36794;Cambria Santino;Italiano;;325412;0;325412;
8040;29220;SOCIOLOGIA DEI SERVIZI SOCIALI DI TERRITORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325414;;32834;Bergamaschi Maurizio;Italiano;;325414;0;325414;
8040;9686;METODI E TECNICHE DEL SERVIZIO SOCIALE II;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325415;;35187;Galli Dina;Italiano;;325415;0;325415;
8040;2129;SOCIOLOGIA CRIMINALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/325418;;32718;Sette Raffaella;Italiano;;325418;0;325418;
8040;17268;PROVA FINALE;;;;;;;325421;0;325421;
8040;40430;ELEMENTI DI ECONOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/327709;;15496;Soci Anna;Italiano;;327709;0;327709;
8040;644;LINGUA INGLESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/327751;;33258;Johnson Jane Helen;Inglese;;327751;0;327751;
8040;639;LINGUA FRANCESE;;;;;;;327755;0;327755;
8040;30617;"SEMINARIO ""OPERARE CON LE PERSONE SENZA DIMORA""";http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/327986;;32834;Bergamaschi Maurizio;Italiano;;327986;0;327986;
8040;37356;ORGANIZZAZIONE DEI SERVIZI SOCIALI SUL TERRITORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/351951;;56543;Ciarrocchi Rosa Angela;Italiano;;351951;0;351951;
8040;534;ISTITUZIONI DI DIRITTO PUBBLICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/361448;;16000;Scavone Angelo;Italiano;;361448;0;361448;
8040;534;ISTITUZIONI DI DIRITTO PUBBLICO (1);;modulo;16000;Scavone Angelo;Italiano;;410926;361448;361448;
8040;534;ISTITUZIONI DI DIRITTO PUBBLICO (2);;modulo;15978;Marchian?? Giovanna;;;410927;361448;361448;
8040;33798;TIROCINIO (16 CFU);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364263;;36137;Mantovani Francesca;Italiano;;364263;0;364263;
8040;66045;PSICOLOGIA SOCIALE (12 CFU) (C.I.);;;;;;;364822;0;364822;
8040;3330;PSICOLOGIA SOCIALE I;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364823;modulo;47893;Crocetti Elisabetta;Italiano;;364823;364822;364822;
8040;3331;PSICOLOGIA SOCIALE II;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364824;modulo;47893;Crocetti Elisabetta;Italiano;;364824;364822;364822;
8040;3331;PSICOLOGIA SOCIALE II (1);;modulo;47893;Crocetti Elisabetta;Italiano;;419019;364824;364822;
8040;3331;PSICOLOGIA SOCIALE II (2);;modulo;46732;Prati Francesca;Italiano;;419020;364824;364822;
8040;66050;PSICOLOGIA DEL LAVORO (9 CFU);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364833;;41871;Balducci Cristian;Italiano;;364833;0;364833;392889
8040;68274;LABORATORIO DI GUIDA AL TIROCINIO (7 CFU);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/373059;;36137;Mantovani Francesca;Italiano;;373059;0;373059;
8040;68274;LABORATORIO DI GUIDA AL TIROCINIO (7 CFU) (1);;modulo;36137;Mantovani Francesca;Italiano;;394013;373059;373059;
8040;68274;LABORATORIO DI GUIDA AL TIROCINIO (7 CFU) (2);;modulo;37262;Manella Gabriele;;;394014;373059;373059;
8040;69618;"SEMINARIO ""MINORI E GIUSTIZIA""";http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376729;;38094;Rescigno Maria;Italiano;;376729;0;376729;376729
8040;29041;SEMINARIO DI SOCIOLOGIA VISUALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376768;;36137;Mantovani Francesca;Italiano;;376768;0;376768;376768
8040;76221;PROCESSI DI INVECCHIAMENTO E SISTEMI SOCIO-SANITARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/394017;;47073;Paolucci Francesco;Italiano;;394017;0;394017;
8040;76336;WELFARE, SUSSIDIARIET?« E INNOVAZIONE SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/394237;;14918;Colozzi Ivo;Italiano;;394237;0;394237;394237
8040;37167;RIDUZIONE COORDINAMENTO CDS;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395721;;32834;Bergamaschi Maurizio;;;395721;0;395721;
8040;42972;DIRITTO DEI SERVIZI SOCIALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/405991;;39581;Golino Claudia;Italiano;;405991;0;405991;
8040;3383;STATISTICA SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412090;;36495;Vanelli Valerio;Italiano;;412090;0;412090;
8040;9117;SOCIOLOGIA DELLA FAMIGLIA E DELL'EDUCAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/412816;;36796;Bertocchi Federica;Italiano;;412816;0;412816;392894
8040;72822;RIDUZIONE MEMBRI SENATO ACCADEMICO O CONSIGLIO DI AMMINISTRAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415327;;32179;Castrignan?? Marco;;;415327;0;415327;
8040;82669;LINGUA FRANCESE (6 CFU);;;;;;;415620;0;415620;
8048;9446;MICROECONOMIA;;;;;;;329721;0;329721;
8048;914;STATISTICA;;;;;;;329725;0;329725;
8048;914;STATISTICA (M-Z) (1);;modulo;36816;Stracqualursi Luisa;;;404118;394700;329725;
8048;914;STATISTICA (M-Z) (2);;modulo;39922;Bianconcini Silvia;Italiano;;404119;394700;329725;
8048;8949;DIRITTO COSTITUZIONALE COMPARATO;;;;;;;329728;0;329728;
8048;8949;DIRITTO COSTITUZIONALE COMPARATO (M-Z) (1);;modulo;33720;Pavani Giorgia;Italiano;;420318;378242;329728;
8048;8949;DIRITTO COSTITUZIONALE COMPARATO (M-Z) (2);;modulo;43107;De Girolamo Carlo Ugo;;;420319;378242;329728;
8048;932;STORIA CONTEMPORANEA;;;;;;;329730;0;329730;
8048;983;STORIA DELLE DOTTRINE POLITICHE;;;;;;;329732;0;329732;
8048;230;DIRITTO INTERNAZIONALE;;;;;;;329733;0;329733;
8048;8795;MACROECONOMIA;;;;;;;329756;0;329756;
8048;895;SCIENZA POLITICA;;;;;;;329757;0;329757;
8048;15920;LABORATORIO INFORMATICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329758;;41293;Scheda Matteo;Italiano;;329758;0;329758;
8048;25980;LABORATORIO DI RICERCA BIBLIOGRAFICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/329759;;24385;Pederzoli Patrizia;Italiano;;329759;0;329759;
8048;2537;ECONOMIA INTERNAZIONALE;;;;;;;329765;0;329765;
8048;2537;ECONOMIA INTERNAZIONALE (A-L) (1);;modulo;40880;Vergari Cecilia;Italiano;;404111;394051;329765;
8048;2537;ECONOMIA INTERNAZIONALE (A-L) (2);;modulo;46894;Grazzi Marco;;;404112;394051;329765;
